"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"211187";"Friesland (NL) (NL12)";"China (CN)";9;9,78;0;0;18,88;"Other"
"1152411";"Friesland (NL) (NL12)";"China (CN)";2;5;0;0;18,93;"Artificial Intelligence"
