"id","x","y","value","parent","color","count"
"5G",3.68,68.51,0.3,"Digital transition","blue",218
"Additive manufacturing (3D printing)",58.35,34.51,1.01,"Digital transition","blue",290
"Advanced materials/nanomaterials",69.24,47.82,1.6,"Digital transition","blue",258
"Advanced Sustainable Materials",75.32,39.62,1.57,"Green transition","green",743
"Artificial intelligence",20.76,75.65,0.56,"Digital transition","blue",181
"Autonomous mobility",28.73,55.43,0.65,"Digital transition","blue",224
"Battery technology",29.48,49.03,0.8,"Green transition","green",494
"Big data",12.48,97.14,0.53,"Digital transition","blue",878
"Bio fertilizers",87.42,31.53,1.93,"Green transition","green",38
"Biocides",88.74,44.34,1.23,"Green transition","green",258
"Biofuels",69.15,35.79,1.24,"Green transition","green",196
"Broadband",8.71,28.28,0.91,"Digital transition","blue",2
"Cloud and edge computing",8.41,68.77,0.58,"Digital transition","blue",142
"Cryptography and distributed ledger technology",15.25,68.99,0.83,"Digital transition","blue",187
"Cybersecurity",8.71,72.96,0.6,"Digital transition","blue",276
"Drones",51.47,40.48,0.99,"Digital transition","blue",41
"Efficient power & combustion",38.79,25.48,0.94,"Green transition","green",47
"Electric vehicles",27.2,42.8,0.85,"Green transition","green",679
"Fuels from waste",68.93,32.52,1.71,"Green transition","green",99
"Geothermal energy",63.91,20.93,1.31,"Green transition","green",8
"Green buildings",28.46,37.46,0.89,"Green transition","green",171
"Greenhouse gas capture",76.54,25.14,1.48,"Green transition","green",53
"Heat pumps",46.28,20.68,0.9,"Green transition","green",13
"High performance computing / Quantum computers",31.03,46.43,0.53,"Digital transition","blue",52
"HVAC Systems",26.52,29.08,0.92,"Green transition","green",118
"Hydrogen",43.96,34.09,0.92,"Green transition","green",167
"Hydropower",61.24,28.72,1.42,"Green transition","green",20
"Internet of things",8.13,85.54,0.47,"Digital transition","blue",357
"Marine energy",63.66,33.41,1,"Green transition","green",12
"Nuclear energy",70.38,32.86,2.07,"Green transition","green",47
"Photonics",26.96,55.68,0.6,"Digital transition","blue",313
"Recycling technologies",82.58,38.83,1.59,"Green transition","green",287
"Robotics (autonomous)",52.69,32.69,0.9,"Digital transition","blue",96
"Semiconductors",31.57,50,0.57,"Digital transition","blue",302
"Smart farming",53.66,44.4,1.16,"Green transition","green",185
"Smart grids",9.1,38.81,0.66,"Digital transition","blue",101
"Solar energy",35.28,45.26,0.87,"Green transition","green",262
"Sustainable packaging",76.51,22.43,2.21,"Green transition","green",22
"Virtual Reality and Augmented Reality",24.89,76.07,0.77,"Digital transition","blue",217
"Waste management",76.64,36.73,1.56,"Green transition","green",251
"Water treatment",52.21,30.79,0.79,"Green transition","green",56
"Wind energy",28.17,41.06,0.75,"Green transition","green",150
