"tech";"nuts2";"nuts2_name";"count";"rca";"rel";"comp";"parent";"value";"id";"color"
"5G";"ITF5";"Basilicata";0;"0";"21,65";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DE72";"Gießen";5;"0,13";"4,52";"68,51";"Digital transition";5;"5G";"blue"
"5G";"ITC1";"Piemonte";37;"0,55";"14,04";"68,51";"Digital transition";37;"5G";"blue"
"5G";"DE25";"Mittelfranken";283;"1,52";"66,76";"68,51";"Digital transition";283;"5G";"blue"
"5G";"AT22";"Steiermark";14;"0,22";"11,17";"68,51";"Digital transition";14;"5G";"blue"
"5G";"SE23";"Västsverige";494;"3,36";"81,77";"68,51";"Digital transition";494;"5G";"blue"
"5G";"DE40";"Brandenburg";54;"0,93";"50,49";"68,51";"Digital transition";54;"5G";"blue"
"5G";"EL64";"Sterea Ellada";0;"0";"1,24";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ES42";"Castilla-La Mancha";1;"0,21";"9,73";"68,51";"Digital transition";1;"5G";"blue"
"5G";"UKE3";"South Yorkshire";3;"0,18";"21,16";"68,51";"Digital transition";3;"5G";"blue"
"5G";"BE25";"Prov. West-Vlaanderen";10;"0,36";"6,82";"68,51";"Digital transition";10;"5G";"blue"
"5G";"ITC2";"Valle d'Aosta/Vallée d'Aoste";1;"0,7";"44,04";"68,51";"Digital transition";1;"5G";"blue"
"5G";"NL12";"Friesland (NL)";1;"0,14";"1,71";"68,51";"Digital transition";1;"5G";"blue"
"5G";"HU22";"Nyugat-Dunántúl";5;"1,01";"41,38";"68,51";"Digital transition";5;"5G";"blue"
"5G";"PL43";"Lubuskie";0;"0";"35,75";"68,51";"Digital transition";0;"5G";"blue"
"5G";"RO32";"Bucureşti - Ilfov";8;"1,43";"50,24";"68,51";"Digital transition";8;"5G";"blue"
"5G";"CH06";"Zentralschweiz";19;"0,36";"16";"68,51";"Digital transition";19;"5G";"blue"
"5G";"FI19";"Länsi-Suomi";58;"0,86";"82,23";"68,51";"Digital transition";58;"5G";"blue"
"5G";"CZ02";"Střední Čechy";6;"0,55";"63,29";"68,51";"Digital transition";6;"5G";"blue"
"5G";"RO12";"Centru";0;"0";"23,95";"68,51";"Digital transition";0;"5G";"blue"
"5G";"PL52";"Opolskie";0;"0";"13,82";"68,51";"Digital transition";0;"5G";"blue"
"5G";"BE32";"Prov. Hainaut";2;"0,1";"6,77";"68,51";"Digital transition";2;"5G";"blue"
"5G";"ES70";"Canarias";3;"0,74";"22,24";"68,51";"Digital transition";3;"5G";"blue"
"5G";"BE35";"Prov. Namur";4;"0,41";"11,13";"68,51";"Digital transition";4;"5G";"blue"
