"tech";"nuts2";"nuts2_name";"count";"rca";"rel";"comp";"parent";"value";"id";"color"
"Bio fertilizers";"FR21";"Champagne-Ardenne";2;"5,78";"62,23";"31,53";"Green transition";2;"Bio fertilizers";"green"
"Bio fertilizers";"RO32";"Bucureşti - Ilfov";0;"0";"11,19";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"AT32";"Salzburg";0;"0";"20,71";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"ITF1";"Abruzzo";2;"6,96";"52,83";"31,53";"Green transition";2;"Bio fertilizers";"green"
"Bio fertilizers";"BG42";"Yuzhen tsentralen";0;"0";"24,86";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"PL21";"Małopolskie";1;"1,91";"57,9";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";0;"0";"59,4";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"EL41";"Voreio Aigaio";0;"0";"0,07";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"SE21";"Småland med öarna";0;"0";"16,53";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"ITI4";"Lazio";5;"4,34";"74,59";"31,53";"Green transition";5;"Bio fertilizers";"green"
"Bio fertilizers";"FR71";"Rhône-Alpes";6;"0,84";"38,3";"31,53";"Green transition";6;"Bio fertilizers";"green"
"Bio fertilizers";"UKL2";"East Wales";1;"1,09";"25,72";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"NO03";"Sør-Østlandet";3;"4,7";"79,65";"31,53";"Green transition";3;"Bio fertilizers";"green"
"Bio fertilizers";"DEA5";"Arnsberg";3;"0,87";"39,86";"31,53";"Green transition";3;"Bio fertilizers";"green"
"Bio fertilizers";"BG31";"Severozapaden";0;"0";"17,71";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"UKC2";"Northumberland and Tyne and Wear";0;"0";"21,15";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"RO21";"Nord-Est";0;"0";"1,05";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"CY00";"Kýpros";0;"0";"31,47";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"ES13";"Cantabria";0;"0";"16,34";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"NL32";"Noord-Holland";1;"0,57";"45,54";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"ITF4";"Puglia";0;"0";"37,24";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";2;"0,5";"16,68";"31,53";"Green transition";2;"Bio fertilizers";"green"
"Bio fertilizers";"FR72";"Auvergne";1;"0,71";"40,65";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"DE13";"Freiburg";6;"1,59";"29,47";"31,53";"Green transition";6;"Bio fertilizers";"green"
"Bio fertilizers";"HU31";"Észak-Magyarország";0;"0";"24,58";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"FR30";"Nord - Pas-de-Calais";1;"0,92";"45,2";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"FR61";"Aquitaine";4;"2,51";"79,07";"31,53";"Green transition";4;"Bio fertilizers";"green"
"Bio fertilizers";"UKJ2";"Surrey, East and West Sussex";1;"0,5";"13,11";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"DE12";"Karlsruhe";1;"0,15";"15,81";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"NL11";"Groningen";1;"3,42";"59,77";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"ES22";"Comunidad Foral de Navarra";2;"6,78";"39,46";"31,53";"Green transition";2;"Bio fertilizers";"green"
"Bio fertilizers";"DK02";"Sjælland";0;"0";"40,34";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"DE14";"Tübingen";1;"0,22";"12,39";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"ES61";"Andalucía";6;"7,75";"76,37";"31,53";"Green transition";6;"Bio fertilizers";"green"
"Bio fertilizers";"EL54";"Thessalia";0;"0";"4,04";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"AT34";"Vorarlberg";0;"0";"20,48";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"CZ06";"Jihovýchod";0;"0";"36,47";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"FR52";"Bretagne";12;"6,11";"56,58";"31,53";"Green transition";12;"Bio fertilizers";"green"
"Bio fertilizers";"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";0;"0";"19,65";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"DEA3";"Münster";6;"2,57";"85,94";"31,53";"Green transition";6;"Bio fertilizers";"green"
"Bio fertilizers";"NL42";"Limburg (NL)";1;"0,65";"56,02";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"NO05";"Vestlandet";0;"0";"29,38";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"SK02";"Západné Slovensko";0;"0";"43,7";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"EL65";"Peloponnisos";0;"0";"14,56";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"CZ08";"Moravskoslezsko";0;"0";"24,14";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"PL62";"Warmińsko-Mazurskie";1;"25,01";"49,68";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"FR24";"Centre";0;"0";"31,94";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"UKK4";"Devon";1;"3,46";"45,84";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"ITC1";"Piemonte";2;"1,09";"71,86";"31,53";"Green transition";2;"Bio fertilizers";"green"
"Bio fertilizers";"AT31";"Oberösterreich";1;"0,44";"28,24";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"BG32";"Severen tsentralen";0;"0";"24,11";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"NO06";"Trøndelag";1;"1,66";"34,95";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Bio fertilizers";"AT22";"Steiermark";3;"1,72";"43,52";"31,53";"Green transition";3;"Bio fertilizers";"green"
"Bio fertilizers";"EL42";"Notio Aigaio";0;"0";"3,66";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"DEA2";"Köln";5;"0,74";"19,39";"31,53";"Green transition";5;"Bio fertilizers";"green"
"Bio fertilizers";"ITF6";"Calabria";0;"0";"39,3";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"UKE3";"South Yorkshire";0;"0";"27,74";"31,53";"Green transition";0;"Bio fertilizers";"green"
"Bio fertilizers";"SK04";"Východné Slovensko";1;"13,41";"51,51";"31,53";"Green transition";1;"Bio fertilizers";"green"
"Biocides";"CZ05";"Severovýchod";5;"1,56";"53,6";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"HU21";"Közép-Dunántúl";3;"1,54";"54,02";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"DE23";"Oberpfalz";6;"0,15";"5,66";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"DE93";"Lüneburg";9;"0,76";"25,48";"44,34";"Green transition";9;"Biocides";"green"
"Biocides";"DE13";"Freiburg";37;"0,81";"14,31";"44,34";"Green transition";37;"Biocides";"green"
"Biocides";"PT20";"Região Autónoma dos Açores";0;"0";"11,92";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"DED5";"Leipzig";5;"0,85";"23,82";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"PT15";"Algarve";0;"0";"12,4";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"PL12";"Mazowieckie";5;"0,67";"35,51";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"ES23";"La Rioja";0;"0";"18,35";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ES42";"Castilla-La Mancha";1;"0,65";"28,03";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"DE27";"Schwaben";4;"0,11";"8,54";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"UKD4";"Lancashire";2;"0,28";"15,89";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"FI1B";"Helsinki-Uusimaa";24;"0,4";"23,4";"44,34";"Green transition";24;"Biocides";"green"
"Biocides";"DK01";"Hovedstaden";37;"0,85";"46,45";"44,34";"Green transition";37;"Biocides";"green"
"Biocides";"RO41";"Sud-Vest Oltenia";0;"0";"0,82";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"AT33";"Tirol";7;"1";"20,95";"44,34";"Green transition";7;"Biocides";"green"
"Biocides";"ITI3";"Marche";5;"1,14";"59,63";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"CH01";"Région lémanique";50;"1,1";"62,68";"44,34";"Green transition";50;"Biocides";"green"
"Biocides";"ES62";"Región de Murcia";5;"2,15";"73,37";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"DEG0";"Thüringen";23;"1,27";"50,67";"44,34";"Green transition";23;"Biocides";"green"
"Biocides";"HU23";"Dél-Dunántúl";1;"1,33";"55,2";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"ITH5";"Emilia-Romagna";21;"0,64";"24,94";"44,34";"Green transition";21;"Biocides";"green"
"Biocides";"UKF1";"Derbyshire and Nottinghamshire";9;"0,92";"41,27";"44,34";"Green transition";9;"Biocides";"green"
"Biocides";"CH03";"Nordwestschweiz";322;"7,02";"67,8";"44,34";"Green transition";322;"Biocides";"green"
"Biocides";"IE01";"Border, Midland and Western";5;"0,67";"13,15";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"UKI2";"Outer London";2;"0,11";"17,49";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"UKM6";"Highlands and Islands";2;"1,33";"44,05";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"UKE4";"West Yorkshire";13;"1,69";"62,85";"44,34";"Green transition";13;"Biocides";"green"
"Biocides";"NL33";"Zuid-Holland";20;"0,58";"40,45";"44,34";"Green transition";20;"Biocides";"green"
"Biocides";"DEA4";"Detmold";15;"0,55";"17,61";"44,34";"Green transition";15;"Biocides";"green"
"Biocides";"NO01";"Oslo og Akershus";13;"0,87";"52,05";"44,34";"Green transition";13;"Biocides";"green"
"Biocides";"NL22";"Gelderland";24;"1,67";"89,16";"44,34";"Green transition";24;"Biocides";"green"
"Biocides";"EL62";"Ionia Nisia";0;"0";"3,56";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ITG2";"Sardegna";2;"1,75";"55,05";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"UKG2";"Shropshire and Staffordshire";3;"0,53";"9,99";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"FR52";"Bretagne";15;"0,63";"21,46";"44,34";"Green transition";15;"Biocides";"green"
"Biocides";"PL11";"Łódzkie";4;"1,96";"59,15";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"DK02";"Sjælland";5;"0,65";"35,19";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"MT00";"Malta";0;"0";"16,35";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ITI1";"Toscana";6;"0,36";"17,68";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"NO07";"Nord-Norge";1;"0,78";"22,8";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"UKD1";"Cumbria";1;"0,74";"12,07";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"ES12";"Principado de Asturias";0;"0";"15,68";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"PL63";"Pomorskie";4;"1,4";"53,91";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"CZ01";"Praha";9;"1,88";"56,41";"44,34";"Green transition";9;"Biocides";"green"
"Biocides";"IS01";"Höfuðborgarsvæði";3;"2,25";"50,01";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"BE31";"Prov. Brabant Wallon";5;"0,55";"28,41";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"UKM2";"Eastern Scotland";9;"0,64";"24,83";"44,34";"Green transition";9;"Biocides";"green"
"Biocides";"NL13";"Drenthe";1;"0,71";"26,22";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"FR53";"Poitou-Charentes";8;"1,54";"75,59";"44,34";"Green transition";8;"Biocides";"green"
"Biocides";"ITH2";"Provincia Autonoma di Trento";4;"1,31";"55,32";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"DE30";"Berlin";32;"0,63";"15,44";"44,34";"Green transition";32;"Biocides";"green"
"Biocides";"DED2";"Dresden";1;"0,05";"14,81";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"AT21";"Kärnten";1;"0,26";"10,19";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"DE71";"Darmstadt";190;"2,26";"56,75";"44,34";"Green transition";190;"Biocides";"green"
"Biocides";"UKJ3";"Hampshire and Isle of Wight";21;"0,85";"16,16";"44,34";"Green transition";21;"Biocides";"green"
"Biocides";"FRY1";"Guadeloupe";0;"0";"10,72";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"CZ07";"Střední Morava";6;"2,42";"59,86";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"NL21";"Overijssel";5;"0,69";"33,13";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"FRY2";"Martinique";0;"0";"4,79";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"FR81";"Languedoc-Roussillon";16;"1,31";"75,43";"44,34";"Green transition";16;"Biocides";"green"
"Biocides";"AT13";"Wien";10;"0,5";"26,82";"44,34";"Green transition";10;"Biocides";"green"
"Biocides";"LI00";"Liechtenstein";1;"0,88";"5,43";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"PT11";"Norte";7;"1,02";"66,38";"44,34";"Green transition";7;"Biocides";"green"
"Biocides";"PL43";"Lubuskie";0;"0";"9,38";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"BG42";"Yuzhen tsentralen";0;"0";"16,96";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"UKN0";"Northern Ireland";5;"0,93";"25,92";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"DEB2";"Trier";3;"0,74";"14,19";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"ITC1";"Piemonte";29;"1,32";"62,3";"44,34";"Green transition";29;"Biocides";"green"
"Biocides";"IE02";"Southern and Eastern";8;"0,37";"17,99";"44,34";"Green transition";8;"Biocides";"green"
"Biocides";"UKF2";"Leicestershire, Rutland and Northamptonshire";4;"0,51";"26,8";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"NO04";"Agder og Rogaland";1;"0,09";"17,88";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"DE80";"Mecklenburg-Vorpommern";16;"3,16";"74,23";"44,34";"Green transition";16;"Biocides";"green"
"Biocides";"FI1D";"Pohjois- ja Itä-Suomi";5;"0,27";"19,95";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"RO31";"Sud - Muntenia";0;"0";"2,4";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"BE33";"Prov. Liège";25;"3,1";"56,72";"44,34";"Green transition";25;"Biocides";"green"
"Biocides";"PL51";"Dolnośląskie";2;"0,46";"24,73";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"FR41";"Lorraine";16;"1,4";"60,14";"44,34";"Green transition";16;"Biocides";"green"
"Biocides";"FR26";"Bourgogne";8;"1,45";"64,75";"44,34";"Green transition";8;"Biocides";"green"
"Biocides";"NO05";"Vestlandet";6;"0,76";"11,63";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"DE40";"Brandenburg";4;"0,21";"17,51";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"FR42";"Alsace";16;"0,9";"33,38";"44,34";"Green transition";16;"Biocides";"green"
"Biocides";"EE00";"Eesti";1;"0,34";"17,49";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"CZ04";"Severozápad";1;"0,96";"52,47";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"PL42";"Zachodniopomorskie";1;"1,57";"45,92";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"FRY4";"Réunion";1;"1,73";"50,24";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"ITH1";"Provincia Autonoma di Bolzano/Bozen";2;"0,91";"17,48";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"DEB1";"Koblenz";26;"2,22";"52,86";"44,34";"Green transition";26;"Biocides";"green"
"Biocides";"DK04";"Midtjylland";6;"0,22";"16,72";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"CZ03";"Jihozápad";0;"0";"25,91";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"BE21";"Prov. Antwerpen";18;"0,77";"35,66";"44,34";"Green transition";18;"Biocides";"green"
"Biocides";"FR63";"Limousin";6;"3,15";"49,88";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"SE22";"Sydsverige";13;"0,25";"16,85";"44,34";"Green transition";13;"Biocides";"green"
"Biocides";"ES30";"Comunidad de Madrid";15;"0,61";"29,95";"44,34";"Green transition";15;"Biocides";"green"
"Biocides";"DEF0";"Schleswig-Holstein";26;"1,16";"45,05";"44,34";"Green transition";26;"Biocides";"green"
"Biocides";"RO12";"Centru";0;"0";"4,65";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ITF4";"Puglia";4;"0,94";"56,95";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"FR21";"Champagne-Ardenne";6;"1,44";"55,48";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"UKH3";"Essex";4;"0,43";"25,24";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"DEA2";"Köln";313;"3,84";"64,78";"44,34";"Green transition";313;"Biocides";"green"
"Biocides";"SE11";"Stockholm";7;"0,07";"2,31";"44,34";"Green transition";7;"Biocides";"green"
"Biocides";"BE34";"Prov. Luxembourg (BE)";3;"1,79";"45,43";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"AT12";"Niederösterreich";8;"0,42";"18,26";"44,34";"Green transition";8;"Biocides";"green"
"Biocides";"DK03";"Syddanmark";5;"0,31";"14,43";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"UKG1";"Herefordshire, Worcestershire and Warwickshire";20;"2,28";"59,12";"44,34";"Green transition";20;"Biocides";"green"
"Biocides";"HR04";"Kontinentalna Hrvatska";1;"0,6";"28,19";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"SE31";"Norra Mellansverige";0;"0";"17,89";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"SE12";"Östra Mellansverige";6;"0,13";"6,75";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"ITF2";"Molise";1;"2,4";"47,59";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"EL52";"Kentriki Makedonia";4;"3,41";"58,07";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"FR83";"Corse";1;"3,58";"39,33";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"ITH4";"Friuli-Venezia Giulia";1;"0,15";"33,84";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"ES51";"Cataluña";37;"0,95";"30,15";"44,34";"Green transition";37;"Biocides";"green"
"Biocides";"DEC0";"Saarland";1;"0,13";"21,3";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"FI20";"Åland";0;"0";"10,18";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"UKK2";"Dorset and Somerset";3;"0,46";"18,31";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"FR10";"Île de France";108;"0,52";"14,02";"44,34";"Green transition";108;"Biocides";"green"
"Biocides";"DK05";"Nordjylland";1;"0,09";"8,58";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"NL31";"Utrecht";5;"0,42";"35,76";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"DE91";"Braunschweig";21;"0,72";"20,13";"44,34";"Green transition";21;"Biocides";"green"
"Biocides";"DEA3";"Münster";72;"2,56";"76,39";"44,34";"Green transition";72;"Biocides";"green"
"Biocides";"UKM5";"North Eastern Scotland";0;"0";"18,05";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"SE33";"Övre Norrland";1;"0,1";"13,64";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"SK01";"Bratislavský kraj";0;"0";"21,46";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"EL64";"Sterea Ellada";0;"0";"3,89";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"EL30";"Attiki";6;"1,03";"21,15";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"EL61";"Ipeiros";0;"0";"8,24";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"BE24";"Prov. Vlaams-Brabant";24;"1,04";"78,14";"44,34";"Green transition";24;"Biocides";"green"
"Biocides";"UKG3";"West Midlands";13;"0,81";"12,93";"44,34";"Green transition";13;"Biocides";"green"
"Biocides";"SI03";"Zahodna Slovenija";4;"0,83";"24,13";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"FRY3";"Guyane";0;"0";"2,5";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"EL54";"Thessalia";0;"0";"14,34";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"UKD3";"Greater Manchester";20;"1,42";"54,74";"44,34";"Green transition";20;"Biocides";"green"
"Biocides";"BG41";"Yugozapaden";1;"0,46";"16,65";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"EL63";"Dytiki Ellada";0;"0";"15,38";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ITF3";"Campania";11;"1,63";"53,26";"44,34";"Green transition";11;"Biocides";"green"
"Biocides";"PL21";"Małopolskie";7;"1,11";"55,42";"44,34";"Green transition";7;"Biocides";"green"
"Biocides";"FR43";"Franche-Comté";1;"0,13";"11,82";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"FR25";"Basse-Normandie";6;"1,31";"65,06";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"UKJ4";"Kent";7;"1,11";"59,43";"44,34";"Green transition";7;"Biocides";"green"
"Biocides";"FR30";"Nord - Pas-de-Calais";11;"0,84";"39,42";"44,34";"Green transition";11;"Biocides";"green"
"Biocides";"ES21";"País Vasco";1;"0,14";"24,77";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"PL61";"Kujawsko-Pomorskie";2;"2,15";"52,55";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"NO02";"Hedmark og Oppland";0;"0";"39,91";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"PL34";"Podlaskie";1;"1,91";"49,38";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"DE73";"Kassel";1;"0,1";"21,32";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"AT32";"Salzburg";5;"1,08";"45,42";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"CY00";"Kýpros";0;"0";"24,06";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ES13";"Cantabria";1;"0,95";"12,14";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"FR51";"Pays de la Loire";20;"1,28";"67,17";"44,34";"Green transition";20;"Biocides";"green"
"Biocides";"ITH3";"Veneto";13;"0,54";"37,03";"44,34";"Green transition";13;"Biocides";"green"
"Biocides";"NL23";"Flevoland";2;"1,2";"55,7";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"RO11";"Nord-Vest";0;"0";"3,35";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"DE72";"Gießen";13;"1,07";"26,27";"44,34";"Green transition";13;"Biocides";"green"
"Biocides";"CZ08";"Moravskoslezsko";1;"0,63";"24,81";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"RO42";"Vest";0;"0";"2,84";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"ITG1";"Sicilia";2;"0,45";"21,65";"44,34";"Green transition";2;"Biocides";"green"
"Biocides";"ES41";"Castilla y León";5;"1,83";"65";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"ITI2";"Umbria";3;"1,26";"59,95";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"PT18";"Alentejo";0;"0";"18,5";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"HU33";"Dél-Alföld";4;"1,64";"53,11";"44,34";"Green transition";4;"Biocides";"green"
"Biocides";"ES24";"Aragón";18;"3,89";"67,64";"44,34";"Green transition";18;"Biocides";"green"
"Biocides";"ITC4";"Lombardia";53;"0,93";"48,68";"44,34";"Green transition";53;"Biocides";"green"
"Biocides";"DE14";"Tübingen";11;"0,2";"10,67";"44,34";"Green transition";11;"Biocides";"green"
"Biocides";"UKE2";"North Yorkshire";5;"0,93";"35,8";"44,34";"Green transition";5;"Biocides";"green"
"Biocides";"DE94";"Weser-Ems";6;"0,31";"20,49";"44,34";"Green transition";6;"Biocides";"green"
"Biocides";"IS02";"Landsbyggð";3;"3,01";"49,87";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"HU32";"Észak-Alföld";9;"7,37";"70,05";"44,34";"Green transition";9;"Biocides";"green"
"Biocides";"CH07";"Ticino";0;"0";"32,03";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"NL41";"Noord-Brabant";11;"0,11";"6,71";"44,34";"Green transition";11;"Biocides";"green"
"Biocides";"EL41";"Voreio Aigaio";0;"0";"0,06";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"RO22";"Sud-Est";0;"0";"1,62";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"BG34";"Yugoiztochen";0;"0";"6,95";"44,34";"Green transition";0;"Biocides";"green"
"Biocides";"EL51";"Anatoliki Makedonia, Thraki";1;"10,45";"38,86";"44,34";"Green transition";1;"Biocides";"green"
"Biocides";"NL32";"Noord-Holland";11;"0,52";"38,08";"44,34";"Green transition";11;"Biocides";"green"
"Biocides";"PT17";"Lisboa";9;"1,84";"65,53";"44,34";"Green transition";9;"Biocides";"green"
"Biocides";"HU10";"Közép-Magyarország";11;"0,83";"19,22";"44,34";"Green transition";11;"Biocides";"green"
"Biocides";"DEE0";"Sachsen-Anhalt";8;"0,85";"24,9";"44,34";"Green transition";8;"Biocides";"green"
"Biocides";"CH06";"Zentralschweiz";12;"0,69";"16,04";"44,34";"Green transition";12;"Biocides";"green"
"Biocides";"DE50";"Bremen";3;"0,49";"16,76";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"DEA1";"Düsseldorf";319;"3,82";"69,53";"44,34";"Green transition";319;"Biocides";"green"
"Biocides";"DE92";"Hannover";21;"0,59";"19,98";"44,34";"Green transition";21;"Biocides";"green"
"Biocides";"UKH2";"Bedfordshire and Hertfordshire";19;"1,2";"69,62";"44,34";"Green transition";19;"Biocides";"green"
"Biocides";"NL34";"Zeeland";3;"0,88";"35,53";"44,34";"Green transition";3;"Biocides";"green"
"Biocides";"ITI4";"Lazio";8;"0,58";"38,94";"44,34";"Green transition";8;"Biocides";"green"
