"id","x","y","value","parent","color","count"
"5G",94.2,68.51,1.07,"Digital transition","blue",11366
"Additive manufacturing (3D printing)",68.59,34.51,1.01,"Digital transition","blue",4210
"Advanced materials/nanomaterials",34.9,47.82,0.93,"Digital transition","blue",2181
"Advanced Sustainable Materials",30.63,39.62,0.96,"Green transition","green",6598
"Artificial intelligence",72.78,75.65,1.02,"Digital transition","blue",4789
"Autonomous mobility",65.56,55.43,1.02,"Digital transition","blue",5120
"Battery technology",70.71,49.03,1.02,"Green transition","green",9202
"Big data",80.12,97.14,1.03,"Digital transition","blue",24653
"Bio fertilizers",13.45,31.53,0.88,"Green transition","green",251
"Biocides",11.24,44.34,0.98,"Green transition","green",2974
"Biofuels",32.12,35.79,0.97,"Green transition","green",2224
"Broadband",89.32,28.28,1.03,"Digital transition","blue",33
"Cloud and edge computing",83.82,68.77,1.01,"Digital transition","blue",3557
"Cryptography and distributed ledger technology",68.52,68.99,1,"Digital transition","blue",3247
"Cybersecurity",74.83,72.96,1.02,"Digital transition","blue",6794
"Drones",47.31,40.48,0.98,"Digital transition","blue",586
"Efficient power & combustion",60.64,25.48,1.01,"Green transition","green",732
"Electric vehicles",77.34,42.8,1.02,"Green transition","green",11877
"Fuels from waste",31.97,32.52,0.93,"Green transition","green",785
"Geothermal energy",20.6,20.93,0.94,"Green transition","green",83
"Green buildings",67.53,37.46,1.01,"Green transition","green",2821
"Greenhouse gas capture",26.73,25.14,0.96,"Green transition","green",498
"Heat pumps",38.43,20.68,0.99,"Green transition","green",207
"High performance computing / Quantum computers",66.52,46.43,1.03,"Digital transition","blue",1466
"HVAC Systems",61.89,29.08,1.01,"Green transition","green",1880
"Hydrogen",62.99,34.09,1.02,"Green transition","green",2673
"Hydropower",39.2,28.72,0.93,"Green transition","green",190
"Internet of things",82.06,85.54,1.04,"Digital transition","blue",11395
"Marine energy",37.05,33.41,0.91,"Green transition","green",158
"Nuclear energy",17.11,32.86,0.94,"Green transition","green",309
"Photonics",73.58,55.68,1.04,"Digital transition","blue",7875
"Recycling technologies",22,38.83,0.94,"Green transition","green",2453
"Robotics (autonomous)",49.47,32.69,1.01,"Digital transition","blue",1553
"Semiconductors",67.59,50,1.05,"Digital transition","blue",8082
"Smart farming",52.88,44.4,0.99,"Green transition","green",2277
"Smart grids",87.07,38.81,1.03,"Digital transition","blue",2291
"Solar energy",65.75,45.26,1.01,"Green transition","green",4415
"Sustainable packaging",27,22.43,0.88,"Green transition","green",127
"Virtual Reality and Augmented Reality",71.74,76.07,1.02,"Digital transition","blue",4118
"Waste management",25.4,36.73,0.94,"Green transition","green",2186
"Water treatment",48.11,30.79,1.02,"Green transition","green",1047
"Wind energy",76.07,41.06,1.03,"Green transition","green",2968
