nuts2;nuts2-lfs;old-nuts2-lfs;nuts2-SM;name;name-SM;name-english;name-english-SM;country
CH03;;CH03;CH03;Nordwestschweiz;Nordwestschweiz;Northwestern Switzerland;Northwestern Switzerland;Switzerland
CH04;;CH04;CH04;Zürich;Zürich;Zurich;Zurich;Switzerland
CH05;;CH05;CH05;Ostschweiz;Ostschweiz;Eastern Switzerland;Eastern Switzerland;Switzerland
CH06;;CH06;CH06;Zentralschweiz;Zentralschweiz;Central Switzerland;Central Switzerland;Switzerland
CH07;;CH07;CH07;Ticino;Ticino;Ticino;Ticino;Switzerland
CY00;CY00;CY00;CY00;Cyprus;Cyprus;Cyprus;Cyprus;Cyprus
CZ01;CZ01;CZ01;CZ01;Praha;Praha;Prague;Prague;Czechia
CZ02;CZ02;CZ02;CZ02;St?ední ?echy;St?ední ?echy;Central Bohemia;Central Bohemia;Czechia
CZ03;CZ03;CZ03;CZ03;Jihozápad;Jihozápad;Southwest;Southwest;Czechia
CZ04;CZ04;CZ04;CZ04;Severozápad;Severozápad;Northwest;Northwest;Czechia
CZ05;CZ05;CZ05;CZ05;Severovýchod;Severovýchod;Northeast;Northeast;Czechia
CZ06;CZ06;CZ06;CZ06;Jihovýchod;Jihovýchod;Southeast;Southeast;Czechia
CZ07;CZ07;CZ07;CZ07;St?ední Morava;St?ední Morava;Central Moravia;Central Moravia;Czechia
CZ08;CZ08;CZ08;CZ08;Moravskoslezsko;Moravskoslezsko;Moravian-Silesian;Moravian-Silesian;Czechia
DE11;DE11;DE11;DE11;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Germany
DE12;DE12;DE12;DE12;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Germany
DE13;DE13;DE13;DE13;Freiburg;Freiburg;Freiburg;Freiburg;Germany
DE14;DE14;DE14;DE14;Tübingen;Tübingen;Tubingen;Tübingen;Germany
DE21;DE21;DE21;DE21;Oberbayern;Oberbayern;Oberbayern;Oberbayern;Germany
DE22;DE22;DE22;DE22;Niederbayern;Niederbayern;Niederbayern;Niederbayern;Germany
DE23;DE23;DE23;DE23;Oberpfalz;Oberpfalz;Oberpfalz;Oberpfalz;Germany
DE24;DE24;DE24;DE24;Oberfranken;Oberfranken;Oberfranken;Oberfranken;Germany
DE25;DE25;DE25;DE25;Mittelfranken;Mittelfranken;Mittelfranken;Mittelfranken;Germany
DE26;DE26;DE26;DE26;Unterfranken;Unterfranken;Unterfranken;Unterfranken;Germany
DE27;DE27;DE27;DE27;Schwaben;Schwaben;Schwaben;Schwaben;Germany
DE30;DE30;DE30;DE30;Berlin;Berlin;Berlin;Berlin;Germany
DE40;DE40;DE40;DE40;Brandenburg;Brandenburg;Brandenburg;Brandenburg;Germany
DE50;DE50;DE50;DE50;Bremen;Bremen;Bremen;Bremen;Germany
DE60;DE60;DE60;DE60;Hamburg;Hamburg;Hamburg;Hamburg;Germany
DE71;DE71;DE71;DE71;Darmstadt;Darmstadt;Darmstadt;Darmstadt;Germany
DE72;DE72;DE72;DE72;Gießen;Gießen;Giessen;Gießen;Germany
DE73;DE73;DE73;DE73;Kassel;Kassel;Kassel;Kassel;Germany
DE80;DE80;DE80;DE80;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Germany
DE91;DE91;DE91;DE91;Braunschweig;Braunschweig;Braunschweig;Braunschweig;Germany
DE92;DE92;DE92;DE92;Hannover;Hannover;Hannover;Hannover;Germany
DE93;DE93;DE93;DE93;Lüneburg;Lüneburg;Luneburg;Lüneburg;Germany
DE94;DE94;DE94;DE94;Weser-Ems;Weser-Ems;Weser-Ems;Weser-Ems;Germany
DEA1;DEA1;DEA1;DEA1;Düsseldorf;Düsseldorf;Dusseldorf;Düsseldorf;Germany
DEA2;DEA2;DEA2;DEA2;Köln;Köln;Koln;Köln;Germany
DEA3;DEA3;DEA3;DEA3;Münster;Münster;Munster;Münster;Germany
DEA4;DEA4;DEA4;DEA4;Detmold;Detmold;Detmold;Detmold;Germany
DEA5;DEA5;DEA5;DEA5;Arnsberg;Arnsberg;Arnsberg;Arnsberg;Germany
DEB1;DEB1;DEB1;DEB1;Koblenz;Koblenz;Koblenz;Koblenz;Germany
DEB2;DEB2;DEB2;DEB2;Trier;Trier;Trier;Trier;Germany
DEB3;DEB3;DEB3;DEB3;Rheinhessen-Pfalz;Rheinhessen-Pfalz;Rheinhessen-Pfalz;Rheinhessen-Pfalz;Germany
DEC0;DEC0;DEC0;DEC0;Saarland;Saarland;Saarland;Saarland;Germany
DED2;DED2;DED2;DED2;Dresden;Dresden;Dresden;Dresden;Germany
DED4;DED4;DED4;DED4;Chemnitz;Chemnitz;Chemnitz;Chemnitz;Germany
DED5;DED5;DED5;DED5;Leipzig;Leipzig;Leipzig;Leipzig;Germany
DEE0;DEE0;DEE0;DEE0;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Germany
DEF0;DEF0;DEF0;DEF0;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Germany
DEG0;DEG0;DEG0;DEG0;Thüringen;Thüringen;Thuringen;Thüringen;Germany
DK01;DK01;DK01;DK01;Hovedstaden;Hovedstaden;Capital Region of Denmark;Capital Region of Denmark;Denmark
DK02;DK02;DK02;DK02;Sjælland;Sjælland;Zealand;Zealand;Denmark
DK03;DK03;DK03;DK03;Syddanmark;Syddanmark;Southern Denmark;Southern Denmark;Denmark
DK04;DK04;DK04;DK04;Midtjylland;Midtjylland;Central Denmark;Central Denmark;Denmark
DK05;DK05;DK05;DK05;Nordjylland;Nordjylland;North Jutland;North Jutland;Denmark
EE00;EE00;EE00;EE00;Estonia;Estonia;Estonia;Estonia;Estonia
EL30;GR30;GR30;EL30;Attica;Attica;Attica;Attica;Greece
EL41;GR41;GR41;EL41;North Aegean;North Aegean;North Aegean;North Aegean;Greece
EL42;GR42;GR42;EL42;Southe Aegean;Southe Aegean;Southe Aegean;Southe Aegean;Greece
EL43;GR43;GR43;EL43;Crete;Crete;Crete;Crete;Greece
EL51;GR51;GR51;EL51;Eastern Macedonia and Thrace;Eastern Macedonia and Thrace;Eastern Macedonia and Thrace;Eastern Macedonia and Thrace;Greece
EL52;GR52;GR52;EL52;Central Macedonia;Central Macedonia;Central Macedonia;Central Macedonia;Greece
EL53;GR53;GR53;EL53;Western Macedonia;Western Macedonia;Western Macedonia;Western Macedonia;Greece
EL54;GR54;GR54;EL54;Epirus;Epirus;Epirus;Epirus;Greece
EL61;GR61;GR61;EL61;Thessaly;Thessaly;Thessaly;Thessaly;Greece
EL62;GR62;GR62;EL62;Ionian Islands;Ionian Islands;Ionian Islands;Ionian Islands;Greece
EL63;GR63;GR63;EL63;Western Greece;Western Greece;Western Greece;Western Greece;Greece
EL64;GR64;GR64;EL64;Central Greece;Central Greece;Central Greece;Central Greece;Greece
EL65;GR65;GR65;EL65;Peloponnese;Peloponnese;Peloponnese;Peloponnese;Greece
ES11;ES11;ES11;ES11;Galicia;Galicia;Galicia;Galicia;Spain
ES12;ES12;ES12;ES12;Principado De Asturias;Principado De Asturias;Principality of Asturias;Principality of Asturias;Spain
ES13;ES13;ES13;ES13;Cantabria;Cantabria;Cantabria;Cantabria;Spain
ES21;ES21;ES21;ES21;País Vasco;País Vasco;Basque Community;Basque Community;Spain
ES22;ES22;ES22;ES22;Comunidad Foral De Navarra;Comunidad Foral De Navarra;Navarre;Navarre;Spain
ES23;ES23;ES23;ES23;La Rioja;La Rioja;La Rioja;La Rioja;Spain
ES24;ES24;ES24;ES24;Aragón;Aragón;Aragon;Aragon;Spain
ES30;ES30;ES30;ES30;Comunidad De Madrid;Comunidad De Madrid;Madrid;Madrid;Spain
ES41;ES41;ES41;ES41;Castilla Y León;Castilla Y León;Castile-Leon;Castile-Leon;Spain
ES42;ES42;ES42;ES42;Castilla-La Mancha;Castilla-La Mancha;Castile-La Mancha;Castile-La Mancha;Spain
ES43;ES43;ES43;ES43;Extremadura;Extremadura;Extremadura;Extremadura;Spain
ES51;ES51;ES51;ES51;Cataluña;Cataluña;Catalonia;Catalonia;Spain
ES52;ES52;ES52;ES52;Comunidad Valenciana;Comunidad Valenciana;Valencian Community;Valencian Community;Spain
ES53;ES53;ES53;ES53;Illes Balears;Illes Balears;Balearic Islands;Balearic Islands;Spain
ES61;ES61;ES61;ES61;Andalucía;Andalucía;Andalusia;Andalusia;Spain
ES62;ES62;ES62;ES62;Región De Murcia;Región De Murcia;Region of Murcia;Region of Murcia;Spain
ES63;ES63;ES63;ES63;Ciudad Autónoma De Ceuta;Ciudad Autónoma De Ceuta;Ceuta;Ceuta;Spain
ES64;ES64;ES64;ES64;Ciudad Autónoma De Melilla;Ciudad Autónoma De Melilla;Melilla;Melilla;Spain
ES70;ES70;ES70;ES70;Canarias;Canarias;Canary Islands;Canary Islands;Spain
FI19;FI19;FI19;FI19;Länsi-Suomi;Länsi-Suomi;West Finland;West Finland;Finland
FI1B;FI1B;FI1B;FI1B;Helsinki-Uusimaa;Helsinki-Uusimaa;Helsinki-Uusimaa;Helsinki-Uusimaa;Finland
FI1C;FI1C;FI1C;FI1C;Etelä-Suomi;Etelä-Suomi;South Finland;South Finland;Finland
FI1D;FI1D;FI1D;FI1D;Pohjois- Ja Itä-Suomi;Pohjois- Ja Itä-Suomi;North & East Finland;North & East Finland;Finland
FI20;;FI20;FI20;Åland;Åland;Aland Islands;Aland Islands;Finland
FR10;FR10;FR10;FR10;Ile-De-France;Ile-De-France;Ile De France;Ile De France;France
FR21;FRF2;FRF2;FRF2;Champagne-Ardenne;Champagne-Ardenne;Champagne-Ardenne;Champagne-Ardenne;France
FR22;FRE2;FRE2;FRE2;Picardie;Picardie;Picardy;Picardy;France
FR23;FRD2;FRD2;FRD2;Haute-Normandie;Haute-Normandie;Upper Normandy ;Upper Normandy ;France
FR24;FRB0;FRB0;FRB0;Centre - Val de Loire;Centre - Val de Loire;Centre Region;Centre Region;France
FR25;FRD1;FRD1;FRD1;Basse-Normandie;Basse-Normandie;Lower Normandy;Lower Normandy;France
FR26;FRC1;FRC1;FRC1;Bourgogne;Bourgogne;Burgandy;Burgandy;France
FR30;FRE1;FRE1;FRE1;Nord - Pas-de-Calais;Nord - Pas-de-Calais;Nord - Pas-de-Calais;Nord - Pas-de-Calais;France
FR41;FRF3;FRF3;FRF3;Lorraine;Lorraine;Lorraine;Lorraine;France
FR42;FRF1;FRF1;FRF1;Alsace;Alsace;Alsace;Alsace;France
FR43;FRC2;FRC2;FRC2;Franche-Comté;Franche-Comté;Franche-Comte;Franche-Comté;France
FR51;FRG0;FRG0;FRG0;Pays de la Loire;Pays de la Loire;Pays de la Loire;Pays de la Loire;France
FR52;FRH0;FRH0;FRH0;Bretagne;Bretagne;Brittany;Brittany;France
FR53;FRI3;FRI3;FRI3;Poitou-Charentes;Poitou-Charentes;Poitou-Charentes;Poitou-Charentes;France
FR61;FRI1;FRI1;FRI1;Aquitaine;Aquitaine;Aquitaine;Aquitaine;France
FR62;FRJ2;FRJ2;FRJ2;Midi-Pyrénées;Midi-Pyrénées;Midi-Pyrenees;Midi-Pyrénées;France
FR63;FRI2;FRI2;FRI2;Limousin;Limousin;Limousin;Limousin;France
FR71;FRK2;FRK2;FRK2;Rhône-Alpes;Rhône-Alpes;Rhone-Alpes;Rhône-Alpes;France
FR72;FRK1;FRK1;FRK1;Auvergne;Auvergne;Auvergne;Auvergne;France
FR81;FRJ1;FRJ1;FRJ1;Languedoc-Roussillon;Languedoc-Roussillon;Languedoc-Roussillon;Languedoc-Roussillon;France
FR82;FRL0;FRL0;FRL0;Provence-Alpes-Côte d'Azur;Provence-Alpes-Côte d'Azur;Provence-Alpes-Cote d'Azur;Provence-Alpes-Côte d'Azur;France
FR83;FRM0;FRM0;FRM0;Corse;Corse;Corsica;Corsica;France
FRA1;FRY1;FRY1;FRY1;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;France
FRA2;FRY2;FRY2;FRY2;Martinique;Martinique;Martinique;Martinique;France
FRA3;FRY3;FRY3;FRY3;Guyane;Guyane;Guyane;Guyane;France
FRA4;FRY4;FRY4;FRY4;La Réunion;La Réunion;La Reunion;La Réunion;France
FRA5;;FRY5;FRY5;Mayotte;Mayotte;Mayotte;Mayotte;France
HR03;HR03;HR03;HR03;Jadranska Hrvatska;Jadranska Hrvatska;Adriatic Croatia;Adriatic Croatia;Croatia
HR04;HR04;HR04;HR04;Kontinentalna Hrvatska;Kontinentalna Hrvatska;Continental Croatia;Continental Croatia;Croatia
HU10;HU11;HU11;HU11;Budapest;Budapest;Budapest;Budapest;Hungary
HU10;HU12;HU12;HU12;Budapest;Pest;Budapest;Pest;Hungary
HU21;HU21;HU21;HU21;Közép-Dunántúl;Közép-Dunántúl;Central Transdanubia;Central Transdanubia;Hungary
HU22;HU22;HU22;HU22;Nyugat-Dunántúl;Nyugat-Dunántúl;Western Transdanubia;Western Transdanubia;Hungary
HU23;HU23;HU23;HU23;Dél-Dunántúl;Dél-Dunántúl;Southern Transdanubia;Southern Transdanubia;Hungary
HU31;HU31;HU31;HU31;Észak-Magyarország;Észak-Magyarország;Northern Hungary;Northern Hungary;Hungary
HU32;HU32;HU32;HU32;Észak-Alföld;Észak-Alföld;Northern Great Plain;Northern Great Plain;Hungary
HU33;HU33;HU33;HU33;Dél-Alföld;Dél-Alföld;Southern Great Plain;Southern Great Plain;Hungary
IE01;IE04;IE04;IE04;Border, Midland and Western;Northern And Western;Border, Midland and Western;Northern And Western;Ireland
IE02;IE05;IE05;IE05;Southern and Eastern;Southern;Southern and Eastern;Southern;Ireland
IE02;IE06;IE06;IE06;Southern and Eastern;Eastern And Midland;Southern and Eastern;Eastern And Midland;Ireland
IS00;;IS00;IS00;Ísland;Ísland;Iceland;Iceland;Iceland
ITC1;ITC1;ITC1;ITC1;Piemonte;Piemonte;Piedmont;Piedmont;Italy
ITC2;ITC2;ITC2;ITC2;Valle D’Aosta/Vallée D’Aoste;Valle D’Aosta/Vallée D’Aoste;Aosta Valley;Aosta Valley;Italy
ITC3;ITC3;ITC3;ITC3;Liguria;Liguria;Liguria;Liguria;Italy
ITC4;ITC4;ITC4;ITC4;Lombardia;Lombardia;Lombardia;Lombardia;Italy
ITF1;ITF1;ITF1;ITF1;Abruzzo;Abruzzo;Abruzzo;Abruzzo;Italy
ITF2;ITF2;ITF2;ITF2;Molise;Molise;Molise;Molise;Italy
ITF3;ITF3;ITF3;ITF3;Campania;Campania;Campania;Campania;Italy
ITF4;ITF4;ITF4;ITF4;Puglia;Puglia;Puglia;Puglia;Italy
ITF5;ITF5;ITF5;ITF5;Basilicata;Basilicata;Basilicata;Basilicata;Italy
ITF6;ITF6;ITF6;ITF6;Calabria;Calabria;Calabria;Calabria;Italy
ITG1;ITG1;ITG1;ITG1;Sicilia;Sicilia;Sicilia;Sicilia;Italy
ITG2;ITG2;ITG2;ITG2;Sardegna;Sardegna;Sardigna;Sardigna;Italy
ITH1;ITH1;ITH1;ITH1;Provincia Autonoma Di Bolzano/Bozen;Provincia Autonoma Di Bolzano/Bozen;South Tyrol;South Tyrol;Italy
ITH2;ITH2;ITH2;ITH2;Provincia Autonoma Di Trento;Provincia Autonoma Di Trento;Trento;Trento;Italy
ITH3;ITH3;ITH3;ITH3;Veneto;Veneto;Veneto;Veneto;Italy
ITH4;ITH4;ITH4;ITH4;Friuli-Venezia Giulia;Friuli-Venezia Giulia;Friuli-Venezia Giulia;Friuli-Venezia Giulia;Italy
ITH5;ITH5;ITH5;ITH5;Emilia-Romagna;Emilia-Romagna;Emilia-Romagna;Emilia-Romagna;Italy
ITI1;ITI1;ITI1;ITI1;Toscana;Toscana;Tuscanny;Tuscanny;Italy
ITI2;ITI2;ITI2;ITI2;Umbria;Umbria;Umbria;Umbria;Italy
ITI3;ITI3;ITI3;ITI3;Marche;Marche;Marche;Marche;Italy
ITI4;ITI4;ITI4;ITI4;Lazio;Lazio;Lazio;Lazio;Italy
LI00;;LI00;LI00;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein
LT00;LT01;LT01;LT01;Lithuania;Sostin?s Regionas;Lithuania;Vilnius County ;Lithuania
LT00;LT02;LT02;LT02;Lithuania;Vidurio Ir Vakar? Lietuvos Regionas ;Lithuania;Other regions of Lithuania;Lithuania
LU00;LU00;LU00;LU00;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg
LV00;LV00;LV00;LV00;Latvia;Latvia;Latvia;Latvia;Latvia
ME00;;ME00;ME00;Montenegro;Montenegro;Montenegro;Montenegro;Montenegro
MK00;;MK00;MK00;North Macedonia;North Macedonia;North Macedonia;North Macedonia;North Macedonia
MT00;MT00;MT00;MT00;Malta;Malta;Malta;Malta;Malta
NL11;NL11;NL11;NL11;Groningen;Groningen;Groningen;Groningen;Netherlands
NL12;NL12;NL12;NL12;Friesland (NL);Friesland (NL);Friesland;Friesland;Netherlands
NL13;NL13;NL13;NL13;Drenthe;Drenthe;Drenthe;Drenthe;Netherlands
NL21;NL21;NL21;NL21;Overijssel;Overijssel;Overijssel;Overijssel;Netherlands
NL22;NL22;NL22;NL22;Gelderland;Gelderland;Gelderland;Gelderland;Netherlands
NL23;NL23;NL23;NL23;Flevoland;Flevoland;Flevoland;Flevoland;Netherlands
NL31;NL31;NL31;NL31;Utrecht;Utrecht;Utrecht;Utrecht;Netherlands
NL32;NL32;NL32;NL32;Noord-Holland;Noord-Holland;North Holland;North Holland;Netherlands
NL33;NL33;NL33;NL33;Zuid-Holland;Zuid-Holland;South Holland;South Holland;Netherlands
NL34;NL34;NL34;NL34;Zeeland;Zeeland;Zeeland;Zeeland;Netherlands
NL41;NL41;NL41;NL41;Noord-Brabant;Noord-Brabant;North Brabant;North Brabant;Netherlands
NL42;NL42;NL42;NL42;Limburg (NL);Limburg (NL);Limburg;Limburg;Netherlands
NO01;;NO01;NO01;Oslo og Akershus;Oslo og Akershus;Oslo and Akershus;Oslo and Akershus;Norway
NO02;;NO02;NO02;Hedmark og Oppland;Hedmark og Oppland;Hedmark and Oppland;Hedmark and Oppland;Norway
NO03;;NO03;NO03;Sør-Østlandet;Sør-Østlandet;South Eastern Norway;South Eastern Norway;Norway
NO04;;NO04;NO04;Agder og Rogaland;Agder og Rogaland;Agder and Rogaland;Agder and Rogaland;Norway
NO05;;NO05;NO05;Vestlandet;Vestlandet;Western Norway;Western Norway;Norway
NO06;;NO06;NO06;Trøndelag;Trøndelag;Trondelag;Trondelag;Norway
NO07;;NO07;NO07;Nord-Norge;Nord-Norge;Northern Norway;Northern Norway;Norway
PL11;PL71;PL71;PL71;?ódzkie;?ódzkie;Lodz Province;Lodz Province;Poland
PL12;PL91;PL91;PL91;Mazowieckie;Warszawski sto?eczny;Mazovia Province;Warsaw Capital;
PL12;PL92;PL92;PL92;Mazowieckie;Mazowiecki Regionalny;Mazovia Province;Mazovia Region;Poland
PL21;PL21;PL21;PL21;Ma?opolskie;Ma?opolskie;Lesser Poland Province;Lesser Poland Province;Poland
PL22;PL22;PL22;PL22;?l?skie;?l?skie;Silesia Province;Silesia Province;Poland
PL31;PL81;PL81;PL81;Lubelskie;Lubelskie;Lublin Province;Lublin Province;Poland
PL32;PL82;PL82;PL82;Podkarpackie;Podkarpackie;Subcarpathia Province;Subcarpathia Province;Poland
PL33;PL72;PL72;PL72;?wi?tokrzyskie;?wi?tokrzyskie;Swietokrzyskie;Swietokrzyskie;Poland
PL34;PL84;PL84;PL84;Podlaskie;Podlaskie;Podlasie Province;Podlasie Province;Poland
PL41;PL41;PL41;PL41;Wielkopolskie;Wielkopolskie;Wielkopolska Province;Wielkopolska Province;Poland
PL42;PL42;PL42;PL42;Zachodniopomorskie;Zachodniopomorskie;West Pomerania Province;West Pomerania Province;Poland
PL43;PL43;PL43;PL43;Lubuskie;Lubuskie;Lubusz Province;Lubusz Province;Poland
PL51;PL51;PL51;PL51;Dolno?l?skie;Dolno?l?skie;Lower Silesia Province;Lower Silesia Province;Poland
PL52;PL52;PL52;PL52;Opolskie;Opolskie;Opole Province;Opole Province;Poland
PL61;PL61;PL61;PL61;Kujawsko-Pomorskie;Kujawsko-Pomorskie;Kujawy-Pomerania Province;Kujawy-Pomerania Province;Poland
PL62;PL62;PL62;PL62;Warmi?sko-Mazurskie;Warmi?sko-Mazurskie;Warmia-Mazury Province;Warmia-Mazury Province;Poland
PL63;PL63;PL63;PL63;Pomorskie;Pomorskie;Pomerania Province;Pomerania Province;Poland
PT11;PT11;PT11;PT11;Norte;Norte;Northern Portugal;Norte;Portugal
PT15;PT15;PT15;PT15;Algarve;Algarve;Algarve;Algarve;Portugal
PT16;PT16;PT16;PT16;Centro (Pt);Centro (Pt);Central Portugal;Centro (Pt);Portugal
PT17;PT17;PT17;PT17;Área Metropolitana De Lisboa;Área Metropolitana De Lisboa;Lisbon Metropolitan Area;Área Metropolitana De Lisboa;Portugal
PT18;PT18;PT18;PT18;Alentejo;Alentejo;Alentejo Region;Alentejo;Portugal
PT20;PT20;PT20;PT20;Região Autónoma Dos Açores;Região Autónoma Dos Açores;Autonomous Region of the Azores;Região Autónoma Dos Açores;Portugal
PT30;PT30;PT30;PT30;Região Autónoma Da Madeira;Região Autónoma Da Madeira;Autonomous Region of Madeira;Região Autónoma Da Madeira;Portugal
RO11;RO11;RO11;RO11;Nord-Vest;Nord-Vest;Nord-Vest;Nord-Vest;Romania
RO12;RO12;RO12;RO12;Centru;Centru;Centre;Centru;Romania
RO21;RO21;RO21;RO21;Nord-Est;Nord-Est;Nord-Est;Nord-Est;Romania
RO22;RO22;RO22;RO22;Sud-Est;Sud-Est;Sud-Est;Sud-Est;Romania
RO31;RO31;RO31;RO31;Sud-Muntenia;Sud-Muntenia;Sud-Muntenia;Sud-Muntenia;Romania
RO32;RO32;RO32;RO32;Bucure?ti-Ilfov;Bucure?ti-Ilfov;Bucharest-Ilfov;Bucure?ti-Ilfov;Romania
RO41;RO41;RO41;RO41;Sud-Vest Oltenia;Sud-Vest Oltenia;Sud-Vest Oltenia;Sud-Vest Oltenia;Romania
RO42;RO42;RO42;RO42;Vest;Vest;Vest;Vest;Romania
SE11;SE11;SE11;SE11;Stockholm;Stockholm;Stockholm;Stockholm;Sweden
SE12;SE12;SE12;SE12;Östra Mellansverige;Östra Mellansverige;East Middle Sweden;Östra Mellansverige;Sweden
SE21;SE21;SE21;SE21;Småland Med Öarna;Småland Med Öarna;Smaland and the islands;Småland Med Öarna;Sweden
SE22;SE22;SE22;SE22;Sydsverige;Sydsverige;South Sweden;Sydsverige;Sweden
SE23;SE23;SE23;SE23;Västsverige;Västsverige;West Sweden;Västsverige;Sweden
SE31;SE31;SE31;SE31;Norra Mellansverige;Norra Mellansverige;North Middle Sweden;Norra Mellansverige;Sweden
SE32;SE32;SE32;SE32;Mellersta Norrland;Mellersta Norrland;Middle Norrland;Mellersta Norrland;Sweden
SE33;SE33;SE33;SE33;Övre Norrland;Övre Norrland;Upper Norrland;Övre Norrland;Sweden
SI03;SI03;SI03;SI03;Vzhodna Slovenija;Vzhodna Slovenija;Eastern Slovenia;Vzhodna Slovenija;Slovenia
SI04;SI04;SI04;SI04;Zahodna Slovenija;Zahodna Slovenija;Western Slovenia;Zahodna Slovenija;Slovenia
SK01;SK01;SK01;SK01;Bratislavský Kraj;Bratislavský Kraj;Bratislava Region;Bratislavský Kraj;Slovakia
SK02;SK02;SK02;SK02;Západné Slovensko;Západné Slovensko;Western Slovakia;Západné Slovensko;Slovakia
SK03;SK03;SK03;SK03;Stredné Slovensko;Stredné Slovensko;Central Slovakia;Stredné Slovensko;Slovakia
SK04;SK04;SK04;SK04;Východné Slovensko;Východné Slovensko;Eastern Slovakia;Východné Slovensko;Slovakia
TR10;;TR10;TR10;?stanbul;?stanbul;?stanbul;?stanbul;Turkey
TR21;;TR21;TR21;Tekirda?, Edirne, K?rklareli;Tekirda?, Edirne, K?rklareli;Tekirda?, Edirne, K?rklareli;Tekirda?, Edirne, K?rklareli;Turkey
TR22;;TR22;TR22;Bal?kesir, Çanakkale;Bal?kesir, Çanakkale;Bal?kesir, Çanakkale;Bal?kesir, Çanakkale;Turkey
TR31;;TR31;TR31;?zmir;?zmir;?zmir;?zmir;Turkey
TR32;;TR32;TR32;Ayd?n, Denizli, Mu?la;Ayd?n, Denizli, Mu?la;Ayd?n, Denizli, Mu?la;Ayd?n, Denizli, Mu?la;Turkey
TR33;;TR33;TR33;Manisa, Afyonkarahisar, Kütahya, U?ak;Manisa, Afyonkarahisar, Kütahya, U?ak;Manisa, Afyonkarahisar, Kütahya, U?ak;Manisa, Afyonkarahisar, Kütahya, U?ak;Turkey
