nuts2;nuts2-lfs;old-nuts2-lfs;nuts2-SM;name;name-SM;name-english;name-english-SM;country
AT11;AT11;AT11;AT11;Burgenland;Burgenland;Burgenland;Burgenland;Austria
AT12;AT12;AT12;AT12;Niederösterreich;Niederösterreich;Lower Austria;Lower Austria;Austria
AT13;AT13;AT13;AT13;Wien;Wien;Vienna;Vienna;Austria
AT21;AT21;AT21;AT21;Kärnten;Kärnten;Carinthia;Carinthia;Austria
AT22;AT22;AT22;AT22;Steiermark;Steiermark;Styria;Styria;Austria
AT31;AT31;AT31;AT31;Oberösterreich;Oberösterreich;Upper Austria;Upper Austria;Austria
AT32;AT32;AT32;AT32;Salzburg;Salzburg;Salzburg;Salzburg;Austria
AT33;AT33;AT33;AT33;Tirol;Tirol;Tyrol;Tyrol;Austria
AT34;AT34;AT34;AT34;Vorarlberg;Vorarlberg;Vorarlberg;Vorarlberg;Austria
BE10;BE10;BE10;BE10;Région De Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;Région De Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;Brussels;Brussels;Belgium
BE21;BE21;BE21;BE21;Prov. Antwerpen;Prov. Antwerpen;Antwerp;Antwerp;Belgium
BE22;BE22;BE22;BE22;Prov. Limburg (Be);Prov. Limburg (Be);Limburg;Limburg;Belgium
BE23;BE23;BE23;BE23;Prov. Oost-Vlaanderen;Prov. Oost-Vlaanderen;East Flanders;East Flanders;Belgium
BE24;BE24;BE24;BE24;Prov. Vlaams-Brabant;Prov. Vlaams-Brabant;Flemish Brabant;Flemish Brabant;Belgium
BE25;BE25;BE25;BE25;Prov. West-Vlaanderen;Prov. West-Vlaanderen;West Flanders;West Flanders;Belgium
BE31;BE31;BE31;BE31;Prov. Brabant Wallon;Prov. Brabant Wallon;Walloon Brabant;Walloon Brabant;Belgium
BE32;BE32;BE32;BE32;Prov. Hainaut;Prov. Hainaut;Hainaut;Hainaut;Belgium
BE33;BE33;BE33;BE33;Prov. Liège;Prov. Liège;Liege;Liège;Belgium
BE34;BE34;BE34;BE34;Prov. Luxembourg (Be);Prov. Luxembourg (Be);Luxembourg (Belgium);Luxembourg (Belgium);Belgium
BE35;BE35;BE35;BE35;Prov. Namur;Prov. Namur;Namur;Namur;Belgium
BG31;BG31;BG31;BG31;Northwestern;Northwestern;Northwestern;Northwestern;Bulgaria
BG32;BG32;BG32;BG32;Northern Central;Northern Central;Northern Central;Northern Central;Bulgaria
BG33;BG33;BG33;BG33;Northeastern;Northeastern;Northeastern;Northeastern;Bulgaria
BG34;BG34;BG34;BG34;Southeastern;Southeastern;Southeastern;Southeastern;Bulgaria
BG41;BG41;BG41;BG41;Southwestern;Southwestern;Southwestern;Southwestern;Bulgaria
BG42;BG42;BG42;BG42;Southern Central;Southern Central;Southern Central;Southern Central;Bulgaria
CH01;;CH01;CH01;Région lémanique;Région lémanique;Lake Geneva region;Lake Geneva region;Switzerland
CH02;;CH02;CH02;Espace Mittelland;Espace Mittelland;Espace Mittelland;Espace Mittelland;Switzerland
