"reg_code";"patcount"
"CA46";1555
"IL06";4163
"ITC3";2311
"KR01";150345
"KR03";11985
"CN09";35829
"ITF6";551
"ES52";4248
"ITH3";10694
"KRZZ";2784
"BR12";56
"MAZZ";639
"DDZZ";20
"ITH4";3240
"US56";1165
"KR05";38031
"ITF3";2318
"HTZZ";3
"CN17";8171
"IN31";13308
"ARZZ";1604
"TNZZ";277
"ITG1";1170
"IEZZ";1343
"BG41";776
"ITI3";2180
"PL41";679
"MC00";225
"PF00";239
"ZAZZ";241
"ITF1";1472
"PL12";2218
"FI20";97
"ME09";1512
"IL02";5574
"IN11";1354
"ITG2";559
"KR04";9025
"BG42";127
"KPZZ";115
"BR27";43
"GHZZ";45
"DZZZ";184
"ITH2";882
"PGZZ";7
"HUZZ";183
"SNZZ";43
"ANZZ";45
"PAZZ";298
"CNZZ";2178
"ITF4";1416
"NAZZ";34
"CA13";602
"ME17";152
"ME19";642
"MRZZ";4
"ME14";976
"CN12";3109
"BG34";84
"CA47";1100
"IE01";2982
"CN13";6843
"PL11";697
"KR02";16273
"NL23";892
"EL52";426
"BR23";1077
"INZZ";2100
"CA12";1113
"ES24";1506
"ES62";775
"IDZZ";572
"UYZZ";280
"KR06";2701
"SMZZ";64
"CN01";66992
"RU18";12025
"LVZZ";21
"CL13";1581
"ATZZ";290
"RU04";189
"QAZZ";371
"CRZZ";326
"COZZ";1578
"LV00";649
"PT15";123
"ITF5";198
"ES53";350
"RU25";375
"KOZZ";2
"ZA07";33
"CN28";386
"PT18";211
"EGZZ";1132
"TR41";1001
"EPZZ";5
"FRY2";52
"RU29";3920
"RU49";280
"CN07";1011
"CN05";621
"CSZZ";48
"CN03";2466
"CN19";196076
"UAZZ";3418
"PEZZ";368
"RU53";78
"RUZZ";793
"TR63";124
"TR90";233
"PL51";1072
"UGZZ";27
"AEZZ";1367
"CN02";3218
"SFZZ";2
"IN33";3700
"MUZZ";62
"EL43";199
"RO31";130
"ES41";1097
"IQZZ";30
"NGZZ";71
"ES12";562
"JOZZ";196
"ME30";87
"IN12";2826
"EL51";36
"UBZZ";1
"EL63";181
"BR13";133
"PL63";648
"IN30";5588
"ZMZZ";14
"PL21";1398
"ES11";1188
"ES22";1199
"BR17";181
"RU10";4474
"FRY1";66
"GIZZ";49
"CN15";14663
"PL42";190
"ES23";177
"UKZZ";1
"RU62";417
"ZRZZ";1
"RU71";1120
"EL54";45
"FRY3";18
"ES42";657
"ZA04";715
"KEZZ";175
"PT11";1453
"ADZZ";105
"SYZZ";82
"PL61";224
"TR31";692
"PL22";834
"MDZZ";153
"CN25";625
"PL52";176
"RU14";49
"RU21";104
"MSZZ";2
"ZA06";206
"ES21";2485
"KR07";815
"PL62";103
"RU20";74
"ZA08";285
"EL65";48
"MT00";158
"RU73";342
"RU58";590
"IN05";2249
"RU05";49
"BG32";90
"CZ05";992
"PRZZ";222
"BYZZ";626
"ES43";155
"EL53";24
"UZZZ";93
"HR03";422
"HR04";1003
"RU67";89
"RU24";83
"RU12";121
"IN34";105
"TRZZ";562
"CZ06";1075
"RU38";348
"RU79";4
"CN18";3889
"AMZZ";233
"SI04";867
"VGZZ";83
"RU55";182
"RU40";30
"ZA02";314
"RU51";1206
"JMZZ";41
"EL61";80
"RU50";75
"EE00";833
"RU64";14
"RU68";263
"TGZZ";3
"RU23";63
"RU06";251
"SI03";2408
"LT00";526
"LTZZ";142
"BG31";54
"CZ01";1675
"MLZZ";5
"SK02";553
"PKZZ";205
"RU46";358
"ES13";331
"RU03";111
"SK01";652
"SK04";312
"RU42";294
"SK03";267
"RU33";35
"GMZZ";12
"IN27";249
"CZ03";583
"CZ02";1019
"ME21";164
"DOZZ";102
"AZZZ";145
"KZZZ";450
"IN04";530
"RU69";143
"KGZZ";23
"RU54";282
"RU78";6
"HRZZ";14
"CZ08";488
"RU43";301
"CZ07";733
"RU70";86
"RU48";47
"CUZZ";289
"RU72";111
"CN23";4942
"FOZZ";41
"TR51";1601
"RU17";160
"PL43";109
"RU41";128
"OMZZ";90
"RU01";93
"RU08";46
"SVZZ";38
"MGZZ";37
"RU34";8
"PL33";167
"RO41";91
"NPZZ";12
"AGZZ";18
"RU76";123
"RU47";105
"RU56";92
"CMZZ";46
"SIZZ";49
"RU28";42
"CN10";34871
"CN27";2855
"ME02";104
"BG33";91
"CZ04";252
"RU37";15
"PFZZ";10
"CN06";4114
"ITC2";180
"CLZZ";114
"PL32";334
"RU16";164
"RU59";131
"GEZZ";221
"CN20";847
"RU66";11
"CN08";849
"RU11";31
"BR11";29
"TR33";249
"RU15";143
"TR61";177
"VUZZ";6
"CN11";21021
"PTZZ";35
"PL31";293
"RU26";37
"LRZZ";5
"GDZZ";3
"CL09";42
"SKZZ";22
"RU44";25
"CIZZ";35
"RU19";34
"BBZZ";52
"ME22";172
"RU07";33
"RU09";40
"BR10";116
"PT30";19
"CGZZ";14
"RU45";23
"RO11";195
"CN14";1314
"RU31";24
"TTZZ";81
"LYZZ";21
"RU57";53
"TR42";1108
"CZZZ";96
"RU36";18
"BIZZ";10
"MWZZ";8
"ME10";26
"BR25";115
"BMZZ";70
"BR14";16
"ME05";133
"KWZZ";94
"SLZZ";12
"ME11";180
"BR01";3
"IN18";418
"IN28";466
"ITF2";115
"MKZZ";100
"CN16";2005
"HNZZ";12
"ECZZ";178
"NCZZ";26
"BGZZ";35
"VNZZ";514
"IN20";2178
"GAZZ";18
"PL34";129
"RO21";116
"RU77";46
"TR72";147
"FJZZ";14
"TR32";125
"CL02";62
"RU75";21
"EL64";50
"IN21";148
"CN24";383
"LSZZ";4
"AWZZ";12
"IN01";180
"EL42";29
"CN31";262
"EEZZ";21
"BHZZ";65
"RU39";128
"CN21";206
"ZA05";95
"TZZZ";16
"CL14";42
"ME28";99
"TR62";199
"ME29";54
"PLZZ";89
"CL05";198
"CN22";2576
"IN17";871
"ME16";45
"BAZZ";166
"ME12";3
"IN29";88
"BJZZ";7
"SDZZ";59
"BDZZ";97
"CL07";45
"MTZZ";91
"RU13";54
"CKZZ";2
"ME26";242
"ME27";27
"SCZZ";31
"NEZZ";14
"STZZ";1
"MQZZ";3
"ME25";72
"AIZZ";8
"BR08";22
"CN29";61
"VCZZ";2
"FRY5";4
"ME24";85
"BR26";50
"ME31";51
"TR71";43
"ME01";46
"RU27";38
"ME06";24
"TDZZ";2
"CN26";10
"IN23";199
"TKZZ";4
"ME03";18
"TCZZ";18
"RSZZ";503
"ME08";153
"CL12";3
"KNZZ";5
"IN19";228
"ASZZ";1
"RU52";55
"BNZZ";36
"TRB2";10
"CL06";41
"TRC1";110
"RU02";56
"TRA2";19
"CN30";152
"ME20";18
"BR04";64
"GNZZ";6
"IN32";360
"RU30";11
"BWZZ";11
"SZZZ";10
"CL11";3
"TR22";65
"RU65";1
"TJZZ";12
"MO00";84
"ME32";29
"IN10";162
"BZZZ";11
"RU81";11
"DMZZ";5
"MNZZ";33
"TR21";279
"TR83";107
"IN16";157
"REZZ";23
"YEZZ";5
"CL10";71
"IN02";159
"ALZZ";27
"SRZZ";4
"VAZZ";2
"BR16";16
"CA60";15
"UMZZ";11
"SHZZ";4
"CA61";7
"CVZZ";6
"TRB1";55
"ETZZ";12
"BFZZ";10
"ME23";22
"BR03";47
"KHZZ";17
"TWZZ";11
"EL62";10
"ME07";15
"KIZZ";1
"CL03";16
"GPZZ";8
"CL08";190
"TR52";262
"EL41";9
"VIZZ";19
"TRA1";66
"CL04";27
"GFZZ";3
"NIZZ";13
"GUZZ";4
"GQZZ";1
"MPZZ";3
"NFZZ";3
"ME18";14
"CDZZ";5
"WFZZ";3
"LAZZ";12
"TRC3";13
"TMZZ";4
"BR05";2
"TRC2";31
"PT20";10
"IMZZ";11
"GYZZ";1
"TR82";13
"LCZZ";2
"KMZZ";1
"IN24";5
"BUZZ";1
"RU80";3
"CL01";5
"CA62";1
"CL15";10
"MMZZ";9
"ME04";17
"BR07";6
"AOZZ";12
"TR81";17
"RU63";4
"GLZZ";1
"CCZZ";1
"ERZZ";3
"IN15";2
"RU35";14
"MEZZ";34
"BTZZ";4
"CFZZ";4
"TPZZ";1
"RU83";1
"IN08";4
"PSZZ";1
"DJZZ";1
"BQZZ";2
"IN26";3
"RWZZ";4
"SOZZ";1
"JEZZ";11
"AFZZ";1
"IN07";2
