"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL11","Analysis of biological materials",14,2.1,49.21,44.56,"north"
"NL12","Analysis of biological materials",4,0.7,34.2,44.56,"north"
"NL13","Analysis of biological materials",3,1.02,33.77,44.56,"north"
"NL11","Audio-visual technology",2,0.21,17.86,79.82,"north"
"NL12","Audio-visual technology",4,0.48,10.58,79.82,"north"
"NL11","Basic materials chemistry",28,1.63,54.76,11.54,"north"
"NL12","Basic materials chemistry",19,1.29,58.93,11.54,"north"
"NL13","Basic materials chemistry",13,1.71,55.49,11.54,"north"
"NL11","Biotechnology",40,2.51,75.03,42,"north"
"NL12","Biotechnology",23,1.68,28.3,42,"north"
"NL13","Biotechnology",10,1.42,38.61,42,"north"
"NL11","Chemical engineering",9,0.47,43.64,13.92,"north"
"NL12","Chemical engineering",21,1.29,50.25,13.92,"north"
"NL13","Chemical engineering",11,1.31,52.64,13.92,"north"
"NL11","Civil engineering",11,0.66,22.26,18,"north"
"NL12","Civil engineering",23,1.62,33.93,18,"north"
"NL13","Civil engineering",19,2.6,48.1,18,"north"
"NL11","Computer technology",6,0.27,19.05,90.45,"north"
"NL12","Computer technology",13,0.69,9.84,90.45,"north"
"NL12","Control",11,0.99,19.64,58.99,"north"
"NL13","Control",1,0.17,23.02,58.99,"north"
"NL11","Digital communication",13,0.6,3.98,100,"north"
"NL12","Digital communication",3,0.16,5.81,100,"north"
"NL13","Digital communication",2,0.21,2.85,100,"north"
"NL11","Electrical machinery, apparatus, energy",13,0.43,21.32,29.41,"north"
"NL12","Electrical machinery, apparatus, energy",16,0.62,30.29,29.41,"north"
"NL13","Electrical machinery, apparatus, energy",3,0.23,32.57,29.41,"north"
"NL11","Engines, pumps, turbines",7,0.44,17.86,36.32,"north"
"NL12","Engines, pumps, turbines",7,0.51,43.48,36.32,"north"
"NL13","Engines, pumps, turbines",7,1,49.24,36.32,"north"
"NL11","Environmental technology",8,0.99,26.05,23.27,"north"
"NL12","Environmental technology",21,3.05,53.98,23.27,"north"
"NL13","Environmental technology",5,1.41,53.17,23.27,"north"
"NL11","Food chemistry",34,5.68,72.57,23.41,"north"
"NL12","Food chemistry",13,2.53,53.45,23.41,"north"
