"source","target","weight"
0,0,27
1,1,14
0,189,3
0,27,3
0,187,3
1,120,3
0,185,2
0,99,2
0,25,2
1,184,2
0,42,1
0,158,1
0,84,1
0,72,1
0,1,1
0,183,1
0,188,1
0,64,1
0,104,1
0,87,1
0,26,1
0,2,1
1,20,1
1,58,1
1,189,1
1,81,1
1,245,1
0,1,1
1,27,1
1,25,1
1,246,1
1,243,1
1,26,1
0,2,1
2,112,1
2,188,1
2,27,1
