"source","target","weight"
0,0,74
1,1,2
0,155,1
0,77,1
0,85,1
0,25,1
0,26,1
0,138,1
0,81,1
0,184,1
0,185,1
0,189,1
0,1,1
1,85,1
1,229,1
1,188,1
1,81,1
0,1,1
1,189,1
2,27,1
2,188,1
2,29,1
