"source","target","weight"
0,0,257
1,1,249
2,2,242
3,3,206
4,4,137
5,5,114
6,6,101
7,7,79
8,8,62
9,9,57
10,10,48
11,11,48
12,12,47
13,13,44
14,14,44
4,5,43
4,5,43
15,15,43
16,16,42
17,17,41
18,18,40
19,19,39
20,20,38
0,6,38
0,6,38
21,21,35
22,22,31
23,23,29
19,24,28
19,24,28
25,25,28
4,26,27
8,27,27
4,26,27
8,27,27
6,28,26
6,28,26
4,14,25
24,24,25
4,14,25
29,29,24
30,30,24
1,31,23
1,31,23
32,32,23
5,16,22
33,33,22
5,16,22
34,34,22
35,35,19
19,38,16
36,36,16
37,37,16
19,38,16
1,10,15
1,10,15
39,39,15
40,40,15
41,41,14
42,42,14
43,43,14
0,44,13
0,44,13
31,31,13
27,27,13
0,5,12
0,5,12
26,26,12
45,45,12
5,48,11
0,4,11
0,4,11
0,46,11
11,21,11
0,46,11
47,47,11
5,48,11
49,49,11
11,21,11
50,50,11
51,51,11
0,11,10
6,46,10
0,11,10
6,46,10
48,48,10
37,42,10
37,42,10
17,20,9
24,38,9
52,52,9
28,28,9
53,53,9
17,20,9
24,38,9
54,54,9
4,33,8
4,59,8
11,19,8
0,26,8
55,55,8
11,19,8
56,56,8
4,33,8
29,45,8
9,45,8
57,57,8
0,26,8
36,63,8
58,58,8
4,59,8
60,60,8
61,61,8
29,45,8
9,45,8
62,62,8
36,63,8
1,12,7
3,7,7
3,7,7
3,66,7
1,12,7
0,67,7
64,64,7
11,68,7
65,65,7
8,58,7
3,66,7
8,58,7
0,67,7
11,68,7
69,69,7
70,70,7
71,71,7
72,72,7
38,38,7
73,73,7
22,49,6
1,3,6
3,15,6
4,55,6
1,3,6
18,36,6
0,28,6
6,16,6
4,55,6
21,55,6
11,24,6
11,24,6
9,49,6
9,60,6
0,28,6
48,50,6
6,16,6
18,36,6
22,49,6
9,49,6
74,74,6
9,60,6
3,15,6
21,55,6
48,50,6
75,75,6
76,76,6
77,77,6
78,78,6
7,22,5
22,84,5
7,22,5
7,18,5
3,18,5
4,16,5
79,79,5
7,18,5
3,18,5
39,80,5
39,80,5
6,54,5
11,82,5
11,38,5
81,81,5
8,89,5
8,91,5
4,16,5
66,66,5
37,83,5
11,82,5
27,58,5
67,67,5
27,58,5
37,83,5
22,84,5
11,38,5
6,54,5
85,85,5
86,86,5
87,87,5
88,88,5
8,89,5
89,91,5
90,90,5
8,91,5
89,91,5
92,92,5
5,26,4
7,9,4
7,77,4
4,6,4
19,43,4
93,93,4
0,16,4
94,94,4
4,6,4
11,99,4
29,37,4
24,43,4
24,73,4
7,9,4
0,16,4
17,95,4
5,26,4
26,59,4
17,95,4
29,37,4
82,82,4
19,43,4
24,43,4
26,59,4
96,96,4
97,97,4
98,98,4
38,73,4
24,73,4
38,73,4
11,99,4
100,100,4
7,77,4
5,6,3
4,101,3
2,3,3
13,53,3
9,22,3
7,15,3
7,45,3
2,3,3
3,6,3
3,70,3
4,101,3
4,11,3
4,67,3
1,9,3
1,25,3
1,34,3
1,75,3
6,19,3
19,73,3
53,79,3
0,56,3
0,29,3
0,48,3
10,64,3
10,25,3
10,30,3
10,64,3
30,64,3
9,39,3
39,49,3
5,6,3
3,6,3
6,19,3
6,56,3
44,44,3
11,55,3
4,11,3
11,55,3
11,112,3
30,31,3
0,56,3
6,56,3
102,102,3
57,102,3
0,29,3
29,103,3
29,42,3
8,24,3
52,107,3
9,22,3
1,9,3
9,39,3
9,72,3
14,65,3
29,103,3
103,103,3
8,24,3
8,116,3
14,65,3
0,48,3
104,104,3
13,53,3
53,79,3
57,102,3
29,42,3
42,45,3
1,25,3
10,25,3
36,110,3
15,66,3
37,45,3
43,60,3
39,49,3
4,67,3
59,59,3
59,68,3
1,34,3
59,68,3
32,117,3
43,60,3
7,15,3
15,66,3
3,70,3
105,105,3
10,30,3
30,64,3
30,31,3
106,106,3
7,45,3
42,45,3
37,45,3
52,107,3
108,108,3
1,75,3
109,109,3
9,72,3
63,110,3
36,110,3
63,110,3
111,111,3
19,73,3
11,112,3
113,113,3
114,114,3
115,115,3
8,116,3
32,117,3
118,118,3
119,119,3
120,120,3
5,11,2
5,24,2
5,9,2
5,57,2
5,40,2
26,101,2
7,12,2
12,19,2
12,31,2
12,24,2
12,45,2
1,2,2
2,14,2
13,143,2
1,22,2
22,31,2
7,12,2
7,19,2
7,29,2
7,24,2
7,103,2
7,70,2
7,131,2
3,4,2
0,3,2
3,26,2
3,123,2
3,124,2
3,150,2
3,4,2
4,19,2
4,9,2
4,65,2
4,48,2
4,57,2
4,68,2
4,124,2
4,114,2
1,2,2
1,22,2
1,64,2
1,102,2
1,24,2
1,52,2
1,23,2
1,30,2
1,84,2
1,72,2
12,19,2
7,19,2
4,19,2
0,19,2
19,55,2
8,19,2
19,104,2
19,112,2
19,144,2
19,146,2
18,65,2
18,124,2
18,126,2
0,3,2
0,19,2
0,52,2
0,9,2
0,74,2
0,59,2
0,27,2
0,54,2
10,31,2
10,24,2
10,84,2
1,64,2
31,64,2
39,67,2
11,80,2
75,94,2
6,44,2
6,11,2
6,24,2
6,127,2
6,44,2
19,55,2
5,11,2
11,80,2
6,11,2
11,46,2
11,48,2
11,59,2
11,73,2
11,144,2
12,31,2
22,31,2
10,31,2
31,64,2
23,31,2
11,46,2
46,46,2
28,46,2
16,46,2
1,102,2
7,29,2
9,29,2
29,131,2
5,24,2
12,24,2
7,24,2
1,24,2
10,24,2
6,24,2
24,104,2
24,26,2
24,82,2
24,112,2
24,146,2
52,121,2
1,52,2
0,52,2
52,121,2
52,141,2
5,9,2
4,9,2
0,9,2
9,29,2
9,40,2
9,43,2
9,27,2
9,30,2
9,153,2
4,65,2
18,65,2
7,103,2
45,103,2
103,131,2
8,19,2
28,46,2
16,28,2
2,14,2
14,16,2
47,69,2
47,137,2
4,48,2
11,48,2
16,48,2
48,86,2
19,104,2
24,104,2
104,146,2
53,90,2
5,57,2
4,57,2
42,83,2
42,130,2
16,46,2
16,28,2
14,16,2
16,48,2
16,127,2
16,142,2
16,153,2
26,101,2
3,26,2
24,26,2
26,68,2
26,127,2
95,95,2
37,130,2
24,82,2
122,122,2
40,122,2
5,40,2
9,40,2
40,122,2
23,40,2
3,123,2
9,43,2
39,67,2
0,74,2
23,74,2
0,59,2
11,59,2
59,135,2
34,71,2
4,68,2
26,68,2
47,69,2
69,147,2
15,87,2
3,124,2
4,124,2
18,124,2
124,124,2
21,99,2
7,70,2
1,23,2
23,31,2
23,40,2
23,74,2
23,125,2
50,86,2
0,27,2
9,27,2
1,30,2
9,30,2
30,71,2
42,83,2
23,125,2
125,125,2
18,126,2
126,126,2
6,127,2
16,127,2
26,127,2
127,127,2
61,127,2
61,127,2
12,45,2
45,103,2
45,130,2
45,85,2
45,100,2
34,71,2
30,71,2
128,128,2
1,84,2
10,84,2
75,94,2
1,72,2
38,112,2
38,144,2
63,63,2
110,110,2
0,54,2
129,155,2
42,130,2
37,130,2
45,130,2
7,131,2
29,131,2
103,131,2
132,133,2
132,134,2
132,133,2
133,133,2
133,134,2
132,134,2
133,134,2
45,85,2
11,73,2
73,112,2
59,135,2
48,86,2
50,86,2
21,99,2
99,144,2
19,112,2
24,112,2
38,112,2
73,112,2
112,112,2
15,87,2
4,114,2
114,148,2
115,138,2
115,139,2
136,136,2
45,100,2
47,137,2
115,138,2
138,139,2
115,139,2
138,139,2
139,139,2
53,90,2
90,151,2
140,140,2
52,141,2
16,142,2
13,143,2
143,143,2
19,144,2
11,144,2
38,144,2
99,144,2
145,145,2
19,146,2
24,146,2
104,146,2
69,147,2
114,148,2
149,149,2
3,150,2
90,151,2
151,151,2
152,152,2
9,153,2
16,153,2
154,154,2
129,155,2
156,156,2
5,101,1
3,5,1
5,19,1
5,44,1
5,33,1
5,46,1
5,8,1
5,82,1
5,122,1
5,67,1
5,59,1
5,21,1
5,27,1
5,108,1
5,38,1
5,180,1
5,142,1
5,153,1
5,101,1
12,20,1
20,42,1
20,154,1
12,20,1
12,13,1
12,22,1
10,12,1
12,55,1
12,56,1
9,12,1
12,26,1
12,25,1
12,95,1
12,34,1
12,106,1
12,84,1
12,75,1
12,85,1
2,4,1
2,64,1
2,65,1
2,40,1
2,23,1
2,30,1
2,132,1
2,176,1
2,145,1
12,13,1
13,22,1
0,13,1
13,64,1
13,31,1
13,17,1
13,86,1
13,177,1
12,22,1
13,22,1
3,22,1
6,22,1
22,29,1
22,37,1
22,83,1
22,45,1
22,72,1
22,63,1
22,195,1
1,7,1
7,93,1
0,7,1
7,94,1
7,44,1
7,46,1
7,36,1
7,123,1
7,49,1
7,163,1
7,171,1
7,172,1
7,119,1
3,5,1
3,22,1
3,10,1
3,44,1
3,55,1
3,102,1
3,9,1
3,28,1
3,14,1
3,40,1
3,49,1
3,69,1
3,105,1
3,45,1
3,171,1
3,38,1
3,130,1
3,87,1
3,180,1
3,77,1
3,119,1
2,4,1
4,39,1
4,44,1
4,56,1
4,102,1
4,52,1
4,104,1
4,49,1
4,96,1
4,69,1
4,171,1
4,38,1
4,54,1
4,73,1
4,144,1
1,7,1
1,18,1
0,1,1
1,11,1
1,14,1
1,68,1
1,32,1
1,166,1
1,106,1
1,109,1
1,136,1
1,76,1
5,19,1
19,56,1
9,19,1
19,37,1
19,82,1
19,74,1
19,21,1
8,41,1
25,41,1
7,93,1
31,93,1
36,93,1
43,93,1
60,93,1
28,79,1
79,165,1
79,177,1
1,18,1
0,18,1
10,18,1
18,33,1
14,18,1
18,47,1
18,66,1
18,49,1
15,18,1
18,70,1
18,45,1
18,109,1
18,86,1
18,77,1
0,13,1
0,7,1
0,1,1
0,18,1
0,33,1
0,24,1
0,104,1
0,57,1
0,36,1
0,82,1
0,161,1
0,69,1
0,21,1
0,23,1
0,30,1
0,167,1
0,127,1
0,61,1
0,98,1
0,110,1
0,135,1
0,99,1
0,112,1
0,136,1
0,140,1
0,144,1
0,186,1
10,12,1
3,10,1
10,18,1
10,65,1
10,123,1
10,71,1
10,139,1
10,77,1
2,64,1
13,64,1
40,64,1
34,64,1
4,39,1
26,39,1
36,39,1
80,80,1
24,80,1
26,80,1
49,80,1
80,181,1
7,94,1
6,22,1
6,102,1
6,52,1
6,48,1
6,57,1
6,26,1
6,123,1
6,67,1
6,161,1
6,99,1
5,44,1
7,44,1
3,44,1
4,44,1
44,46,1
44,48,1
44,45,1
12,55,1
3,55,1
33,55,1
55,102,1
24,55,1
26,55,1
25,55,1
55,74,1
55,62,1
55,99,1
1,11,1
11,56,1
11,33,1
8,11,1
11,28,1
11,14,1
11,16,1
11,17,1
11,26,1
11,36,1
11,95,1
11,49,1
11,127,1
11,181,1
157,157,1
13,31,1
31,93,1
9,31,1
25,31,1
31,43,1
31,34,1
31,60,1
31,166,1
31,109,1
31,72,1
31,86,1
31,136,1
31,139,1
31,76,1
31,145,1
14,81,1
75,81,1
12,56,1
4,56,1
19,56,1
11,56,1
26,56,1
56,167,1
5,33,1
18,33,1
0,33,1
33,55,1
11,33,1
28,33,1
16,33,1
33,67,1
33,60,1
33,171,1
5,46,1
7,46,1
44,46,1
45,46,1
3,102,1
4,102,1
6,102,1
55,102,1
61,102,1
62,102,1
22,29,1
29,164,1
29,83,1
29,111,1
29,130,1
29,100,1
29,145,1
0,24,1
24,80,1
24,55,1
14,24,1
24,47,1
24,48,1
16,24,1
24,95,1
24,37,1
24,40,1
24,59,1
24,99,1
24,137,1
121,158,1
121,158,1
52,158,1
4,52,1
6,52,1
52,158,1
28,52,1
23,52,1
52,170,1
52,63,1
52,186,1
9,12,1
3,9,1
9,19,1
9,31,1
9,65,1
8,9,1
9,14,1
9,26,1
9,36,1
9,82,1
9,74,1
9,85,1
9,73,1
2,65,1
10,65,1
9,65,1
65,96,1
65,124,1
30,65,1
65,77,1
42,103,1
37,103,1
103,130,1
5,8,1
8,41,1
8,11,1
8,9,1
8,48,1
8,17,1
8,34,1
8,35,1
8,71,1
3,28,1
28,79,1
11,28,1
28,33,1
28,52,1
28,161,1
28,99,1
3,14,1
1,14,1
14,18,1
11,14,1
14,81,1
14,24,1
9,14,1
14,104,1
14,57,1
14,96,1
14,32,1
14,124,1
14,23,1
14,30,1
14,176,1
18,47,1
24,47,1
36,47,1
47,185,1
47,147,1
6,48,1
44,48,1
24,48,1
8,48,1
27,48,1
48,62,1
4,104,1
0,104,1
14,104,1
37,104,1
0,57,1
6,57,1
14,57,1
42,57,1
16,57,1
26,57,1
32,57,1
20,42,1
42,103,1
42,57,1
42,164,1
42,106,1
42,198,1
11,16,1
16,33,1
16,24,1
16,57,1
16,95,1
16,32,1
16,162,1
16,61,1
16,38,1
16,73,1
13,17,1
11,17,1
8,17,1
17,72,1
17,154,1
12,26,1
26,39,1
26,80,1
6,26,1
26,55,1
11,26,1
26,56,1
9,26,1
26,57,1
26,49,1
26,161,1
21,26,1
26,38,1
26,54,1
26,73,1
26,144,1
159,159,1
25,159,1
159,160,1
70,159,1
77,159,1
12,25,1
25,41,1
25,55,1
25,31,1
25,159,1
25,160,1
159,160,1
25,160,1
7,36,1
36,93,1
0,36,1
36,39,1
11,36,1
9,36,1
36,47,1
36,69,1
36,162,1
36,137,1
12,95,1
11,95,1
24,95,1
16,95,1
