"source","target","weight"
0,0,1739
1,1,9
0,189,5
0,90,5
0,80,5
0,41,4
0,26,4
0,185,4
0,1,3
0,1,3
1,187,3
0,17,2
0,123,2
0,42,2
0,188,2
0,25,2
0,27,2
0,187,2
1,158,2
1,47,2
1,22,2
0,74,1
0,87,1
0,28,1
0,81,1
0,44,1
0,65,1
0,61,1
0,142,1
0,43,1
0,172,1
0,108,1
0,29,1
0,184,1
0,112,1
0,2,1
0,116,1
0,173,1
1,189,1
1,49,1
1,53,1
1,237,1
1,184,1
1,26,1
1,32,1
1,185,1
1,54,1
1,51,1
0,2,1
2,27,1
2,32,1
2,116,1
