"source","target","weight"
0,0,41
1,1,6
0,188,4
0,1,4
0,1,4
1,240,4
0,187,3
0,186,3
0,184,3
0,79,2
0,137,2
1,79,2
1,80,2
1,184,2
0,56,1
0,42,1
0,41,1
0,27,1
0,80,1
0,112,1
0,87,1
1,60,1
1,41,1
1,187,1
