"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL23","Analysis of biological materials",3,0.84,50.94,44.56,"west"
"NL31","Analysis of biological materials",50,1.91,36.94,44.56,"west"
"NL32","Analysis of biological materials",58,1.32,53.25,44.56,"west"
"NL33","Analysis of biological materials",71,1.1,83.12,44.56,"west"
"NL23","Audio-visual technology",1,0.19,19.07,79.82,"west"
"NL31","Audio-visual technology",31,0.81,4.74,79.82,"west"
"NL32","Audio-visual technology",97,1.51,22.05,79.82,"west"
"NL33","Audio-visual technology",98,1.04,26.02,79.82,"west"
"NL31","Basic communication processes",1,0.07,2.65,74.95,"west"
"NL32","Basic communication processes",9,0.4,28.54,74.95,"west"
"NL33","Basic communication processes",31,0.93,33.41,74.95,"west"
"NL23","Basic materials chemistry",16,1.74,74.71,11.54,"west"
"NL31","Basic materials chemistry",60,0.89,15.05,11.54,"west"
"NL32","Basic materials chemistry",186,1.64,79.51,11.54,"west"
"NL33","Basic materials chemistry",206,1.23,38.08,11.54,"west"
"NL23","Biotechnology",11,1.29,63.58,42,"west"
"NL31","Biotechnology",208,3.32,57.34,42,"west"
"NL32","Biotechnology",172,1.64,82.73,42,"west"
"NL33","Biotechnology",316,2.04,83.56,42,"west"
"NL23","Chemical engineering",11,1.08,57.36,13.92,"west"
"NL31","Chemical engineering",72,0.96,18.43,13.92,"west"
"NL32","Chemical engineering",209,1.67,67.02,13.92,"west"
"NL33","Chemical engineering",191,1.03,38.6,13.92,"west"
"NL23","Civil engineering",18,2.03,41.55,18,"west"
"NL31","Civil engineering",80,1.23,12.86,18,"west"
"NL32","Civil engineering",109,1,41.67,18,"west"
"NL33","Civil engineering",305,1.89,29.05,18,"west"
"NL23","Computer technology",6,0.51,10.46,90.45,"west"
"NL31","Computer technology",35,0.4,7.18,90.45,"west"
"NL32","Computer technology",129,0.89,30.84,90.45,"west"
"NL33","Computer technology",167,0.78,31.46,90.45,"west"
"NL23","Control",3,0.43,18.35,58.99,"west"
"NL31","Control",26,0.51,14.09,58.99,"west"
"NL32","Control",94,1.1,23.71,58.99,"west"
"NL33","Control",69,0.54,31.55,58.99,"west"
"NL23","Digital communication",2,0.17,2.14,100,"west"
