"id","id2","x","y","color","parent","size"
"Friesland (NL)",0,5.7878,-53.0825,"brown","NL",1
"Drenthe",1,6.5964,-52.918,"brown","NL",1
"Groningen",2,6.6911,-53.2903,"brown","NL",1
"Höfuðborgarsvæði",3,-21.6436,-64.1943,"darkblue","IS",1
"Landsbyggð",4,-18.3394,-64.7612,"darkblue","IS",1
"Anatoliki Makedonia, Thraki",5,25.0732,-41.1593,"springgreen","EL",1
"Kentriki Makedonia",6,22.9597,-40.8535,"springgreen","EL",1
"Dytiki Makedonia",7,21.4908,-40.3559,"springgreen","EL",1
"Thessalia",8,22.276,-39.6304,"springgreen","EL",1
"Ipeiros",9,20.7608,-39.7339,"springgreen","EL",1
"Dytiki Ellada",10,21.4038,-37.9743,"springgreen","EL",1
"Sterea Ellada",11,22.5231,-38.6168,"springgreen","EL",1
"Peloponnisos",12,22.438,-37.2428,"springgreen","EL",1
"Attiki",13,23.7713,-38.1115,"springgreen","EL",1
"Kriti",14,24.8995,-35.1734,"springgreen","EL",1
"Burgenland (AT)",15,16.5228,-47.5435,"lightblue","AT",1
"Niederösterreich",16,15.7517,-48.2722,"lightblue","AT",1
"Wien",17,16.3862,-48.2227,"lightblue","AT",1
"Kärnten",18,13.8539,-46.7174,"lightblue","AT",1
"Steiermark",19,14.8792,-47.3711,"lightblue","AT",1
"Oberösterreich",20,13.8723,-48.232,"lightblue","AT",1
"Salzburg",21,13.0437,-47.3071,"lightblue","AT",1
"Tirol",22,11.3918,-47.2088,"lightblue","AT",1
"Vorarlberg",23,9.896,-47.2398,"lightblue","AT",1
"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",24,4.3598,-50.8368,"lightgreen","BE",1
"Prov. Antwerpen",25,4.705,-51.2343,"lightgreen","BE",1
"Prov. Limburg (BE)",26,5.4292,-50.9915,"lightgreen","BE",1
"Prov. Oost-Vlaanderen",27,3.8539,-50.9796,"lightgreen","BE",1
"Prov. Vlaams-Brabant",28,4.53,-50.8711,"lightgreen","BE",1
"Prov. West-Vlaanderen",29,3.0254,-51.0209,"lightgreen","BE",1
"Prov. Brabant Wallon",30,4.5624,-50.6436,"lightgreen","BE",1
"Prov. Hainaut",31,3.906,-50.5441,"lightgreen","BE",1
"Prov. Liège",32,5.7367,-50.5206,"lightgreen","BE",1
"Prov. Luxembourg (BE)",33,5.5031,-49.9649,"lightgreen","BE",1
"Prov. Namur",34,4.908,-50.3267,"lightgreen","BE",1
"Severozapaden",35,23.7653,-43.3957,"lightred","BG",1
"Severen tsentralen",36,26.0639,-43.7268,"lightred","BG",1
"Severoiztochen",37,27.2474,-43.3903,"lightred","BG",1
"Yugoiztochen",38,26.5598,-42.5295,"lightred","BG",1
"Yugozapaden",39,23.3402,-42.1675,"lightred","BG",1
"Yuzhen tsentralen",40,25.1077,-41.7683,"lightred","BG",1
"Région lémanique",41,7.2233,-46.1292,"darkgreen","CH",1
"Espace Mittelland",42,7.4432,-46.8792,"darkgreen","CH",1
"Nordwestschweiz",43,8.1788,-47.4553,"darkgreen","CH",1
"Zürich",44,8.6717,-47.4233,"darkgreen","CH",1
"Ostschweiz",45,9.4498,-46.9099,"darkgreen","CH",1
"Zentralschweiz",46,8.5198,-46.9228,"darkgreen","CH",1
"Ticino",47,8.7715,-46.335,"darkgreen","CH",1
"Kýpros",48,33.2996,-35.0204,"lightyellow","CY",1
"Praha",49,14.4634,-50.0708,"lightorange","CZ",1
"Střední Čechy",50,14.4463,-49.7629,"lightorange","CZ",1
"Jihozápad",51,13.9888,-49.1342,"lightorange","CZ",1
"Severozápad",52,13.3463,-50.3527,"lightorange","CZ",1
"Severovýchod",53,15.6203,-50.292,"lightorange","CZ",1
"Jihovýchod",54,16.2811,-49.1776,"lightorange","CZ",1
"Střední Morava",55,17.5177,-49.3559,"lightorange","CZ",1
"Moravskoslezsko",56,18.0159,-49.7986,"lightorange","CZ",1
"Stuttgart",57,9.6163,-49.1603,"green","DE",1
"Karlsruhe",58,8.5541,-48.9278,"green","DE",1
"Freiburg",59,8.3755,-47.9546,"green","DE",1
"Tübingen",60,9.4466,-48.0669,"green","DE",1
"Oberbayern",61,11.9237,-48.0916,"green","DE",1
"Niederbayern",62,12.7134,-48.7308,"green","DE",1
"Oberpfalz",63,12.1871,-49.4112,"green","DE",1
"Oberfranken",64,11.359,-50.092,"green","DE",1
"Mittelfranken",65,10.813,-49.3306,"green","DE",1
"Unterfranken",66,9.9268,-49.9503,"green","DE",1
"Schwaben",67,10.423,-48.0226,"green","DE",1
"Berlin",68,13.392,-52.5186,"green","DE",1
"Brandenburg",69,13.6827,-52.0204,"green","DE",1
"Bremen",70,8.7383,-53.1064,"green","DE",1
"Hamburg",71,10.0281,-53.5458,"green","DE",1
"Darmstadt",72,8.7628,-49.9962,"green","DE",1
