"id";"value";"share";"ctry"
"Voith Patent Gmbh";39;2,28;"DE"
"Ntn Corporation";38;2,22;"JP"
"Dalian University Of Technology";17;0,99;"CN"
"The Chugoku Electric Power Co Inc";16;0,93;"JP"
"Ingine Inc";15;0,88;"KR"
"Ge Renewable Technologies";14;0,82;"FR"
"Mitsubishi Heavy Industries Ltd";9;0,53;"JP"
"Ge Energy (Uk) Limited";8;0,47;"UK"
"Openhydro Ip Limited";8;0,47;"IE"
"Lockheed Martin Corporation";8;0,47;"US"
"Naval Energies";8;0,47;"FR"
"Daikin Industries Ltd";8;0,47;"JP"
"Korea Institute Of Ocean Science & Technology";7;0,41;"KR"
"Aw-Energy Oy";7;0,41;"FI"
"Moffat Brian Lee";7;0,41;"US"
"Ifp Energies Nouvelles";6;0,35;"FR"
"Kyb Corporation";6;0,35;"JP"
"Sheldon-Coulson Garth Alexander";6;0,35;"US"
"Lone Gull Holdings Ltd";6;0,35;"US"
"Natural Ocean Well Co";6;0,35;"US"
"Gudesen Hans Gude";6;0,35;"NO"
"Murtech Inc";5;0,29;"US"
"Oscilla Power Inc";5;0,29;"US"
"Murphy Stuart Frank";5;0,29;"UK"
"Sung Yong Jun";5;0,29;"KR"
"Oh Taekgeun";5;0,29;"KR"
"Kabushiki Kaisha Bellsion";5;0,29;"JP"
"Ocean Harvesting Technologies Ab";5;0,29;"SE"
"Guangzhou Yatu New Energy Technology Co Ltd";5;0,29;"CN"
"Semb-Eco R&D Pte Ltd";5;0,29;"SG"
"Ocean Current Energy Llc";4;0,23;"UK"
"Jung Min Shy";4;0,23;"KR"
"W4p Waves4power Ab";4;0,23;"SE"
"Natel Energy Inc";4;0,23;"US"
"Hangzhou Lindong New Energy Technology Inc";4;0,23;"CN"
"Qu Yanming";4;0,23;"CN"
"Hohai University";4;0,23;"CN"
"Wu Qinfa";4;0,23;"CN"
"Tsuchihashi Yoshihide";4;0,23;"JP"
"Marine Power Systems Limited";4;0,23;"UK"
"The University Of Tokyo";4;0,23;"JP"
"Alstom Renewable Technologies";4;0,23;"FR"
"Thk Co Ltd";4;0,23;"JP"
"Subsea 7 Norway As";4;0,23;"NO"
"China University Of Mining&Technology (Beijing)";4;0,23;"CN"
"Ganzhou Gold Wote Power Equipment Co Ltd";4;0,23;"CN"
"Wello Oy";3;0,18;"FI"
"General Electric Company";3;0,18;"US"
"Electricit„© De France";3;0,18;"FR"
"Chen Wenbin";3;0,18;"CN"
"Minesto Ab";3;0,18;"SE"
"University Of Ulsan Foundation For Industry Cooperation";3;0,18;"KR"
"Littoral Power Systems Inc";3;0,18;"US"
"Big Moon Power Inc";3;0,18;"US"
"Nova Innovation Ltd";3;0,18;"UK"
"Obermeyer Henry K";3;0,18;"US"
"Rohrer Technologies Inc";3;0,18;"US"
"Jung Min Si";3;0,18;"KR"
"Oceana Energy Company";3;0,18;"US"
"Beijing Ipec Technology Ltd";3;0,18;"CN"
"Emrgy Inc";3;0,18;"US"
"Zhejiang University";3;0,18;"CN"
"Natural Power Concepts Inc";3;0,18;"US"
"Peng Sigan";3;0,18;"CN"
"Li Guangming";3;0,18;"CN"
"Hefei University Of Technology";3;0,18;"CN"
"Tesla Tomislav";3;0,18;"RS"
"Cossu Bruno";3;0,18;"IT"
"Xu Wengui";3;0,18;"CN"
