Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,CB Rank (Funding Round),Organization Industries,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,Diversity Spotlight
Private Equity Round - Shiro Games,https://www.crunchbase.com/funding_round/shiro-games-private-equity--77151daa,Shiro Games,https://www.crunchbase.com/organization/shiro-games,Private Equity,50000000,EUR,48503474,2022-10-11,"68,008","Developer Platform, Gaming, Mobile Apps, Video Games",Private Equity,100000000,EUR,97006948,Yes,"Shiro Games is an independent video game development company, develops video and mobile games.","Bordeaux, Aquitaine, France, Europe",https://shirogames.com/,,50000000,EUR,48503474,Private Equity,1,Cathay Capital Private Equity,Cathay Capital Private Equity,1,1,
Venture Round - OpenAirlines,https://www.crunchbase.com/funding_round/openairlines-series-unknown--c1fb9c34,OpenAirlines,https://www.crunchbase.com/organization/openairlines,Venture - Series Unknown,45000000,EUR,47375752,2024-11-14,"6,838","Aerospace, Air Transportation, Software",,,,,Yes,OpenAirlines is a needs of airlines to optimize their flight operations and reduce their costs.,"Toulouse, Midi-Pyrenees, France, Europe",http://openairlines.com,$1M to $10M,47000000,EUR,49731519,,3,Eiffel Investment Group,"Eiffel Investment Group, Mirova, The CRPN",2,3,
Debt Financing - Agronutris,https://www.crunchbase.com/funding_round/agronutris-debt-financing--70173432,Agronutris,https://www.crunchbase.com/organization/agronutris,Debt Financing,40000000,EUR,46405973,2021-09-29,"121,797","Biotechnology, Farming, Life Science, Organic Food",,,,,No,Agronutris is a biotech company involved in the breeding and processing of insects for food.,"Saint-orens-de-gameville, Midi-Pyrenees, France, Europe",https://www.agronutris.com/en/,$1M to $10M,100000000,EUR,115852990,,3,,"Caisse d'Epargne de Midi-Pyrénées, Caisse d'Epargne Grand Est Europe, Caisse d'Epargne Hauts de France, CIC Partners, Crédit Coopératif",,5,
Venture Round - Satys,https://www.crunchbase.com/funding_round/satys-series-unknown--19c52688,Satys,https://www.crunchbase.com/organization/satys,Venture - Series Unknown,40000000,EUR,46298011,2021-09-30,"610,928",Aerospace,,,,,Yes,Satys offers the aviation and rail industry unique services resulting from its in-house team of painting & sealing experts.,"Blagnac, Midi-Pyrenees, France, Europe",https://www.satys.com/,$1M to $10M,40000000,EUR,46298011,,2,Ace Capital Partners,"Ace Capital Partners, Bpifrance, Crédit Mutuel Equity",,3,
Series B - TEHTRIS,https://www.crunchbase.com/funding_round/tehtris-series-b--8d063077,TEHTRIS,https://www.crunchbase.com/organization/tehtris,Series B,44000000,EUR,42701863,2022-10-12,"254,777","Cloud Security, Consulting, Cyber Security, Intrusion Detection, Network Security, Penetration Testing",Early Stage Venture,,,,Yes,TEHTRIS is a cybersecurity leader,"Pessac, Aquitaine, France, Europe",https://tehtris.com/,$50M to $100M,64000000,EUR,66310349,Early Stage Venture,2,Jolt Capital,"AQUITI Gestion, Jolt Capital, Open CNP, Tikehau Ace Capital",2,4,
Venture Round - Eklo Hotels,https://www.crunchbase.com/funding_round/eklo-hotels-series-unknown--66392caa,Eklo Hotels,https://www.crunchbase.com/organization/eklo-hotels,Venture - Series Unknown,35000000,EUR,38236113,2023-04-17,"36,388","Hospitality, Hotel, Restaurants",,,,,Yes,Eklo Hotels is independent french group provides eco-friendly hotel services.,"Bordeaux, Aquitaine, France, Europe",https://www.eklohotels.com,$10M to $50M,50000000,EUR,54623019,,2,,"AQUITI Gestion, Bpifrance, Swen Capital Partners",3,3,
Venture Round - Exoès,https://www.crunchbase.com/funding_round/exoès-series-unknown--98abdffe,Exoès,https://www.crunchbase.com/organization/exoès,Venture - Series Unknown,35000000,EUR,37844097,2024-03-27,"59,962","Automotive, Energy Efficiency, Fuel",,,,,Yes,"Exoès develops the EVE® - Energy Via Exhaust, an exhaust waste heat recovery technology which reduces engine fuel consumption and emissions.","Gradignan, Aquitaine, France, Europe",http://exoes.com/en/,Less than $1M,37134133,EUR,40233275,,2,"Bpifrance, Meridiam","Bpifrance, Meridiam",2,2,
Grant - Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/funding_round/hypr-space-grant--54e6de12,Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/organization/hypr-space,Grant,35000000,EUR,37005318,2023-10-17,"29,582","Aerospace, Space Travel",,,,,No,"We develop nextgen propulsion technologies, cheaper, quicker and greener for earth to space and space to space transportation systems.","Bordeaux, Aquitaine, France, Europe",https://hybrid-propulsion.space,$1M to $10M,44050000,EUR,46764852,Seed,5,France 2030,France 2030,,1,
Venture Round - Solveo Energie,https://www.crunchbase.com/funding_round/solveo-energie-series-unknown--53873a1e,Solveo Energie,https://www.crunchbase.com/organization/solveo-energie,Venture - Series Unknown,30000000,EUR,36238799,2021-04-26,"152,457","Energy, Environmental Consulting, Renewable Energy, Wind Energy",,,,,Yes,Solveo Energie provides services in the fields of consulting and renewable energy.,"Fenouillet, Midi-Pyrenees, France, Europe",http://www.solveo-energie.com,$10M to $50M,30000000,EUR,36238799,,1,,MIDI 2i,,1,
Series B - Naïo Technologies,https://www.crunchbase.com/funding_round/naio-technologies-series-b--c533ed7c,Naïo Technologies,https://www.crunchbase.com/organization/naio-technologies,Series B,32000000,EUR,33778399,2022-12-08,"674,621","Agriculture, Artificial Intelligence (AI), Farming, Machine Learning, Robotics, Software",Early Stage Venture,,,,Yes,Naïo Technologies develops and markets robots for agriculture and viticulture.,"Escalquens, Midi-Pyrenees, France, Europe",http://www.naio-technologies.com,$1M to $10M,51500775,EUR,55648652,Early Stage Venture,5,Mirova,"ARIS Occitanie, Bpifrance, Capagro, Codema, Demeter Partners, M Capital Partners, Mirova, Pymwymic",1,8,
