Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,CB Rank (Funding Round),Organization Industries,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,Diversity Spotlight
Venture Round - Eldo,https://www.crunchbase.com/funding_round/eldo-5f08-series-unknown--373a8a73,Eldo,https://www.crunchbase.com/organization/eldo-5f08,Venture - Series Unknown,6000000,EUR,6323804,2022-05-05,"138,580",Software,,,,,Yes,"Eldo supports professionals and brands in the home improvement sector in the digitalization of their communication, commercial management.","Toulouse, Midi-Pyrenees, France, Europe",https://pro.eldo.com/,,6000000,EUR,6323804,,1,,"Grand Sud Ouest Capital, IRDI SORIDEC Gestion, M Capital Partners, Sofiouest",1,4,
Series A - getfluence,https://www.crunchbase.com/funding_round/getfluence-series-a--cd189cdd,getfluence,https://www.crunchbase.com/organization/getfluence,Series A,5000000,EUR,6104328,2021-01-12,"98,426","Ad Network, Advertising, Advertising Platforms, Digital Marketing, Digital Media",Early Stage Venture,,,,Yes,The Global Branded Content Marketplace,"Toulouse, Midi-Pyrenees, France, Europe",https://getfluence.com,$1M to $10M,5000000,EUR,6104328,Early Stage Venture,2,Reflexion Capital,"Celeste Management, IRDI SORIDEC Gestion, Julien Lopizzo, Reflexion Capital",,4,
Venture Round - Donecle,https://www.crunchbase.com/funding_round/donecle-series-unknown--df2eb194,Donecle,https://www.crunchbase.com/organization/donecle,Venture - Series Unknown,5600000,EUR,5906039,2023-10-05,"121,185","Drones, Software",,,,,Yes,Donecle offers an ultra-fast inspection solution based on drones.,"Labège, Midi-Pyrenees, France, Europe",http://www.donecle.com,Less than $1M,5600000,EUR,5906039,,1,AkzoNobel Aerospace,AkzoNobel Aerospace,,1,
Venture Round - Alsatis SAS,https://www.crunchbase.com/funding_round/alsatis-sas-series-unknown--f37f7986,Alsatis SAS,https://www.crunchbase.com/organization/alsatis-sas,Venture - Series Unknown,5000000,EUR,5522476,2020-02-04,"190,127",Internet,,,,,Yes,Alsatis SAS is a specialized Internet Service Provider in two niche markets.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.alsatis.com/,$1M to $10M,5000000,EUR,5522476,,1,Ardian,Ardian,1,1,
Seed Round - api.video,https://www.crunchbase.com/funding_round/api-video-seed--dac073b0,api.video,https://www.crunchbase.com/organization/api-video,Seed,5500000,USD,5500000,2020-06-25,"505,940","Developer Platform, Enterprise Software, Video Streaming",Seed,,,,Yes,Building the backbone of online video,"Bordeaux, Aquitaine, France, Europe",https://api.video,$1B to $10B,18360000,USD,18360000,Early Stage Venture,4,Blossom Capital,"Blossom Capital, Kima Ventures",,2,
Venture Round - ADEMEURE,https://www.crunchbase.com/funding_round/ademeure-series-unknown--c3fefa5d,ADEMEURE,https://www.crunchbase.com/organization/ademeure,Venture - Series Unknown,5000000,EUR,5384090,2024-04-02,"30,560","Construction, Smart Building",,,,,Yes,Ademeure is a Construction based company.,"Langon, Aquitaine, France, Europe",http://www.ademeure.fr,,5000000,EUR,5384090,,1,Stellar Impact,"Enthéos, Genetio, Région Nouvelle-Aquitaine, Stellar Impact",,4,
Grant - TOOPI Organics,https://www.crunchbase.com/funding_round/toopi-organics-grant--567c2c4f,TOOPI Organics,https://www.crunchbase.com/organization/toopi-organics,Grant,5000000,EUR,5376604,2023-09-12,"466,948","Agriculture, Biotechnology, Chemical",,,,,No,TOOPI Organics is a biotechnology company that collects and upcycles human urine for agriculture.,"Loupiac-de-la-réole, Aquitaine, France, Europe",https://toopi-organics.com/,$1M to $10M,23200000,EUR,25409028,Early Stage Venture,6,ADEME Investissement,"ADEME Investissement, Bpifrance",,2,
Series A - LE DRIVE TOUT NU,https://www.crunchbase.com/funding_round/le-drive-tout-nu-series-a--30d9ee40,LE DRIVE TOUT NU,https://www.crunchbase.com/organization/le-drive-tout-nu,Series A,5000000,EUR,5128384,2022-07-05,"426,899","Consumer Goods, Retail",Early Stage Venture,,,,Yes,LE DRIVE TOUT NU is a startup of Consumers services Buyer aid.,"Beauzelle, Midi-Pyrenees, France, Europe",https://ledrivetoutnu.com/,,6700000,EUR,6990468,,3,,"Colam Impact, France Active, MAIF Impact, Makesense Seed I, One Creation, The Daniel and Nina Carasso Foundation",,6,
Grant - Atlanta Neighborhood Development Partnership,https://www.crunchbase.com/funding_round/atlanta-neighborhood-development-partnership-grant--c7e65503,Atlanta Neighborhood Development Partnership,https://www.crunchbase.com/organization/atlanta-neighborhood-development-partnership,Grant,5000000,USD,5000000,2023-07-31,"602,138","Real Estate, Rental, Residential",,,,,No,Atlanta Neighborhood Development Partnership offers real estate services.,"Gaussan, Midi-Pyrenees, France, Europe",https://www.andpi.org,$1M to $10M,9805118,USD,9805118,,3,Truist,Truist,1,1,
Seed Round - X-Pressure,https://www.crunchbase.com/funding_round/x-pressure-seed--81afa530,X-Pressure,https://www.crunchbase.com/organization/x-pressure,Seed,4500000,EUR,4912396,2023-06-30,"123,172","Manufacturing, Medical, Medical Device",Seed,,,,Yes,X-Pressure is a medical device to measure cerebrospinal fluid pressure to better diagnose brain diseases.,"Toulouse, Midi-Pyrenees, France, Europe",https://x-pressure.com/,,4500000,EUR,4912396,Seed,1,,"Bpifrance, IRDI SORIDEC Gestion, M Capital Partners",,3,
Venture Round - Activ'Inside,https://www.crunchbase.com/funding_round/activ-inside-series-unknown--6a6949dc,Activ'Inside,https://www.crunchbase.com/organization/activ-inside,Venture - Series Unknown,4000000,EUR,4861815,2020-12-15,"82,077","Health Care, Manufacturing, Product Research, Wellness",,,,,Yes,Activ'Inside manufactures botanical ingredients and formulations to commercialize the products for well-being markets.,"Bordeaux, Aquitaine, France, Europe",https://activinside.com/,,4000000,EUR,4861815,,1,,"AQUITI Gestion, Bpifrance",2,2,
Venture Round - GEEV,https://www.crunchbase.com/funding_round/geev-series-unknown--50161a71,GEEV,https://www.crunchbase.com/organization/geev,Venture - Series Unknown,4500000,EUR,4853060,2024-02-09,"200,331","Communities, Internet, Mobile Apps, Software",,,,,Yes,"GEEV is a collaborative mobile app that allows its members to donate unused stuff or surplus food, and others to get them for free!","Bordeaux, Aquitaine, France, Europe",https://geev.com,$1M to $10M,7700000,EUR,8564135,,3,,"BNP Paribas Développement, Daphni, NACO, Omnes Capital, Sacha Pavoine, Team for the Planet",,6,
Venture Round - Ilasis,https://www.crunchbase.com/funding_round/ilasis-series-unknown--ad39f20f,Ilasis,https://www.crunchbase.com/organization/ilasis,Venture - Series Unknown,4400000,EUR,4804789,2023-06-20,"549,010","Manufacturing, Medical, Medical Device",,,,,Yes,Ilasis is a company that creates femtosecond laser equipment for eye operations.,"Pessac, Aquitaine, France, Europe",https://ilasis.com,,6600000,EUR,7294981,,2,,"IRDI SORIDEC Gestion, NACO, Philippe du Mesnil",2,3,
Grant - Ascendance,https://www.crunchbase.com/funding_round/ascendance-flight-technologies-grant--ffda3530,Ascendance,https://www.crunchbase.com/organization/ascendance-flight-technologies,Grant,4000000,EUR,4727803,2021-09-15,"212,740","Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation",,,,,No,A sustainable aviation startup developing hybrid-electric solutions to decarbonise aviation.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.ascendance-ft.com,$1M to $10M,51000000,EUR,55944186,,9,,,,,
Seed Round - Capsule Corp. Labs,https://www.crunchbase.com/funding_round/capsule-corp-labs-seed--eadc97ea,Capsule Corp. Labs,https://www.crunchbase.com/organization/capsule-corp-labs,Seed,4800000,EUR,4658385,2022-10-12,"143,052","Blockchain, Cryptocurrency, Information Technology, Software",Seed,,,,Yes,Capsule Corp. Labs is a technology solutions provider that facilitates digital asset transmission and the creation of utility NFTs.,"Biarritz, Aquitaine, France, Europe",https://www.capsulecorplabs.com,,7300000,EUR,7084627,Seed,2,"Digital Finance Group (DFG), Omnes Capital, Revam","Digital Finance Group (DFG), Omnes Capital, Revam",2,3,
Series A - mySofie,https://www.crunchbase.com/funding_round/mysofie-series-a--0f7c328a,mySofie,https://www.crunchbase.com/organization/mysofie,Series A,4200000,EUR,4606450,2023-04-20,"52,409","Fitness, Health Care, Mobile Apps, Wellness",Early Stage Venture,,,,Yes,mySofie is an application that track your healthcare reimbursements.,"Bordeaux, Aquitaine, France, Europe",https://mysofie.fr,,4200000,EUR,4606450,Early Stage Venture,1,,"AG2R La Mondiale, CPMS, Digital Insure, Open CNP",,4,
Grant - TOOPI Organics,https://www.crunchbase.com/funding_round/toopi-organics-grant--c2622d54,TOOPI Organics,https://www.crunchbase.com/organization/toopi-organics,Grant,3800000,EUR,4511457,2021-04-07,"466,260","Agriculture, Biotechnology, Chemical",,,,,No,TOOPI Organics is a biotechnology company that collects and upcycles human urine for agriculture.,"Loupiac-de-la-réole, Aquitaine, France, Europe",https://toopi-organics.com/,$1M to $10M,23200000,EUR,25409028,Early Stage Venture,6,,Ademe,,1,
Seed Round - Hyperplan,https://www.crunchbase.com/funding_round/hyperplan-seed--e1f0a1ac,Hyperplan,https://www.crunchbase.com/organization/hyperplan,Seed,4100000,EUR,4464913,2023-01-24,"33,655","Information Technology, SaaS, Software",Seed,,,,Yes,Hyperplan is a SaaS company whose mission is to assist industrial companies in dealing with crop production's increasing volatility.,"Bidart, Aquitaine, France, Europe",https://www.hyperplan.fr,,4100000,EUR,4464913,Seed,1,"Agrinnovation, BNP Paribas Développement, PeakBridge, Polytechnique Ventures, Techmind","Agrinnovation, BNP Paribas Développement, Demeter Partners, Jeriko, PeakBridge, Polytechnique Ventures, Techmind, Unilis Agtech",,8,
Seed Round - Bohr Energy,https://www.crunchbase.com/funding_round/bohr-energy-seed--b16683ad,Bohr Energy,https://www.crunchbase.com/organization/bohr-energy,Seed,4000000,EUR,4448849,2024-09-17,"15,513","Energy, Power Grid, Renewable Energy, Sustainability",Seed,,,,Yes,Democratize power market access for independent renewable energy producers,"Toulouse, Midi-Pyrenees, France, Europe",https://www.bohr-energie.fr/,,4000000,EUR,4448849,Seed,1,Varsity,"AFI Ventures, Founders Future, Varsity",1,3,
Series A - Lynxter,https://www.crunchbase.com/funding_round/lynxter-series-a--20fbb64e,Lynxter,https://www.crunchbase.com/organization/lynxter,Series A,4000000,EUR,4404229,2023-05-02,"95,455","3D Printing, 3D Technology, CAD, Industrial Engineering, Machinery Manufacturing, Manufacturing",Early Stage Venture,,,,Yes,Lynxter is a 3D machine manufacturing firm that develops standard and customized models.,"Bayonne, Aquitaine, France, Europe",https://lynxter.fr/,Less than $1M,5500000,EUR,6123454,Early Stage Venture,2,,"Crédit Agricole Alpes Provence, Groupe Etchart, Herrikoa, IRDI SORIDEC Gestion, M Capital Partners, NACO, Pyrénées Gascogne",,7,
Grant - Antabio,https://www.crunchbase.com/funding_round/antabio-grant--101774c8,Antabio,https://www.crunchbase.com/organization/antabio,Grant,4400000,USD,4400000,2020-01-02,"277,202","Biotechnology, Life Science, Medical Device",,,,,No,Antabio is a private biopharmaceutical company developing antibacterial resistance-breakers in areas of highest medical need.,"Labège, Midi-Pyrenees, France, Europe",https://antabio.com,Less than $1M,73086852,USD,73086852,Early Stage Venture,17,CARB-X,CARB-X,,1,
Venture Round - Hinfact,https://www.crunchbase.com/funding_round/hinfact-series-unknown--13fd6038,Hinfact,https://www.crunchbase.com/organization/hinfact,Venture - Series Unknown,4000000,EUR,4398959,2023-04-12,"35,633","Aerospace, Computer Vision, Human Computer Interaction, Neuroscience, Software",,,,,Yes,Hinfact provides solutions to improve safety from pilot training to full-scale operations in the aviation industry.,"Toulouse, Midi-Pyrenees, France, Europe",https://hinfact.com/,$1M to $10M,4000000,EUR,4398959,,1,Innovacom,Innovacom,1,1,
Seed Round - Keysom,https://www.crunchbase.com/funding_round/keysom-seed--b70b3da0,Keysom,https://www.crunchbase.com/organization/keysom,Seed,4000000,EUR,4390196,2024-10-08,"10,332",,Seed,,,,Yes,Develops RISC V based processor architectures that are automatically built from the application source code and dynamically reconfigurable.,"Pessac, Aquitaine, France, Europe",https://keysom.io/,,4000000,EUR,4390196,Seed,1,,"Bpifrance, Epopée Gestion, EuroBIM, IRDI SORIDEC Gestion",3,4,
Venture Round - Paarly,https://www.crunchbase.com/funding_round/paarly-series-unknown--2383a1d0,Paarly,https://www.crunchbase.com/organization/paarly,Venture - Series Unknown,4000000,EUR,4222398,2022-06-24,"162,165","E-Commerce, Information Technology",,,,,Yes,Paarly Solution is a pricing intelligence tool that monitors online products to give E-retailers a bird’s eye view of the competition.,"Toulouse, Midi-Pyrenees, France, Europe",http://paarly.com/,$1M to $10M,4000000,EUR,4222398,,1,,"GSO Innovation, IRDI SORIDEC Gestion",,2,
Seed Round - inHEART,https://www.crunchbase.com/funding_round/inheart-seed--5e226899,inHEART,https://www.crunchbase.com/organization/inheart,Seed,3700000,EUR,4157887,2020-07-02,"465,776","3D Technology, Biotechnology, Medical Device",Seed,,,,Yes,inHEART provides cloud-based medical image analysis solutions for cardiac interventions on patients with arrhythmias.,"Pessac, Aquitaine, France, Europe",https://www.inheartmedical.com,$1B to $10B,15969211,USD,15969211,Early Stage Venture,3,Elaia,"Aquitaine Science Transfer, Elaia",1,2,
Seed Round - RebrAIn,https://www.crunchbase.com/funding_round/rebrain-f203-seed--b249042a,RebrAIn,https://www.crunchbase.com/organization/rebrain-f203,Seed,3700000,EUR,4023156,2024-03-18,"66,742","Hospital, Life Science, Neuroscience",Seed,,,,Yes,RebrAIn provides a targeted technology for planning neurosurgical procedures.,"Pessac, Aquitaine, France, Europe",https://rebrain.eu/en,,3700000,EUR,4023156,Seed,1,Karista,"Karista, NACO",2,2,
Seed Round - SmartCatch,https://www.crunchbase.com/funding_round/smartcatch-9df6-seed--a86e6783,SmartCatch,https://www.crunchbase.com/organization/smartcatch-9df6,Seed,3200000,EUR,3890478,2021-05-17,"79,729","Health Care, Health Diagnostics, Medical Device, Therapeutics",Seed,,,,Yes,"SmartCatch brings value-added liquid biopsy technology to empower clinicians, researchers, and industry in the fight against cancer.","Toulouse, Midi-Pyrenees, France, Europe",https://www.smartcatch.fr/,,3200000,EUR,3890478,Seed,1,,"IRDI, Kurma Partners, M Capital Partners",2,3,
Series A - Poool,https://www.crunchbase.com/funding_round/poool-series-a--9e4a2dc6,Poool,https://www.crunchbase.com/organization/poool,Series A,4000000,EUR,3848022,2022-09-26,"302,875","Content Marketing, Digital Media, Publishing",Early Stage Venture,,,,Yes,"Convert your audience into leads, members and subscribers.","Bordeaux, Aquitaine, France, Europe",http://poool.tech,Less than $1M,4350000,EUR,4263189,Early Stage Venture,3,Swen Capital Partners,"AperiamVentures, GSO Innovation, Swen Capital Partners",,3,
Seed Round - Gouach,https://www.crunchbase.com/funding_round/gouach-seed--ce1060dc,Gouach,https://www.crunchbase.com/organization/gouach,Seed,3300000,EUR,3750055,2022-02-17,"89,176","Environmental Consulting, Manufacturing, Renewable Energy",Seed,,,,Yes,Gouach is a manufacturer of a revolutionary eco-designed battery that can be repaired at mega-speed.,"Bordeaux, Aquitaine, France, Europe",https://www.gouach.com/,$1M to $10M,3300000,EUR,3750055,Seed,1,Breega,"Bpifrance, Breega, Rand Hindi",,3,
Venture Round - Le Comptoir Des Pharmacies,https://www.crunchbase.com/funding_round/le-comptoir-des-pharmacies-series-unknown--658b0781,Le Comptoir Des Pharmacies,https://www.crunchbase.com/organization/le-comptoir-des-pharmacies,Venture - Series Unknown,3500000,EUR,3664327,2023-10-03,"141,757","E-Commerce, Online Portals, Pharmaceutical, Software",,,,,Yes,Le Comptoir Des Pharmacies is an online platform for purchasing and managing inventories designed for pharmacists.,"Toulouse, Midi-Pyrenees, France, Europe",https://lecomptoirdespharmacies.fr,Less than $1M,3500000,EUR,3664327,,1,,SideAngels,,1,
Venture Round - LegalVision.fr,https://www.crunchbase.com/funding_round/legalvision-fr-series-unknown--c2002141,LegalVision.fr,https://www.crunchbase.com/organization/legalvision-fr,Venture - Series Unknown,3000000,EUR,3552221,2020-09-03,"383,769","Consulting, Document Management, Information Technology, Internet, Legal, SaaS, Software",,,,,Yes,LegalVision is a web-based software that allows lawyers and business owners to manage their legal documents and process.,"Bordeaux, Aquitaine, France, Europe",https://www.legalvision.fr/,$1M to $10M,3000000,EUR,3552221,,3,,Portugal Ventures,,1,
Grant - Atlanta Neighborhood Development Partnership,https://www.crunchbase.com/funding_round/atlanta-neighborhood-development-partnership-grant--9db205a8,Atlanta Neighborhood Development Partnership,https://www.crunchbase.com/organization/atlanta-neighborhood-development-partnership,Grant,3305118,USD,3305118,2023-04-10,"216,053","Real Estate, Rental, Residential",,,,,No,Atlanta Neighborhood Development Partnership offers real estate services.,"Gaussan, Midi-Pyrenees, France, Europe",https://www.andpi.org,$1M to $10M,9805118,USD,9805118,,3,Community Development Financial Institutions Fund,Community Development Financial Institutions Fund,1,1,
Seed Round - REEV,https://www.crunchbase.com/funding_round/reev-3949-seed--51fa1184,REEV,https://www.crunchbase.com/organization/reev-3949,Seed,3000000,EUR,3256548,2023-07-05,"87,865","Assistive Technology, Health Care, Medical Device, Robotics",Seed,,,,Yes,REEV is reinventing mobility care for millions with walking disorders through cutting-edge wearable robotics and AI,"Toulouse, Midi-Pyrenees, France, Europe",https://reev.care/,,12576548,USD,12576548,Seed,3,Polytechnique Ventures,"IRDI, Newfund, Polytechnique Ventures",,3,
Venture Round - VUF,https://www.crunchbase.com/funding_round/vuf-series-unknown--8409d263,VUF,https://www.crunchbase.com/organization/vuf,Venture - Series Unknown,3000000,EUR,3241666,2023-02-03,"37,054","Machinery Manufacturing, Sales Automation, Transportation",,,,,Yes,"VUF is a producer of e-bikes that provide transport of loads and large volumes in urban, industrial, and off-road environments.","Toulouse, Midi-Pyrenees, France, Europe",https://vufbikes.com,$1M to $10M,3000000,EUR,3241666,,1,,"Crédit Agricole Ille and Vilaine Expansion, Femmes Business Angels, IXO Private Equity, WeLike",,4,
Venture Round - NGX Robotics,https://www.crunchbase.com/funding_round/generation-robots-series-unknown--8b675799,NGX Robotics,https://www.crunchbase.com/organization/generation-robots,Venture - Series Unknown,3000000,EUR,3213405,2023-06-05,"43,266","Education, Information Technology, Robotics, Software, Virtual Reality",,,,,Yes,Generation Robots is an online distributor of personal robots and robotics technologies,"Mérignac, Aquitaine, France, Europe",http://www.generationrobots.com/en/,$1M to $10M,3000000,EUR,3213405,,1,,"AQUITI Gestion, GT Logistics",1,2,
Seed Round - vorteX-io,https://www.crunchbase.com/funding_round/vortex-io-seed--e0831939,vorteX-io,https://www.crunchbase.com/organization/vortex-io,Seed,2900000,EUR,3158598,2024-06-06,"13,420","Environmental Consulting, Information Services, Software",Seed,,,,Yes,vorteX-io is a flood warning and forecasting system meant to monitor watercourses and reduce flood risk.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.vortex-io.fr,,5400000,EUR,5818973,Seed,2,"Banque des Territoires, MAIF Impact","AFI Ventures, Banque des Territoires, MAIF Impact, SpaceFounders",4,4,
Venture Round - ANYWAVES,https://www.crunchbase.com/funding_round/anywaves-series-unknown--2ad0dc32,ANYWAVES,https://www.crunchbase.com/organization/anywaves,Venture - Series Unknown,3000000,USD,3000000,2022-12-09,"34,352","Aerospace, Air Transportation, Manufacturing, Mechanical Engineering",,,,,Yes,ANYWAVES is a manufacturer of space applications and satellite constellations equipment.,"Toulouse, Midi-Pyrenees, France, Europe",https://anywaves.eu/,$1M to $10M,3000000,USD,3000000,,1,,,,,
Seed Round - Fulllife,https://www.crunchbase.com/funding_round/fulllife-seed--ae07b586,Fulllife,https://www.crunchbase.com/organization/fulllife,Seed,2500000,EUR,2941689,2020-10-08,"147,547","Apparel, eSports, Wearables",Seed,,,,Yes,Fulllife is a game wear company that sells gaming apparel.,"Biarritz, Aquitaine, France, Europe",https://full.life,$100M to $500M,2500000,EUR,2941689,Seed,1,,"Acequia Capital (AceCap), Julien Lopizzo",,2,
Grant - Green Spot Technologies,https://www.crunchbase.com/funding_round/green-spot-technologies-grant--3d7e2920,Green Spot Technologies,https://www.crunchbase.com/organization/green-spot-technologies,Grant,2474938,EUR,2859547,2021-10-06,"395,459","Food and Beverage, Health Care, Nutrition, Sustainability",,,,,No,Green Spot Technologies provides nutrition and sustainability services.,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",http://greenspot-tech.com,,2974938,EUR,3401447,,3,European Innovation Council,European Innovation Council,,1,
Series A - MerciYanis,https://www.crunchbase.com/funding_round/yanis-series-a--020a2543,MerciYanis,https://www.crunchbase.com/organization/yanis,Series A,2700000,EUR,2844713,2023-10-12,"613,184",Internet of Things,Early Stage Venture,,,,Yes,MerciYanis is a start-up that uses the Internet of Things to connect buildings and help work environment departments.,"Labège, Midi-Pyrenees, France, Europe",https://www.merciyanis.com/,$1M to $10M,3700000,EUR,4035996,Early Stage Venture,2,,"50 Partners, IRDI SORIDEC Gestion, WinEquity",,3,
Seed Round - Maison Stella & Suzie,https://www.crunchbase.com/funding_round/maison-stella-suzie-seed--8673d626,Maison Stella & Suzie,https://www.crunchbase.com/organization/maison-stella-suzie,Seed,2500000,EUR,2762126,2022-04-01,"109,031","Fashion, Retail",Seed,,,,Yes,Maison Stella & Suzie is a clothing store.,"Toulouse, Midi-Pyrenees, France, Europe",https://stellaetsuzie.com/,$1M to $10M,2500000,EUR,2762126,Seed,1,Deveaux Group,Deveaux Group,,1,
Grant - vorteX-io,https://www.crunchbase.com/funding_round/vortex-io-grant--b7da93cc,vorteX-io,https://www.crunchbase.com/organization/vortex-io,Grant,2500000,EUR,2660375,2023-03-03,"208,228","Environmental Consulting, Information Services, Software",,,,,No,vorteX-io is a flood warning and forecasting system meant to monitor watercourses and reduce flood risk.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.vortex-io.fr,,5400000,EUR,5818973,Seed,2,European Innovation Council,European Innovation Council,,1,
Venture Round - Pollen Robotics,https://www.crunchbase.com/funding_round/pollen-robotics-series-unknown--6876329d,Pollen Robotics,https://www.crunchbase.com/organization/pollen-robotics,Venture - Series Unknown,2400000,EUR,2619944,2023-06-30,"256,992","Developer Tools, Product Design, Robotics, Software",,,,,Yes,Pollen Robotics develops humanoid service robots specialized in the interaction and manipulation of objects.,"Bordeaux, Aquitaine, France, Europe",http://pollen-robotics.com/,$1M to $10M,2471429,EUR,2702885,,2,,"BNP Paribas Private Equity, Bpifrance, Societe Generale",,3,
Grant - Aviwell,https://www.crunchbase.com/funding_round/aviwell-grant--7942102f,Aviwell,https://www.crunchbase.com/organization/aviwell,Grant,2500000,EUR,2614423,2022-06-15,"181,090","AgTech, Biotechnology, Health Care",,,,,No,"Developing healthy, natural, sustainable solutions to improve animal growth and nourish the planet","Toulouse, Midi-Pyrenees, France, Europe",https://aviwell.fr/,$1M to $10M,13100000,EUR,14602964,Seed,4,European Innovation Council,European Innovation Council,,1,
Grant - Antabio,https://www.crunchbase.com/funding_round/antabio-grant--950ec15e,Antabio,https://www.crunchbase.com/organization/antabio,Grant,2500000,EUR,2614423,2022-06-15,"435,900","Biotechnology, Life Science, Medical Device",,,,,No,Antabio is a private biopharmaceutical company developing antibacterial resistance-breakers in areas of highest medical need.,"Labège, Midi-Pyrenees, France, Europe",https://antabio.com,Less than $1M,73086852,USD,73086852,Early Stage Venture,17,European Innovation Council,European Innovation Council,,1,
Grant - EyeLights,https://www.crunchbase.com/funding_round/eyelights-grant--68d05b07,EyeLights,https://www.crunchbase.com/organization/eyelights,Grant,2500000,EUR,2614423,2022-06-15,"388,304","Electronics, Information Services, Information Technology",,,,,No,EyeLights provides guidance solutions for motorcycles and driving aids.,"Labège, Midi-Pyrenees, France, Europe",https://www.eye-lights.com/,$1M to $10M,27841497,USD,27841497,Early Stage Venture,5,European Innovation Council,European Innovation Council,,1,
Grant - TOOPI Organics,https://www.crunchbase.com/funding_round/toopi-organics-grant--d31edea2,TOOPI Organics,https://www.crunchbase.com/organization/toopi-organics,Grant,2400000,EUR,2605088,2023-11-15,"103,430","Agriculture, Biotechnology, Chemical",,,,,No,TOOPI Organics is a biotechnology company that collects and upcycles human urine for agriculture.,"Loupiac-de-la-réole, Aquitaine, France, Europe",https://toopi-organics.com/,$1M to $10M,23200000,EUR,25409028,Early Stage Venture,6,,EIC Accelerator,,1,
Seed Round - Kyanos,https://www.crunchbase.com/funding_round/kyanos-seed--b63c0128,Kyanos,https://www.crunchbase.com/organization/kyanos,Seed,2600000,USD,2600000,2021-04-01,"478,305",Biotechnology,Seed,,,,Yes,"Kyanos is a biotech company established in 2016 and based in Toulouse, France.","Toulouse, Midi-Pyrenees, France, Europe",http://kyanos.bio,$1M to $10M,3771118,USD,3771118,Seed,4,,"Ademe, Bpifrance",,2,
Grant - Materrup,https://www.crunchbase.com/funding_round/materrup-grant--746d97a1,Materrup,https://www.crunchbase.com/organization/materrup,Grant,2403093,EUR,2513080,2022-06-15,"468,256","Building Material, Construction, Industrial, Manufacturing",,,,,No,Materrup is a building materials market.,"Saint-geours-de-maremne, Aquitaine, France, Europe",https://www.materrup.com,$1M to $10M,28403093,EUR,30349505,Early Stage Venture,2,European Innovation Council,European Innovation Council,,1,
Seed Round - Ilasis,https://www.crunchbase.com/funding_round/ilasis-seed--9b54eacf,Ilasis,https://www.crunchbase.com/organization/ilasis,Seed,2200000,EUR,2490192,2021-12-01,"96,003","Manufacturing, Medical, Medical Device",Seed,,,,Yes,Ilasis is a company that creates femtosecond laser equipment for eye operations.,"Pessac, Aquitaine, France, Europe",https://ilasis.com,,6600000,EUR,7294981,,2,,,,,
Grant - FineHeart,https://www.crunchbase.com/funding_round/fineheart-grant--b92ca9ac,FineHeart,https://www.crunchbase.com/organization/fineheart,Grant,2500000,EUR,2441413,2022-10-19,"508,167","Biotechnology, Health Care, Medical, Medical Device",,,,,No,FineHeart is a medical device company,"Bordeaux, Aquitaine, France, Europe",http://fineheart.fr,$1M to $10M,44910000,EUR,49936484,Late Stage Venture,4,European Innovation Council,European Innovation Council,,1,
Initial Coin Offering - Capsule Corp. Labs,https://www.crunchbase.com/funding_round/capsule-corp-labs-initial-coin-offering--63235b51,Capsule Corp. Labs,https://www.crunchbase.com/organization/capsule-corp-labs,Initial Coin Offering,2500000,EUR,2426242,2022-10-12,"345,976","Blockchain, Cryptocurrency, Information Technology, Software",,,,,Yes,Capsule Corp. Labs is a technology solutions provider that facilitates digital asset transmission and the creation of utility NFTs.,"Biarritz, Aquitaine, France, Europe",https://www.capsulecorplabs.com,,7300000,EUR,7084627,Seed,2,Ternoa,Ternoa,,1,
Series A - Elwin,https://www.crunchbase.com/funding_round/elwin-series-a--358f90e2,Elwin,https://www.crunchbase.com/organization/elwin,Series A,2000000,EUR,2410199,2021-02-08,"165,556",,Early Stage Venture,,,,Yes,Elwin is an online savings and product consulting platform that offers appropriate financial investments.,"Bordeaux, Aquitaine, France, Europe",https://elwin.fr/,,2000000,EUR,2410199,Early Stage Venture,1,,Julien Lopizzo,1,1,
Equity Crowdfunding - VeraCash,https://www.crunchbase.com/funding_round/veracash-equity-crowdfunding--e7d0ba2b,VeraCash,https://www.crunchbase.com/organization/veracash,Equity Crowdfunding,2000000,EUR,2408547,2021-04-19,"243,312","Finance, Financial Services",,,,,Yes,VeraCash is the online account and payment card backed by precious metals.,"Bordeaux, Aquitaine, France, Europe",https://www.veracash.com,$1M to $10M,2675000,EUR,3129674,,2,,,,,
