"from","to","domain","full","binary","expected","untapped","links.rca","sum_from","sum_to","binary.pc","th.max","th.max.pc","RD","RD.added"
"Abruzzo (ITF1)","Emilia-Romagna (ITH5)","Sustainability & Circularity",4,2,0.46,-1.54,4.35,22,144,0.0121,83,0.0028,40.61,13.99
"Abruzzo (ITF1)","Freiburg (DE13)","Artificial intelligence",1,1,0.22,-0.78,4.55,2,60,0.0206,31,0.0046,16.27,14.2
"Abruzzo (ITF1)","Freiburg (DE13)","Data Science",1,1,0.05,-0.95,20,1,10,0.087,5.5,0.0044,7.23,6.98
"Abruzzo (ITF1)","Freiburg (DE13)","ICT",1,1,1.49,0.49,0.67,35,533,0.0024,284,0.0036,13.25,22.15
"Abruzzo (ITF1)","Friuli-Venezia Giulia (ITH4)","Life & Health Sciences",1,1,0.62,-0.38,1.61,80,169,0.0022,124.5,0.0014,47.11,7.15
"Abruzzo (ITF1)","Groningen (NL11)","Life & Health Sciences",3,1,0.54,-0.46,1.85,80,134,0.0022,107,0.0012,47.11,35.93
"Abruzzo (ITF1)","Koblenz (DEB1)","Sustainability & Circularity",1,1,0.25,-0.75,4,22,70,0.0061,46,0.0015,40.61,16.52
"Abruzzo (ITF1)","Köln (DEA2)","Sustainability & Circularity",12,1,1.15,0.15,0.87,22,393,0.0061,207.5,0.007,40.61,38.66
"Abruzzo (ITF1)","Lazio (ITI4)","Artificial intelligence",3,1,0.09,-0.91,11.11,2,22,0.0206,12,0.0018,16.27,53.13
"Abruzzo (ITF1)","Lazio (ITI4)","Cybersecurity",1,1,0.18,-0.82,5.56,2,50,0.0221,26,0.004,8.01,41.72
"Abruzzo (ITF1)","Lazio (ITI4)","ICT",7,4,0.58,-3.42,6.9,35,186,0.0096,110.5,0.0014,13.25,39.68
"Abruzzo (ITF1)","Lazio (ITI4)","Life & Health Sciences",21,4,1.2,-2.8,3.33,80,400,0.0087,240,0.0026,47.11,19.98
"Abruzzo (ITF1)","Lazio (ITI4)","Nanotechnology",2,1,0.07,-0.93,14.29,5,11,0.0837,8,0.0059,34.77,5.66
"Abruzzo (ITF1)","Lazio (ITI4)","Sustainability & Circularity",8,2,0.27,-1.73,7.41,22,77,0.0121,49.5,0.0017,40.61,11.33
"Abruzzo (ITF1)","Liguria (ITC3)","Life & Health Sciences",1,1,0.57,-0.43,1.75,80,146,0.0022,113,0.0012,47.11,4.71
"Abruzzo (ITF1)","Lombardy (ITC4)","Life & Health Sciences",19,6,3.03,-2.97,1.98,80,1128,0.013,604,0.0066,47.11,23.74
"Abruzzo (ITF1)","Madrid (ES30)","ICT",5,5,1.79,-3.21,2.79,35,651,0.012,343,0.0043,13.25,39.54
"Abruzzo (ITF1)","Marche (ITI3)","Life & Health Sciences",6,3,0.45,-2.55,6.67,80,99,0.0065,89.5,0.001,47.11,35.4
"Abruzzo (ITF1)","Mazovia (PL12)","FinTech",1,1,0.03,-0.97,33.33,2,6,0.0511,4,0.0016,8.18,79.21
"Abruzzo (ITF1)","Mazovia (PL12)","ICT",1,1,0.32,-0.68,3.12,35,89,0.0024,62,8e-04,13.25,62.03
"Abruzzo (ITF1)","Oberbayern (DE21)","Sustainability & Circularity",1,1,3.52,2.52,0.28,22,1252,0.0061,637,0.0214,40.61,34.55
"Abruzzo (ITF1)","Provence-Alpes-Côte d'Azur (FR82)","Sustainability & Circularity",1,1,0.43,-0.57,2.33,22,133,0.0061,77.5,0.0026,40.61,16.95
"Abruzzo (ITF1)","Rhône-Alpes (FR71)","Sustainability & Circularity",2,1,2,1,0.5,22,702,0.0061,362,0.0122,40.61,39.62
"Abruzzo (ITF1)","Sardinia (ITG2)","Life & Health Sciences",3,1,0.28,-0.72,3.57,80,33,0.0022,56.5,6e-04,47.11,40.88
"Abruzzo (ITF1)","Schwaben (DE27)","Sustainability & Circularity",1,1,0.76,-0.24,1.32,22,253,0.0061,137.5,0.0046,40.61,37.97
"Abruzzo (ITF1)","Sicily (ITG1)","ICT",1,1,0.31,-0.69,3.23,35,85,0.0024,60,8e-04,13.25,52.96
"Abruzzo (ITF1)","South Sweden (SE22)","FinTech",2,1,0.23,-0.77,4.35,2,57,0.0511,29.5,0.0115,8.18,77.33
"Abruzzo (ITF1)","South Sweden (SE22)","ICT",7,3,4.63,1.63,0.65,35,1737,0.0072,886,0.0111,13.25,56.83
"Abruzzo (ITF1)","Stockholm (SE11)","ICT",9,7,14.44,7.44,0.48,35,5487,0.0168,2761,0.0347,13.25,65.88
"Abruzzo (ITF1)","Ticino (CH07)","Life & Health Sciences",2,2,0.81,-1.19,2.47,80,243,0.0043,161.5,0.0018,47.11,26.83
"Abruzzo (ITF1)","Tuscany (ITI1)","ICT",1,1,0.47,-0.53,2.13,35,143,0.0024,89,0.0011,13.25,17.81
"Abruzzo (ITF1)","Tuscany (ITI1)","Life & Health Sciences",1,1,1.01,0.01,0.99,80,324,0.0022,202,0.0022,47.11,14.75
"Abruzzo (ITF1)","Veneto (ITH3)","Life & Health Sciences",8,5,1.23,-3.77,4.07,80,411,0.0108,245.5,0.0027,47.11,23.62
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Artificial intelligence",11,5,0.06,-4.94,83.33,8,8,0.1028,8,0.0012,18.19,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Cybersecurity",4,2,0.01,-1.99,200,2,2,0.0442,2,3e-04,15.98,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Data Science",4,2,0.03,-1.97,66.67,3,3,0.1739,3,0.0024,15.67,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","FinTech",3,1,0.01,-0.99,100,1,1,0.0511,1,4e-04,39.17,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","ICT",95,38,0.33,-37.67,115.15,63,63,0.0914,63,8e-04,18.32,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Life & Health Sciences",64,19,0.2,-18.8,95,39,39,0.0412,39,4e-04,11.52,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Nanotechnology",1,1,0.03,-0.97,33.33,3,3,0.0837,3,0.0022,14.88,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Quantum",0,0,0.03,0.03,0,2,2,0,2,0.0034,5.18,0
"Agder and Rogaland (NO04)","Agder and Rogaland (NO04)","Sustainability & Circularity",118,42,0.36,-41.64,116.67,65,65,0.2549,65,0.0022,39.81,0
"Agder and Rogaland (NO04)","Border, Midland and Western (IE01)","Life & Health Sciences",1,1,0.69,-0.31,1.45,39,237,0.0022,138,0.0015,11.52,20.21
"Agder and Rogaland (NO04)","Border, Midland and Western (IE01)","Sustainability & Circularity",1,1,0.19,-0.81,5.26,65,5,0.0061,35,0.0012,39.81,4.23
"Agder and Rogaland (NO04)","Capital (DK) (DK01)","Sustainability & Circularity",2,1,0.96,-0.04,1.04,65,283,0.0061,174,0.0058,39.81,15.41
"Agder and Rogaland (NO04)","Capital Region (IS01)","ICT",12,3,0.18,-2.82,16.67,63,6,0.0072,34.5,4e-04,18.32,5.13
"Agder and Rogaland (NO04)","Gelderland (NL22)","Life & Health Sciences",2,1,1.05,0.05,0.95,39,381,0.0022,210,0.0023,11.52,58.67
"Agder and Rogaland (NO04)","Hedmark and Oppland (NO02)","Life & Health Sciences",5,2,0.13,-1.87,15.38,39,12,0.0043,25.5,3e-04,11.52,26.98
"Agder and Rogaland (NO04)","Hedmark and Oppland (NO02)","Sustainability & Circularity",1,1,0.2,-0.8,5,65,6,0.0061,35.5,0.0012,39.81,9.09
"Agder and Rogaland (NO04)","Languedoc-Roussillon (FR81)","ICT",1,1,0.38,-0.62,2.63,63,82,0.0024,72.5,9e-04,18.32,30.48
"Agder and Rogaland (NO04)","Northern Norway (NO07)","ICT",2,1,0.17,-0.83,5.88,63,2,0.0024,32.5,4e-04,18.32,8.36
"Agder and Rogaland (NO04)","Northern Norway (NO07)","Sustainability & Circularity",1,1,0.2,-0.8,5,65,6,0.0061,35.5,0.0012,39.81,15.37
