"country";"fua_id";"fua_name"
"MY";"MY9";"Johor Bahru"
"PH";"PH1";"Angeles"
"PH";"PH12";"Cebu"
"PH";"PH15";"Davao"
"PH";"PH18";"General Santos"
"PH";"PH2";"Bacolod"
"PH";"PH21";"Iloilo"
"PH";"PH29";"Lucena"
"PH";"PH3";"Baguio"
"PH";"PH32";"Manila"
"PH";"PH35";"Olongapo"
"PH";"PH41";"San Pablo"
"PH";"PH46";"Tarlac"
"PH";"PH49";"San Carlos"
"PH";"PH5";"Batangas"
"PH";"PH50";"San Carlos"
"PH";"PH51";"San Fernando"
"PH";"PH52";"San Fernando"
"PH";"PH9";"Cagayan de Oro"
"SG";"SGZZZ";"Singapore"
"TH";"TH1";"Bangkok"
"TH";"TH10";"Nakhon Si Thammarat"
"TH";"TH11";"Nonthaburi"
"TH";"TH12";"Phitsanulok"
"TH";"TH13";"Rayong"
"TH";"TH14";"Samut Prakan"
"TH";"TH16";"Surat Thani"
"TH";"TH17";"Ubon Ratchathani"
"TH";"TH18";"Udon Thani"
"TH";"TH2";"Chiang Mai"
"TH";"TH3";"Chon Buri"
"TH";"TH5";"Khlong Luang"
"TH";"TH6";"Khon Kaen"
"TH";"TH7";"Lampang"
"TH";"TH8";"Nakhon Pathom"
"TH";"TH9";"Nakhon Ratchasima"
"TW";"TW000";"Chinese Taipei"
