"id","id2","x","y","color","parent","size"
"Severozapaden",36,23.7653,-43.3957,"lightred","BG",1
"Severen tsentralen",37,26.0639,-43.7268,"lightred","BG",1
"Severoiztochen",38,27.2474,-43.3903,"lightred","BG",1
"Yugoiztochen",39,26.5598,-42.5295,"lightred","BG",1
"Yugozapaden",40,23.3402,-42.1675,"lightred","BG",1
"Yuzhen tsentralen",41,25.1077,-41.7683,"lightred","BG",1
"Région lémanique",42,7.2233,-46.1292,"darkgreen","CH",1
"Espace Mittelland",43,7.4432,-46.8792,"darkgreen","CH",1
"Nordwestschweiz",44,8.1788,-47.4553,"darkgreen","CH",1
"Zürich",45,8.6717,-47.4233,"darkgreen","CH",1
"Ostschweiz",46,9.4498,-46.9099,"darkgreen","CH",1
"Zentralschweiz",47,8.5198,-46.9228,"darkgreen","CH",1
"Ticino",48,8.7715,-46.335,"darkgreen","CH",1
"Kýpros",49,33.2996,-35.0204,"lightyellow","CY",1
"Praha",50,14.4634,-50.0708,"lightorange","CZ",1
"Střední Čechy",51,14.4463,-49.7629,"lightorange","CZ",1
"Jihozápad",52,13.9888,-49.1342,"lightorange","CZ",1
"Severozápad",53,13.3463,-50.3527,"lightorange","CZ",1
"Severovýchod",54,15.6203,-50.292,"lightorange","CZ",1
"Jihovýchod",55,16.2811,-49.1776,"lightorange","CZ",1
"Střední Morava",56,17.5177,-49.3559,"lightorange","CZ",1
"Moravskoslezsko",57,18.0159,-49.7986,"lightorange","CZ",1
"Stuttgart",58,9.6163,-49.1603,"green","DE",1
"Karlsruhe",59,8.5541,-48.9278,"green","DE",1
"Freiburg",60,8.3755,-47.9546,"green","DE",1
"Tübingen",61,9.4466,-48.0669,"green","DE",1
"Oberbayern",62,11.9237,-48.0916,"green","DE",1
"Niederbayern",63,12.7134,-48.7308,"green","DE",1
"Oberpfalz",64,12.1871,-49.4112,"green","DE",1
"Oberfranken",65,11.359,-50.092,"green","DE",1
"Mittelfranken",66,10.813,-49.3306,"green","DE",1
"Unterfranken",67,9.9268,-49.9503,"green","DE",1
"Schwaben",68,10.423,-48.0226,"green","DE",1
