"source","target","weight"
0,0,23
1,1,7
0,188,4
1,188,3
2,188,3
0,43,2
1,61,2
2,185,2
0,57,1
0,76,1
0,44,1
0,227,1
0,1,1
0,199,1
0,28,1
0,2,1
0,173,1
0,159,1
0,172,1
0,88,1
1,71,1
1,140,1
1,123,1
1,262,1
1,138,1
1,158,1
0,1,1
1,73,1
1,51,1
1,126,1
1,91,1
1,189,1
2,43,1
0,2,1
2,2,1
2,182,1
