"source","target","weight"
0,0,19
0,28,3
0,1,3
0,186,3
0,1,3
1,1,3
0,234,2
0,188,2
1,188,2
0,185,1
1,186,1
1,262,1
1,29,1
1,254,1
1,3,1
2,257,1
2,2,1
1,3,1
3,262,1
3,254,1
