"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL22","A01B",1,0.18,36.03,64.62,"east"
"NL21","A01B",3,1.2,37.25,64.62,"east"
"NL21","A01C",2,1.29,62.97,58.02,"east"
"NL22","A01C",7,2.04,56.37,58.02,"east"
"NL22","A01D",0,0,20.86,51.08,"east"
"NL21","A01D",2,0.58,35.57,51.08,"east"
"NL21","A01F",0,0,27.8,54.75,"east"
"NL22","A01F",0,0,22.9,54.75,"east"
"NL22","A01G",27,4.6,48.3,45.53,"east"
"NL21","A01G",2,0.76,52.55,45.53,"east"
"NL21","A01H",0,0,24.7,45.94,"east"
"NL22","A01H",11,7.71,78.27,45.94,"east"
"NL22","A01J",9,8.96,66.23,60.12,"east"
"NL21","A01J",10,22.09,58.77,60.12,"east"
"NL21","A01K",17,5.84,35.54,41.21,"east"
"NL22","A01K",40,6.2,59.37,41.21,"east"
"NL21","A01L",0,0,24.32,63.83,"east"
"NL22","A01L",1,15.38,48.11,63.83,"east"
"NL21","A01M",3,1.78,58.56,49.8,"east"
"NL22","A01M",7,1.88,45.26,49.8,"east"
"NL21","A01N",6,1.09,59.59,39.24,"east"
"NL22","A01N",12,0.98,84.83,39.24,"east"
"NL21","A01P",2,2.09,75.06,49.44,"east"
"NL22","A01P",4,1.89,47.76,49.44,"east"
"NL21","A21B",0,0,42.92,63.85,"east"
"NL22","A21B",0,0,51.24,63.85,"east"
"NL22","A21C",15,15.84,63.54,67.73,"east"
"NL21","A21C",1,2.34,42.22,67.73,"east"
"NL21","A21D",0,0,53.82,51.32,"east"
"NL22","A21D",10,6.46,79.94,51.32,"east"
"NL21","A22B",0,0,17.35,53.23,"east"
"NL22","A22B",9,17.57,78.57,53.23,"east"
"NL21","A22C",0,0,36.2,52.5,"east"
"NL22","A22C",12,6.68,80.21,52.5,"east"
"NL21","A23B",1,1.52,51.41,45.49,"east"
"NL22","A23B",6,4.1,80.3,45.49,"east"
"NL22","A23C",35,10.91,93.18,45.43,"east"
"NL21","A23C",2,1.38,48.65,45.43,"east"
"NL22","A23D",15,10.39,92.86,47.03,"east"
"NL21","A23D",0,0,50.38,47.03,"east"
"NL21","A23F",1,1.58,66.37,57.12,"east"
"NL22","A23F",6,4.27,84.29,57.12,"east"
"NL21","A23G",2,1.59,51.65,53.26,"east"
"NL22","A23G",13,4.65,80,53.26,"east"
"NL22","A23J",27,12.51,87.73,44.52,"east"
"NL21","A23J",4,4.11,49.91,44.52,"east"
"NL22","A23K",16,3.62,88.8,43.09,"east"
"NL21","A23K",4,2.01,45.34,43.09,"east"
"NL21","A23L",6,0.78,56.35,33.51,"east"
"NL22","A23L",94,5.48,85.24,33.51,"east"
"NL21","A23N",2,5.87,61.46,54.54,"east"
"NL22","A23N",1,1.32,75.12,54.54,"east"
"NL21","A23P",2,1.66,60.41,50.65,"east"
"NL22","A23P",23,8.59,85.27,50.65,"east"
"NL22","A23V",57,5.94,88.56,37.71,"east"
"NL21","A23V",5,1.16,44.02,37.71,"east"
"NL22","A23Y",2,2.75,97.26,51.86,"east"
"NL21","A23Y",0,0,49.24,51.86,"east"
"NL22","A24B",0,0,21.39,50.91,"east"
"NL21","A24B",0,0,50.52,50.91,"east"
"NL22","A24C",0,0,18.84,52.21,"east"
"NL21","A24C",0,0,28.72,52.21,"east"
"NL21","A24D",0,0,42.38,45.28,"east"
"NL22","A24D",0,0,16.09,45.28,"east"
"NL21","A24F",24,5.2,33.01,45.96,"east"
"NL22","A24F",7,0.68,22.82,45.96,"east"
"NL22","A41B",0,0,47.92,63.33,"east"
"NL21","A41B",0,0,24.23,63.33,"east"
"NL22","A41C",0,0,26.35,59.72,"east"
"NL21","A41C",0,0,7.62,59.72,"east"
"NL21","A41D",0,0,21.78,51.92,"east"
"NL22","A41D",6,1.77,24.74,51.92,"east"
"NL22","A41F",0,0,21.68,66.2,"east"
"NL21","A41F",0,0,8,66.2,"east"
"NL22","A41G",0,0,37.17,65.67,"east"
"NL21","A41G",0,0,21.99,65.67,"east"
"NL21","A41H",0,0,9.47,72.43,"east"
"NL22","A41H",0,0,25.87,72.43,"east"
"NL21","A42B",0,0,16.49,56.15,"east"
"NL22","A42B",0,0,31.25,56.15,"east"
"NL22","A42C",0,0,25.69,69.8,"east"
"NL21","A42C",0,0,27.08,69.8,"east"
"NL22","A43B",1,0.33,44.89,54.26,"east"
"NL21","A43B",0,0,27.91,54.26,"east"
"NL22","A43C",0,0,16.3,68.35,"east"
"NL21","A43C",0,0,7.85,68.35,"east"
"NL21","A43D",0,0,24.11,57.62,"east"
"NL22","A43D",1,1.74,22.7,57.62,"east"
"NL22","A44B",0,0,19,66.85,"east"
"NL21","A44B",0,0,15.54,66.85,"east"
"NL22","A44C",0,0,12.24,55,"east"
"NL21","A44C",0,0,16.42,55,"east"
"NL22","A44D",0,0,11.11,67.67,"east"
"NL21","A44D",0,0,7.33,67.67,"east"
"NL22","A45B",0,0,19.33,65.59,"east"
"NL21","A45B",0,0,24.65,65.59,"east"
"NL22","A45C",1,0.59,23.39,57.99,"east"
