"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"41646";"Eastern Scotland (UKM2)";"China (CN)";1;12,5;0,04;0,05;16,25;"Wind Energy"
"38157";"Eastern Scotland (UKM2)";"China (CN)";1;14,29;0,02;0,02;22,12;"Software Engineering & System Development"
"71917";"Eastern Scotland (UKM2)";"China (CN)";1;3,45;0;0,04;28,25;"Computer Vision, Language Processing & Object Recognition"
"36836";"Eastern Scotland (UKM2)";"China (CN)";1;5;0,01;0,04;24,09;"Semiconductors/Chips"
"19037";"Eastern Scotland (UKM2)";"China (CN)";1;5;0,03;0,15;28,76;"Quantum Technologies"
"6868";"Eastern Scotland (UKM2)";"China (CN)";4;13,33;0,02;0,04;29,98;"Artificial Intelligence"
"8997";"Eastern Scotland (UKM2)";"China (CN)";1;3,33;0;0,03;31,07;"Cybersecurity Technologies"
"16025";"Eastern Scotland (UKM2)";"China (CN)";1;20;0,03;0,05;28,42;"Blockchain Technologies"
"7233";"Eastern Scotland (UKM2)";"China (CN)";2;5,26;0,01;0,05;23,88;"Battery"
