"id","parent","value","color","share"
"Additive manufacturing","Digital transition",72,"blue",2.65
"Advanced Sustainable Materials","Green transition",531,"green",19.53
"Air & Water pollution reduction","Green transition",415,"green",15.26
"Artificial intelligence","Digital transition",23,"blue",0.85
"Augmented reality","Digital transition",30,"blue",1.1
"Autonomous robots","Digital transition",28,"blue",1.03
"Autonomous vehicles","Digital transition",119,"blue",4.38
"Batteries","Green transition",78,"green",2.87
"Biofuels","Green transition",55,"green",2.02
"Biotechnology","Green transition",30,"green",1.1
"Blockchain","Digital transition",15,"blue",0.55
"Cloud computing","Digital transition",12,"blue",0.44
"Cybersecurity","Digital transition",23,"blue",0.85
"Efficient power & combustion","Green transition",2,"green",0.07
"Geothermal energy","Green transition",8,"green",0.29
"Green buildings","Green transition",294,"green",10.81
"Green transports","Green transition",74,"green",2.72
"Greenhouse gas capture","Green transition",1,"green",0.04
"Hydrogen","Green transition",8,"green",0.29
"Internet of things","Digital transition",69,"blue",2.54
"Marine & hydro energy","Green transition",56,"green",2.06
"Nanotechnology","Digital transition",5,"blue",0.18
"Nuclear energy","Green transition",4,"green",0.15
"Other energy storage","Green transition",11,"green",0.4
"Quantum computers","Digital transition",5,"blue",0.18
"Recycling technologies","Green transition",88,"green",3.24
"Smart grids","Digital transition",11,"blue",0.4
"Solar energy","Green transition",120,"green",4.41
"Waste management","Green transition",45,"green",1.66
"Water related adaptation technologies","Green transition",219,"green",8.05
"Wind energy","Green transition",268,"green",9.86
