"id","parent","value","color","share"
"Additive manufacturing","Digital transition",145,"blue",1.83
"Advanced Sustainable Materials","Green transition",1374,"green",17.31
"Air & Water pollution reduction","Green transition",1237,"green",15.59
"Artificial intelligence","Digital transition",103,"blue",1.3
"Augmented reality","Digital transition",149,"blue",1.88
"Autonomous robots","Digital transition",104,"blue",1.31
"Autonomous vehicles","Digital transition",562,"blue",7.08
"Batteries","Green transition",331,"green",4.17
"Biofuels","Green transition",168,"green",2.12
"Biotechnology","Green transition",43,"green",0.54
"Blockchain","Digital transition",65,"blue",0.82
"Cloud computing","Digital transition",58,"blue",0.73
"Cybersecurity","Digital transition",151,"blue",1.9
"Efficient power & combustion","Green transition",6,"green",0.08
"Geothermal energy","Green transition",24,"green",0.3
"Green buildings","Green transition",706,"green",8.9
"Green transports","Green transition",248,"green",3.12
"Greenhouse gas capture","Green transition",2,"green",0.03
"Hydrogen","Green transition",16,"green",0.2
"Internet of things","Digital transition",257,"blue",3.24
"Marine & hydro energy","Green transition",156,"green",1.97
"Nanotechnology","Digital transition",23,"blue",0.29
"Nuclear energy","Green transition",21,"green",0.26
"Other energy storage","Green transition",54,"green",0.68
"Quantum computers","Digital transition",18,"blue",0.23
"Recycling technologies","Green transition",228,"green",2.87
"Smart grids","Digital transition",42,"blue",0.53
"Solar energy","Green transition",428,"green",5.39
"Waste management","Green transition",162,"green",2.04
"Water related adaptation technologies","Green transition",695,"green",8.76
"Wind energy","Green transition",360,"green",4.54
