"id","parent","value","color","share"
"Additive manufacturing","Digital transition",2767,"blue",67.29
"Artificial intelligence","Digital transition",18,"blue",0.44
"Augmented reality","Digital transition",42,"blue",1.02
"Autonomous robots","Digital transition",25,"blue",0.61
"Autonomous vehicles","Digital transition",24,"blue",0.58
"Blockchain","Digital transition",13,"blue",0.32
"Cloud computing","Digital transition",7,"blue",0.17
"Cybersecurity","Digital transition",88,"blue",2.14
"Internet of things","Digital transition",12,"blue",0.29
"Nanotechnology","Digital transition",1054,"blue",25.63
"Quantum computers","Digital transition",61,"blue",1.48
"Smart grids","Digital transition",1,"blue",0.02
