"id","parent","value","color","share"
"Additive manufacturing","Digital transition",7,"blue",0.1
"Advanced Sustainable Materials","Green transition",156,"green",2.3
"Air & Water pollution reduction","Green transition",6,"green",0.09
"Artificial intelligence","Digital transition",432,"blue",6.36
"Augmented reality","Digital transition",847,"blue",12.47
"Autonomous robots","Digital transition",17,"blue",0.25
"Autonomous vehicles","Digital transition",390,"blue",5.74
"Batteries","Green transition",73,"green",1.07
"Biofuels","Green transition",2,"green",0.03
"Biotechnology","Green transition",6,"green",0.09
"Blockchain","Digital transition",109,"blue",1.6
"Cloud computing","Digital transition",386,"blue",5.68
"Cybersecurity","Digital transition",509,"blue",7.49
"Efficient power & combustion","Green transition",3,"green",0.04
"Geothermal energy","Green transition",2,"green",0.03
"Green buildings","Green transition",121,"green",1.78
"Green transports","Green transition",19,"green",0.28
"Greenhouse gas capture","Green transition",2,"green",0.03
"Hydrogen","Green transition",4,"green",0.06
"Internet of things","Digital transition",604,"blue",8.89
"Nanotechnology","Digital transition",202,"blue",2.97
"Nuclear energy","Green transition",2,"green",0.03
"Other energy storage","Green transition",3,"green",0.04
"Quantum computers","Digital transition",548,"blue",8.07
"Recycling technologies","Green transition",8,"green",0.12
"Smart grids","Digital transition",24,"blue",0.35
"Solar energy","Green transition",2298,"green",33.83
"Waste management","Green transition",9,"green",0.13
"Water related adaptation technologies","Green transition",2,"green",0.03
"Wind energy","Green transition",1,"green",0.01
