"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",198,"green",6.54
"Air & Water pollution reduction","Green transition",134,"green",4.43
"Batteries","Green transition",1040,"green",34.35
"Biofuels","Green transition",15,"green",0.5
"Biotechnology","Green transition",2,"green",0.07
"Efficient power & combustion","Green transition",5,"green",0.17
"Green buildings","Green transition",69,"green",2.28
"Green transports","Green transition",1281,"green",42.31
"Hydrogen","Green transition",58,"green",1.92
"Marine & hydro energy","Green transition",4,"green",0.13
"Nuclear energy","Green transition",2,"green",0.07
"Other energy storage","Green transition",11,"green",0.36
"Recycling technologies","Green transition",10,"green",0.33
"Solar energy","Green transition",126,"green",4.16
"Waste management","Green transition",29,"green",0.96
"Water related adaptation technologies","Green transition",13,"green",0.43
"Wind energy","Green transition",31,"green",1.02
