"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",259,"green",10.91
"Air & Water pollution reduction","Green transition",101,"green",4.26
"Batteries","Green transition",473,"green",19.93
"Biofuels","Green transition",11,"green",0.46
"Biotechnology","Green transition",351,"green",14.79
"Efficient power & combustion","Green transition",28,"green",1.18
"Geothermal energy","Green transition",1,"green",0.04
"Green buildings","Green transition",319,"green",13.44
"Green transports","Green transition",237,"green",9.99
"Hydrogen","Green transition",47,"green",1.98
"Marine & hydro energy","Green transition",4,"green",0.17
"Nuclear energy","Green transition",9,"green",0.38
"Other energy storage","Green transition",14,"green",0.59
"Recycling technologies","Green transition",25,"green",1.05
"Solar energy","Green transition",368,"green",15.51
"Waste management","Green transition",29,"green",1.22
"Water related adaptation technologies","Green transition",24,"green",1.01
"Wind energy","Green transition",73,"green",3.08
