"id","parent","value","color","share"
"Additive manufacturing","Digital transition",278,"blue",3.05
"Advanced Sustainable Materials","Green transition",416,"green",4.57
"Air & Water pollution reduction","Green transition",186,"green",2.04
"Artificial intelligence","Digital transition",711,"blue",7.81
"Augmented reality","Digital transition",874,"blue",9.59
"Autonomous robots","Digital transition",158,"blue",1.73
"Autonomous vehicles","Digital transition",45,"blue",0.49
"Batteries","Green transition",82,"green",0.9
"Biofuels","Green transition",11,"green",0.12
"Biotechnology","Green transition",5195,"green",57.03
"Blockchain","Digital transition",54,"blue",0.59
"Cloud computing","Digital transition",76,"blue",0.83
"Cybersecurity","Digital transition",151,"blue",1.66
"Geothermal energy","Green transition",1,"green",0.01
"Green buildings","Green transition",35,"green",0.38
"Green transports","Green transition",18,"green",0.2
"Greenhouse gas capture","Green transition",3,"green",0.03
"Hydrogen","Green transition",16,"green",0.18
"Internet of things","Digital transition",184,"blue",2.02
"Nanotechnology","Digital transition",447,"blue",4.91
"Other energy storage","Green transition",7,"green",0.08
"Quantum computers","Digital transition",28,"blue",0.31
"Recycling technologies","Green transition",30,"green",0.33
"Smart grids","Digital transition",5,"blue",0.05
"Solar energy","Green transition",36,"green",0.4
"Waste management","Green transition",44,"green",0.48
"Water related adaptation technologies","Green transition",16,"green",0.18
"Wind energy","Green transition",2,"green",0.02
