"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",478,"green",1.66
"Air & Water pollution reduction","Green transition",213,"green",0.74
"Batteries","Green transition",1748,"green",6.09
"Biofuels","Green transition",231,"green",0.8
"Biotechnology","Green transition",56,"green",0.19
"Efficient power & combustion","Green transition",285,"green",0.99
"Geothermal energy","Green transition",233,"green",0.81
"Green buildings","Green transition",1577,"green",5.49
"Green transports","Green transition",673,"green",2.34
"Greenhouse gas capture","Green transition",23,"green",0.08
"Hydrogen","Green transition",308,"green",1.07
"Marine & hydro energy","Green transition",1229,"green",4.28
"Nuclear energy","Green transition",21,"green",0.07
"Other energy storage","Green transition",289,"green",1.01
"Recycling technologies","Green transition",113,"green",0.39
"Solar energy","Green transition",17189,"green",59.84
"Waste management","Green transition",59,"green",0.21
"Water related adaptation technologies","Green transition",48,"green",0.17
"Wind energy","Green transition",3952,"green",13.76
