"id","parent","value","color","share"
"Additive manufacturing","Digital transition",1,"blue",0.22
"Artificial intelligence","Digital transition",26,"blue",5.62
"Augmented reality","Digital transition",14,"blue",3.02
"Autonomous robots","Digital transition",5,"blue",1.08
"Autonomous vehicles","Digital transition",27,"blue",5.83
"Blockchain","Digital transition",2,"blue",0.43
"Cloud computing","Digital transition",5,"blue",1.08
"Cybersecurity","Digital transition",11,"blue",2.38
"Internet of things","Digital transition",18,"blue",3.89
"Nanotechnology","Digital transition",51,"blue",11.02
"Quantum computers","Digital transition",82,"blue",17.71
"Smart grids","Digital transition",221,"blue",47.73
