"id","parent","value","color","share"
"Additive manufacturing","Digital transition",193,"blue",0.88
"Artificial intelligence","Digital transition",2550,"blue",11.67
"Augmented reality","Digital transition",5546,"blue",25.37
"Autonomous robots","Digital transition",197,"blue",0.9
"Autonomous vehicles","Digital transition",1700,"blue",7.78
"Blockchain","Digital transition",685,"blue",3.13
"Cloud computing","Digital transition",1480,"blue",6.77
"Cybersecurity","Digital transition",2033,"blue",9.3
"Internet of things","Digital transition",2764,"blue",12.65
"Nanotechnology","Digital transition",1613,"blue",7.38
"Quantum computers","Digital transition",2855,"blue",13.06
"Smart grids","Digital transition",242,"blue",1.11
