"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",237,"green",23.03
"Air & Water pollution reduction","Green transition",20,"green",1.94
"Batteries","Green transition",185,"green",17.98
"Biofuels","Green transition",4,"green",0.39
"Biotechnology","Green transition",22,"green",2.14
"Efficient power & combustion","Green transition",3,"green",0.29
"Geothermal energy","Green transition",1,"green",0.1
"Green buildings","Green transition",121,"green",11.76
"Green transports","Green transition",31,"green",3.01
"Greenhouse gas capture","Green transition",2,"green",0.19
"Hydrogen","Green transition",46,"green",4.47
"Marine & hydro energy","Green transition",1,"green",0.1
"Nuclear energy","Green transition",4,"green",0.39
"Other energy storage","Green transition",9,"green",0.87
"Recycling technologies","Green transition",13,"green",1.26
"Solar energy","Green transition",308,"green",29.93
"Waste management","Green transition",14,"green",1.36
"Water related adaptation technologies","Green transition",6,"green",0.58
"Wind energy","Green transition",2,"green",0.19
