"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",646,"green",3.93
"Air & Water pollution reduction","Green transition",203,"green",1.23
"Batteries","Green transition",270,"green",1.64
"Biofuels","Green transition",30,"green",0.18
"Biotechnology","Green transition",14954,"green",90.91
"Geothermal energy","Green transition",1,"green",0.01
"Green buildings","Green transition",53,"green",0.32
"Green transports","Green transition",19,"green",0.12
"Greenhouse gas capture","Green transition",13,"green",0.08
"Hydrogen","Green transition",42,"green",0.26
"Marine & hydro energy","Green transition",1,"green",0.01
"Nuclear energy","Green transition",2,"green",0.01
"Other energy storage","Green transition",8,"green",0.05
"Recycling technologies","Green transition",42,"green",0.26
"Solar energy","Green transition",77,"green",0.47
"Waste management","Green transition",59,"green",0.36
"Water related adaptation technologies","Green transition",26,"green",0.16
"Wind energy","Green transition",3,"green",0.02
