"id","parent","value","color","share"
"Additive manufacturing","Digital transition",380,"blue",0.98
"Artificial intelligence","Digital transition",4410,"blue",11.4
"Augmented reality","Digital transition",4132,"blue",10.68
"Autonomous robots","Digital transition",161,"blue",0.42
"Autonomous vehicles","Digital transition",1579,"blue",4.08
"Blockchain","Digital transition",3607,"blue",9.32
"Cloud computing","Digital transition",3798,"blue",9.82
"Cybersecurity","Digital transition",7733,"blue",19.99
"Internet of things","Digital transition",11055,"blue",28.58
"Nanotechnology","Digital transition",106,"blue",0.27
"Quantum computers","Digital transition",1002,"blue",2.59
"Smart grids","Digital transition",719,"blue",1.86
