"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",156,"green",5.74
"Air & Water pollution reduction","Green transition",6,"green",0.22
"Batteries","Green transition",73,"green",2.69
"Biofuels","Green transition",2,"green",0.07
"Biotechnology","Green transition",6,"green",0.22
"Efficient power & combustion","Green transition",3,"green",0.11
"Geothermal energy","Green transition",2,"green",0.07
"Green buildings","Green transition",121,"green",4.45
"Green transports","Green transition",19,"green",0.7
"Greenhouse gas capture","Green transition",2,"green",0.07
"Hydrogen","Green transition",4,"green",0.15
"Nuclear energy","Green transition",2,"green",0.07
"Other energy storage","Green transition",3,"green",0.11
"Recycling technologies","Green transition",8,"green",0.29
"Solar energy","Green transition",2298,"green",84.58
"Waste management","Green transition",9,"green",0.33
"Water related adaptation technologies","Green transition",2,"green",0.07
"Wind energy","Green transition",1,"green",0.04
