"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",123,"green",44.24
"Air & Water pollution reduction","Green transition",33,"green",11.87
"Batteries","Green transition",23,"green",8.27
"Biofuels","Green transition",5,"green",1.8
"Biotechnology","Green transition",15,"green",5.4
"Green buildings","Green transition",42,"green",15.11
"Hydrogen","Green transition",4,"green",1.44
"Marine & hydro energy","Green transition",1,"green",0.36
"Other energy storage","Green transition",5,"green",1.8
"Recycling technologies","Green transition",6,"green",2.16
"Solar energy","Green transition",10,"green",3.6
"Waste management","Green transition",10,"green",3.6
"Wind energy","Green transition",1,"green",0.36
