"id","parent","value","color","share"
"Additive manufacturing","Digital transition",28,"blue",1.1
"Advanced Sustainable Materials","Green transition",340,"green",13.41
"Air & Water pollution reduction","Green transition",149,"green",5.88
"Artificial intelligence","Digital transition",37,"blue",1.46
"Augmented reality","Digital transition",74,"blue",2.92
"Autonomous robots","Digital transition",26,"blue",1.03
"Autonomous vehicles","Digital transition",173,"blue",6.82
"Batteries","Green transition",25,"green",0.99
"Biofuels","Green transition",70,"green",2.76
"Biotechnology","Green transition",1195,"green",47.12
"Blockchain","Digital transition",2,"blue",0.08
"Cloud computing","Digital transition",9,"blue",0.35
"Cybersecurity","Digital transition",3,"blue",0.12
"Geothermal energy","Green transition",1,"green",0.04
"Green buildings","Green transition",35,"green",1.38
"Green transports","Green transition",15,"green",0.59
"Greenhouse gas capture","Green transition",7,"green",0.28
"Hydrogen","Green transition",7,"green",0.28
"Internet of things","Digital transition",23,"blue",0.91
"Marine & hydro energy","Green transition",1,"green",0.04
"Nanotechnology","Digital transition",53,"blue",2.09
"Other energy storage","Green transition",6,"green",0.24
"Recycling technologies","Green transition",55,"green",2.17
"Smart grids","Digital transition",4,"blue",0.16
"Solar energy","Green transition",22,"green",0.87
"Waste management","Green transition",109,"green",4.3
"Water related adaptation technologies","Green transition",62,"green",2.44
"Wind energy","Green transition",5,"green",0.2
