"id","parent","value","color","share"
"Additive manufacturing","Digital transition",73,"blue",1.61
"Advanced Sustainable Materials","Green transition",159,"green",3.51
"Air & Water pollution reduction","Green transition",84,"green",1.86
"Artificial intelligence","Digital transition",308,"blue",6.8
"Augmented reality","Digital transition",327,"blue",7.22
"Autonomous robots","Digital transition",57,"blue",1.26
"Autonomous vehicles","Digital transition",26,"blue",0.57
"Batteries","Green transition",40,"green",0.88
"Biofuels","Green transition",4,"green",0.09
"Biotechnology","Green transition",2918,"green",64.44
"Blockchain","Digital transition",27,"blue",0.6
"Cloud computing","Digital transition",74,"blue",1.63
"Cybersecurity","Digital transition",71,"blue",1.57
"Green buildings","Green transition",12,"green",0.27
"Green transports","Green transition",2,"green",0.04
"Hydrogen","Green transition",3,"green",0.07
"Internet of things","Digital transition",108,"blue",2.39
"Nanotechnology","Digital transition",176,"blue",3.89
"Other energy storage","Green transition",2,"green",0.04
"Quantum computers","Digital transition",13,"blue",0.29
"Recycling technologies","Green transition",6,"green",0.13
"Smart grids","Digital transition",3,"blue",0.07
"Solar energy","Green transition",16,"green",0.35
"Waste management","Green transition",16,"green",0.35
"Water related adaptation technologies","Green transition",3,"green",0.07
