"id","parent","value","color","share"
"Additive manufacturing","Digital transition",354,"blue",11.14
"Advanced Sustainable Materials","Green transition",495,"green",15.57
"Air & Water pollution reduction","Green transition",238,"green",7.49
"Artificial intelligence","Digital transition",5,"blue",0.16
"Augmented reality","Digital transition",6,"blue",0.19
"Autonomous robots","Digital transition",5,"blue",0.16
"Autonomous vehicles","Digital transition",3,"blue",0.09
"Batteries","Green transition",280,"green",8.81
"Biofuels","Green transition",265,"green",8.34
"Biotechnology","Green transition",78,"green",2.45
"Cybersecurity","Digital transition",4,"blue",0.13
"Efficient power & combustion","Green transition",5,"green",0.16
"Green buildings","Green transition",7,"green",0.22
"Green transports","Green transition",18,"green",0.57
"Greenhouse gas capture","Green transition",20,"green",0.63
"Hydrogen","Green transition",75,"green",2.36
"Nanotechnology","Digital transition",461,"blue",14.5
"Nuclear energy","Green transition",5,"green",0.16
"Other energy storage","Green transition",19,"green",0.6
"Quantum computers","Digital transition",55,"blue",1.73
"Recycling technologies","Green transition",354,"green",11.14
"Smart grids","Digital transition",1,"blue",0.03
"Solar energy","Green transition",101,"green",3.18
"Waste management","Green transition",301,"green",9.47
"Water related adaptation technologies","Green transition",4,"green",0.13
"Wind energy","Green transition",20,"green",0.63
