"id","parent","value","color","share"
"Additive manufacturing","Digital transition",433,"blue",0.62
"Artificial intelligence","Digital transition",11396,"blue",16.21
"Augmented reality","Digital transition",7191,"blue",10.23
"Autonomous robots","Digital transition",350,"blue",0.5
"Autonomous vehicles","Digital transition",2759,"blue",3.93
"Blockchain","Digital transition",5379,"blue",7.65
"Cloud computing","Digital transition",8931,"blue",12.71
"Cybersecurity","Digital transition",11996,"blue",17.07
"Internet of things","Digital transition",18335,"blue",26.08
"Nanotechnology","Digital transition",363,"blue",0.52
"Quantum computers","Digital transition",1821,"blue",2.59
"Smart grids","Digital transition",1337,"blue",1.9
