"id","parent","value","color","share"
"Additive manufacturing","Digital transition",344,"blue",0.35
"Advanced Sustainable Materials","Green transition",890,"green",0.91
"Air & Water pollution reduction","Green transition",111,"green",0.11
"Artificial intelligence","Digital transition",2441,"blue",2.48
"Augmented reality","Digital transition",1236,"blue",1.26
"Autonomous robots","Digital transition",118,"blue",0.12
"Autonomous vehicles","Digital transition",6266,"blue",6.37
"Batteries","Green transition",765,"green",0.78
"Biofuels","Green transition",58,"green",0.06
"Biotechnology","Green transition",31,"green",0.03
"Blockchain","Digital transition",13038,"blue",13.26
"Cloud computing","Digital transition",5865,"blue",5.97
"Cybersecurity","Digital transition",32396,"blue",32.96
"Efficient power & combustion","Green transition",33,"green",0.03
"Geothermal energy","Green transition",1,"green",0
"Green buildings","Green transition",132,"green",0.13
"Green transports","Green transition",2277,"green",2.32
"Greenhouse gas capture","Green transition",6,"green",0.01
"Hydrogen","Green transition",89,"green",0.09
"Internet of things","Digital transition",28736,"blue",29.23
"Marine & hydro energy","Green transition",15,"green",0.02
"Nanotechnology","Digital transition",62,"blue",0.06
"Nuclear energy","Green transition",28,"green",0.03
"Other energy storage","Green transition",17,"green",0.02
"Quantum computers","Digital transition",647,"blue",0.66
"Recycling technologies","Green transition",31,"green",0.03
"Smart grids","Digital transition",2025,"blue",2.06
"Solar energy","Green transition",293,"green",0.3
"Waste management","Green transition",29,"green",0.03
"Water related adaptation technologies","Green transition",143,"green",0.15
"Wind energy","Green transition",173,"green",0.18
