"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",1210,"green",13.26
"Air & Water pollution reduction","Green transition",667,"green",7.31
"Batteries","Green transition",138,"green",1.51
"Biofuels","Green transition",280,"green",3.07
"Biotechnology","Green transition",5130,"green",56.2
"Efficient power & combustion","Green transition",3,"green",0.03
"Geothermal energy","Green transition",6,"green",0.07
"Green buildings","Green transition",163,"green",1.79
"Green transports","Green transition",72,"green",0.79
"Greenhouse gas capture","Green transition",33,"green",0.36
"Hydrogen","Green transition",35,"green",0.38
"Marine & hydro energy","Green transition",21,"green",0.23
"Other energy storage","Green transition",17,"green",0.19
"Recycling technologies","Green transition",260,"green",2.85
"Solar energy","Green transition",147,"green",1.61
"Waste management","Green transition",437,"green",4.79
"Water related adaptation technologies","Green transition",492,"green",5.39
"Wind energy","Green transition",17,"green",0.19
