"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",1806,"green",28.49
"Air & Water pollution reduction","Green transition",641,"green",10.11
"Batteries","Green transition",539,"green",8.5
"Biofuels","Green transition",735,"green",11.59
"Biotechnology","Green transition",338,"green",5.33
"Efficient power & combustion","Green transition",44,"green",0.69
"Geothermal energy","Green transition",2,"green",0.03
"Green buildings","Green transition",29,"green",0.46
"Green transports","Green transition",149,"green",2.35
"Greenhouse gas capture","Green transition",208,"green",3.28
"Hydrogen","Green transition",227,"green",3.58
"Marine & hydro energy","Green transition",4,"green",0.06
"Nuclear energy","Green transition",40,"green",0.63
"Other energy storage","Green transition",50,"green",0.79
"Recycling technologies","Green transition",663,"green",10.46
"Solar energy","Green transition",158,"green",2.49
"Waste management","Green transition",584,"green",9.21
"Water related adaptation technologies","Green transition",41,"green",0.65
"Wind energy","Green transition",82,"green",1.29
