"id","parent","value","color","share"
"Additive manufacturing","Digital transition",63,"blue",1.23
"Advanced Sustainable Materials","Green transition",174,"green",3.38
"Air & Water pollution reduction","Green transition",53,"green",1.03
"Artificial intelligence","Digital transition",242,"blue",4.71
"Augmented reality","Digital transition",595,"blue",11.57
"Autonomous robots","Digital transition",22,"blue",0.43
"Autonomous vehicles","Digital transition",148,"blue",2.88
"Batteries","Green transition",92,"green",1.79
"Biofuels","Green transition",6,"green",0.12
"Biotechnology","Green transition",11,"green",0.21
"Blockchain","Digital transition",72,"blue",1.4
"Cloud computing","Digital transition",132,"blue",2.57
"Cybersecurity","Digital transition",195,"blue",3.79
"Efficient power & combustion","Green transition",15,"green",0.29
"Geothermal energy","Green transition",1,"green",0.02
"Green buildings","Green transition",168,"green",3.27
"Green transports","Green transition",45,"green",0.88
"Greenhouse gas capture","Green transition",2,"green",0.04
"Hydrogen","Green transition",18,"green",0.35
"Internet of things","Digital transition",301,"blue",5.85
"Marine & hydro energy","Green transition",1,"green",0.02
"Nanotechnology","Digital transition",228,"blue",4.43
"Nuclear energy","Green transition",4,"green",0.08
"Other energy storage","Green transition",8,"green",0.16
"Quantum computers","Digital transition",402,"blue",7.82
"Recycling technologies","Green transition",2,"green",0.04
"Smart grids","Digital transition",33,"blue",0.64
"Solar energy","Green transition",2098,"green",40.8
"Waste management","Green transition",3,"green",0.06
"Wind energy","Green transition",8,"green",0.16
