"id","x","y","parent","color"
"Green buildings",2012,24,"Green transition","green"
"Wind energy",2012,24,"Green transition","green"
"Cloud computing",2016,23,"Digital transition","blue"
"Green buildings",2013,23,"Green transition","green"
"Hydrogen",2014,23,"Green transition","green"
"Augmented reality",2013,22,"Digital transition","blue"
"Blockchain",2020,22,"Digital transition","blue"
"Cloud computing",2018,22,"Digital transition","blue"
"Green buildings",2019,21,"Green transition","green"
"Green buildings",2017,21,"Green transition","green"
"Hydrogen",2011,21,"Green transition","green"
"Cybersecurity",2015,20,"Digital transition","blue"
"Green buildings",2018,20,"Green transition","green"
"Solar energy",2010,20,"Green transition","green"
"Air & Water pollution reduction",2021,18,"Green transition","green"
"Augmented reality",2014,17,"Digital transition","blue"
"Green buildings",2020,17,"Green transition","green"
"Internet of things",2021,17,"Digital transition","blue"
"Other energy storage",2017,17,"Green transition","green"
"Solar energy",2021,17,"Green transition","green"
"Artificial intelligence",2021,16,"Digital transition","blue"
"Cloud computing",2015,16,"Digital transition","blue"
"Cloud computing",2017,15,"Digital transition","blue"
"Cybersecurity",2017,15,"Digital transition","blue"
"Artificial intelligence",2014,14,"Digital transition","blue"
"Augmented reality",2015,14,"Digital transition","blue"
"Augmented reality",2021,14,"Digital transition","blue"
"Waste management",2017,14,"Green transition","green"
"Wind energy",2017,14,"Green transition","green"
"Artificial intelligence",2017,13,"Digital transition","blue"
"Blockchain",2015,13,"Digital transition","blue"
"Green buildings",2010,13,"Green transition","green"
"Blockchain",2018,12,"Digital transition","blue"
"Internet of things",2010,12,"Digital transition","blue"
"Artificial intelligence",2015,11,"Digital transition","blue"
"Artificial intelligence",2016,11,"Digital transition","blue"
"Augmented reality",2012,11,"Digital transition","blue"
"Cybersecurity",2021,11,"Digital transition","blue"
"Cybersecurity",2014,11,"Digital transition","blue"
"Internet of things",2011,11,"Digital transition","blue"
"Biofuels",2018,10,"Green transition","green"
"Blockchain",2016,10,"Digital transition","blue"
"Cloud computing",2013,10,"Digital transition","blue"
"Cloud computing",2014,10,"Digital transition","blue"
"Cybersecurity",2012,10,"Digital transition","blue"
"Green buildings",2011,10,"Green transition","green"
"Wind energy",2011,10,"Green transition","green"
"Wind energy",2015,10,"Green transition","green"
"Cybersecurity",2013,9,"Digital transition","blue"
"Wind energy",2010,9,"Green transition","green"
"Autonomous robots",2018,8,"Digital transition","blue"
"Biofuels",2017,8,"Green transition","green"
"Green buildings",2021,8,"Green transition","green"
"Quantum computers",2018,8,"Digital transition","blue"
"Additive manufacturing",2020,7,"Digital transition","blue"
"Additive manufacturing",2018,7,"Digital transition","blue"
"Blockchain",2012,7,"Digital transition","blue"
"Blockchain",2021,7,"Digital transition","blue"
"Efficient power & combustion",2019,7,"Green transition","green"
"Other energy storage",2016,7,"Green transition","green"
"Other energy storage",2012,7,"Green transition","green"
"Waste management",2014,7,"Green transition","green"
"Water related adaptation technologies",2017,7,"Green transition","green"
"Additive manufacturing",2019,6,"Digital transition","blue"
"Augmented reality",2010,6,"Digital transition","blue"
"Autonomous robots",2017,6,"Digital transition","blue"
"Blockchain",2017,6,"Digital transition","blue"
"Blockchain",2013,6,"Digital transition","blue"
"Cloud computing",2012,6,"Digital transition","blue"
"Efficient power & combustion",2015,6,"Green transition","green"
"Efficient power & combustion",2018,6,"Green transition","green"
"Efficient power & combustion",2012,6,"Green transition","green"
"Other energy storage",2015,6,"Green transition","green"
"Other energy storage",2014,6,"Green transition","green"
"Waste management",2020,6,"Green transition","green"
"Wind energy",2016,6,"Green transition","green"
"Wind energy",2014,6,"Green transition","green"
"Additive manufacturing",2017,5,"Digital transition","blue"
"Artificial intelligence",2013,5,"Digital transition","blue"
"Biofuels",2019,5,"Green transition","green"
"Blockchain",2010,5,"Digital transition","blue"
"Cloud computing",2021,5,"Digital transition","blue"
"Nanotechnology",2016,5,"Digital transition","blue"
"Nanotechnology",2015,5,"Digital transition","blue"
"Other energy storage",2010,5,"Green transition","green"
"Waste management",2018,5,"Green transition","green"
"Waste management",2019,5,"Green transition","green"
"Wind energy",2013,5,"Green transition","green"
"Artificial intelligence",2011,4,"Digital transition","blue"
"Autonomous robots",2020,4,"Digital transition","blue"
"Autonomous robots",2019,4,"Digital transition","blue"
"Blockchain",2014,4,"Digital transition","blue"
"Blockchain",2011,4,"Digital transition","blue"
"Cybersecurity",2010,4,"Digital transition","blue"
"Cybersecurity",2011,4,"Digital transition","blue"
"Efficient power & combustion",2016,4,"Green transition","green"
"Greenhouse gas capture",2018,4,"Green transition","green"
"Nanotechnology",2011,4,"Digital transition","blue"
"Other energy storage",2013,4,"Green transition","green"
"Other energy storage",2018,4,"Green transition","green"
"Quantum computers",2019,4,"Digital transition","blue"
"Waste management",2011,4,"Green transition","green"
"Water related adaptation technologies",2018,4,"Green transition","green"
"Wind energy",2019,4,"Green transition","green"
"Augmented reality",2011,3,"Digital transition","blue"
"Autonomous robots",2016,3,"Digital transition","blue"
"Autonomous robots",2021,3,"Digital transition","blue"
"Autonomous robots",2015,3,"Digital transition","blue"
"Biofuels",2014,3,"Green transition","green"
"Biofuels",2016,3,"Green transition","green"
"Biofuels",2011,3,"Green transition","green"
