"id","parent","value","color","share"
"Additive manufacturing","Digital transition",48,"blue",1.52
"Advanced Sustainable Materials","Green transition",192,"green",6.06
"Air & Water pollution reduction","Green transition",42,"green",1.33
"Artificial intelligence","Digital transition",430,"blue",13.58
"Augmented reality","Digital transition",833,"blue",26.31
"Autonomous robots","Digital transition",23,"blue",0.73
"Autonomous vehicles","Digital transition",172,"blue",5.43
"Batteries","Green transition",138,"green",4.36
"Biofuels","Green transition",3,"green",0.09
"Biotechnology","Green transition",9,"green",0.28
"Blockchain","Digital transition",82,"blue",2.59
"Cloud computing","Digital transition",116,"blue",3.66
"Cybersecurity","Digital transition",233,"blue",7.36
"Efficient power & combustion","Green transition",2,"green",0.06
"Geothermal energy","Green transition",1,"green",0.03
"Green buildings","Green transition",88,"green",2.78
"Green transports","Green transition",90,"green",2.84
"Hydrogen","Green transition",34,"green",1.07
"Internet of things","Digital transition",266,"blue",8.4
"Nanotechnology","Digital transition",30,"blue",0.95
"Nuclear energy","Green transition",4,"green",0.13
"Other energy storage","Green transition",11,"green",0.35
"Quantum computers","Digital transition",49,"blue",1.55
"Recycling technologies","Green transition",2,"green",0.06
"Smart grids","Digital transition",18,"blue",0.57
"Solar energy","Green transition",230,"green",7.26
"Waste management","Green transition",4,"green",0.13
"Water related adaptation technologies","Green transition",4,"green",0.13
"Wind energy","Green transition",12,"green",0.38
