"id","parent","value","color","share"
"Additive manufacturing","Digital transition",54,"blue",31.03
"Artificial intelligence","Digital transition",20,"blue",11.49
"Augmented reality","Digital transition",30,"blue",17.24
"Autonomous robots","Digital transition",4,"blue",2.3
"Autonomous vehicles","Digital transition",2,"blue",1.15
"Blockchain","Digital transition",2,"blue",1.15
"Cloud computing","Digital transition",4,"blue",2.3
"Cybersecurity","Digital transition",4,"blue",2.3
"Internet of things","Digital transition",14,"blue",8.05
"Nanotechnology","Digital transition",39,"blue",22.41
"Smart grids","Digital transition",1,"blue",0.57
