"id","parent","value","color","share"
"Additive manufacturing","Digital transition",20,"blue",2.64
"Artificial intelligence","Digital transition",65,"blue",8.58
"Augmented reality","Digital transition",11,"blue",1.45
"Autonomous robots","Digital transition",3,"blue",0.4
"Autonomous vehicles","Digital transition",36,"blue",4.75
"Blockchain","Digital transition",5,"blue",0.66
"Cloud computing","Digital transition",7,"blue",0.92
"Cybersecurity","Digital transition",17,"blue",2.24
"Internet of things","Digital transition",30,"blue",3.96
"Nanotechnology","Digital transition",55,"blue",7.26
"Quantum computers","Digital transition",114,"blue",15.04
"Smart grids","Digital transition",395,"blue",52.11
