"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",22,"green",0.6
"Air & Water pollution reduction","Green transition",22,"green",0.6
"Artificial intelligence","Digital transition",85,"blue",2.3
"Augmented reality","Digital transition",60,"blue",1.63
"Autonomous robots","Digital transition",14,"blue",0.38
"Autonomous vehicles","Digital transition",427,"blue",11.57
"Batteries","Green transition",1211,"green",32.83
"Blockchain","Digital transition",26,"blue",0.7
"Cloud computing","Digital transition",71,"blue",1.92
"Cybersecurity","Digital transition",48,"blue",1.3
"Efficient power & combustion","Green transition",2,"green",0.05
"Green buildings","Green transition",41,"green",1.11
"Green transports","Green transition",1252,"green",33.94
"Hydrogen","Green transition",57,"green",1.55
"Internet of things","Digital transition",136,"blue",3.69
"Nanotechnology","Digital transition",2,"blue",0.05
"Other energy storage","Green transition",4,"green",0.11
"Quantum computers","Digital transition",3,"blue",0.08
"Recycling technologies","Green transition",2,"green",0.05
"Smart grids","Digital transition",76,"blue",2.06
"Solar energy","Green transition",111,"green",3.01
"Waste management","Green transition",8,"green",0.22
"Water related adaptation technologies","Green transition",2,"green",0.05
"Wind energy","Green transition",7,"green",0.19
