"id","x","y","parent","color"
"Augmented reality",2013,0.37,"Digital transition","blue"
"Autonomous robots",2019,0.16,"Digital transition","blue"
"Additive manufacturing",2016,0.23,"Digital transition","blue"
"Additive manufacturing",2021,0.32,"Digital transition","blue"
"Artificial intelligence",2012,0.4,"Digital transition","blue"
"Quantum computers",2011,0.45,"Digital transition","blue"
"Autonomous robots",2018,0.12,"Digital transition","blue"
"Autonomous robots",2017,0.14,"Digital transition","blue"
"Autonomous robots",2020,0.11,"Digital transition","blue"
"Nanotechnology",2011,0.29,"Digital transition","blue"
"Augmented reality",2012,0.24,"Digital transition","blue"
"Nanotechnology",2018,0.09,"Digital transition","blue"
"Artificial intelligence",2011,0.25,"Digital transition","blue"
"Nanotechnology",2017,0.1,"Digital transition","blue"
"Nanotechnology",2010,0.23,"Digital transition","blue"
"Nanotechnology",2012,0.19,"Digital transition","blue"
"Artificial intelligence",2010,0.21,"Digital transition","blue"
"Augmented reality",2011,0.21,"Digital transition","blue"
"Nanotechnology",2019,0.06,"Digital transition","blue"
"Augmented reality",2010,0.2,"Digital transition","blue"
"Nanotechnology",2013,0.13,"Digital transition","blue"
"Nanotechnology",2016,0.09,"Digital transition","blue"
"Nanotechnology",2015,0.08,"Digital transition","blue"
"Nanotechnology",2014,0.08,"Digital transition","blue"
"Additive manufacturing",2013,0.09,"Digital transition","blue"
"Nanotechnology",2020,0.04,"Digital transition","blue"
"Autonomous robots",2016,0.05,"Digital transition","blue"
"Autonomous robots",2015,0.06,"Digital transition","blue"
"Autonomous robots",2021,0.07,"Digital transition","blue"
"Additive manufacturing",2011,0.08,"Digital transition","blue"
"Additive manufacturing",2012,0.07,"Digital transition","blue"
"Additive manufacturing",2014,0.05,"Digital transition","blue"
"Autonomous robots",2013,0.05,"Digital transition","blue"
"Additive manufacturing",2010,0.04,"Digital transition","blue"
"Autonomous robots",2011,0.04,"Digital transition","blue"
"Autonomous robots",2012,0.04,"Digital transition","blue"
"Nanotechnology",2021,0.02,"Digital transition","blue"
"Autonomous robots",2010,0.01,"Digital transition","blue"
