"id","parent","value","color","share"
"Additive manufacturing","Digital transition",20,"blue",0.24
"Advanced Sustainable Materials","Green transition",143,"green",1.68
"Air & Water pollution reduction","Green transition",34,"green",0.4
"Artificial intelligence","Digital transition",65,"blue",0.76
"Augmented reality","Digital transition",11,"blue",0.13
"Autonomous robots","Digital transition",3,"blue",0.04
"Autonomous vehicles","Digital transition",36,"blue",0.42
"Batteries","Green transition",327,"green",3.85
"Biofuels","Green transition",76,"green",0.89
"Biotechnology","Green transition",10,"green",0.12
"Blockchain","Digital transition",5,"blue",0.06
"Cloud computing","Digital transition",7,"blue",0.08
"Cybersecurity","Digital transition",17,"blue",0.2
"Efficient power & combustion","Green transition",86,"green",1.01
"Geothermal energy","Green transition",73,"green",0.86
"Green buildings","Green transition",451,"green",5.3
"Green transports","Green transition",186,"green",2.19
"Greenhouse gas capture","Green transition",8,"green",0.09
"Hydrogen","Green transition",102,"green",1.2
"Internet of things","Digital transition",30,"blue",0.35
"Marine & hydro energy","Green transition",292,"green",3.43
"Nanotechnology","Digital transition",55,"blue",0.65
"Nuclear energy","Green transition",3,"green",0.04
"Other energy storage","Green transition",62,"green",0.73
"Quantum computers","Digital transition",114,"blue",1.34
"Recycling technologies","Green transition",18,"green",0.21
"Smart grids","Digital transition",395,"blue",4.65
"Solar energy","Green transition",3569,"green",41.98
"Waste management","Green transition",9,"green",0.11
"Water related adaptation technologies","Green transition",10,"green",0.12
"Wind energy","Green transition",2285,"green",26.88
