"id","parent","value","color","share"
"Additive manufacturing","Digital transition",26,"blue",0.26
"Advanced Sustainable Materials","Green transition",410,"green",4.06
"Air & Water pollution reduction","Green transition",318,"green",3.15
"Artificial intelligence","Digital transition",145,"blue",1.43
"Augmented reality","Digital transition",212,"blue",2.1
"Autonomous robots","Digital transition",25,"blue",0.25
"Autonomous vehicles","Digital transition",1188,"blue",11.75
"Batteries","Green transition",2561,"green",25.34
"Biofuels","Green transition",27,"green",0.27
"Biotechnology","Green transition",2,"green",0.02
"Blockchain","Digital transition",71,"blue",0.7
"Cloud computing","Digital transition",103,"blue",1.02
"Cybersecurity","Digital transition",129,"blue",1.28
"Efficient power & combustion","Green transition",18,"green",0.18
"Green buildings","Green transition",87,"green",0.86
"Green transports","Green transition",3731,"green",36.91
"Greenhouse gas capture","Green transition",4,"green",0.04
"Hydrogen","Green transition",209,"green",2.07
"Internet of things","Digital transition",243,"blue",2.4
"Marine & hydro energy","Green transition",2,"green",0.02
"Nanotechnology","Digital transition",5,"blue",0.05
"Other energy storage","Green transition",25,"green",0.25
"Quantum computers","Digital transition",14,"blue",0.14
"Recycling technologies","Green transition",6,"green",0.06
"Smart grids","Digital transition",303,"blue",3
"Solar energy","Green transition",175,"green",1.73
"Waste management","Green transition",32,"green",0.32
"Water related adaptation technologies","Green transition",14,"green",0.14
"Wind energy","Green transition",23,"green",0.23
