"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",2657,"green",19.7
"Air & Water pollution reduction","Green transition",284,"green",2.11
"Batteries","Green transition",2839,"green",21.05
"Biofuels","Green transition",29,"green",0.22
"Biotechnology","Green transition",1944,"green",14.42
"Efficient power & combustion","Green transition",96,"green",0.71
"Geothermal energy","Green transition",4,"green",0.03
"Green buildings","Green transition",1290,"green",9.57
"Green transports","Green transition",723,"green",5.36
"Greenhouse gas capture","Green transition",4,"green",0.03
"Hydrogen","Green transition",149,"green",1.1
"Marine & hydro energy","Green transition",14,"green",0.1
"Nuclear energy","Green transition",57,"green",0.42
"Other energy storage","Green transition",53,"green",0.39
"Recycling technologies","Green transition",116,"green",0.86
"Solar energy","Green transition",2819,"green",20.9
"Waste management","Green transition",159,"green",1.18
"Water related adaptation technologies","Green transition",130,"green",0.96
"Wind energy","Green transition",118,"green",0.88
