"id","parent","value","color","share"
"Additive manufacturing","Digital transition",63,"blue",2.59
"Artificial intelligence","Digital transition",242,"blue",9.95
"Augmented reality","Digital transition",595,"blue",24.46
"Autonomous robots","Digital transition",22,"blue",0.9
"Autonomous vehicles","Digital transition",148,"blue",6.08
"Blockchain","Digital transition",72,"blue",2.96
"Cloud computing","Digital transition",132,"blue",5.43
"Cybersecurity","Digital transition",195,"blue",8.01
"Internet of things","Digital transition",301,"blue",12.37
"Nanotechnology","Digital transition",228,"blue",9.37
"Quantum computers","Digital transition",402,"blue",16.52
"Smart grids","Digital transition",33,"blue",1.36
