"id","parent","value","color","share"
"Additive manufacturing","Digital transition",12,"blue",1.67
"Artificial intelligence","Digital transition",121,"blue",16.83
"Augmented reality","Digital transition",115,"blue",15.99
"Autonomous robots","Digital transition",32,"blue",4.45
"Autonomous vehicles","Digital transition",195,"blue",27.12
"Blockchain","Digital transition",29,"blue",4.03
"Cloud computing","Digital transition",48,"blue",6.68
"Cybersecurity","Digital transition",11,"blue",1.53
"Internet of things","Digital transition",86,"blue",11.96
"Nanotechnology","Digital transition",58,"blue",8.07
"Quantum computers","Digital transition",3,"blue",0.42
"Smart grids","Digital transition",9,"blue",1.25
