"id","parent","value","color","share"
"Additive manufacturing","Digital transition",61,"blue",1.99
"Artificial intelligence","Digital transition",163,"blue",5.31
"Augmented reality","Digital transition",75,"blue",2.44
"Autonomous robots","Digital transition",12,"blue",0.39
"Autonomous vehicles","Digital transition",260,"blue",8.47
"Blockchain","Digital transition",30,"blue",0.98
"Cloud computing","Digital transition",34,"blue",1.11
"Cybersecurity","Digital transition",83,"blue",2.71
"Internet of things","Digital transition",144,"blue",4.69
"Nanotechnology","Digital transition",297,"blue",9.68
"Quantum computers","Digital transition",582,"blue",18.97
"Smart grids","Digital transition",1327,"blue",43.25
