"id","parent","value","color","share"
"Additive manufacturing","Digital transition",151,"blue",4.06
"Advanced Sustainable Materials","Green transition",1668,"green",44.83
"Air & Water pollution reduction","Green transition",245,"green",6.58
"Artificial intelligence","Digital transition",84,"blue",2.26
"Augmented reality","Digital transition",130,"blue",3.49
"Autonomous robots","Digital transition",18,"blue",0.48
"Autonomous vehicles","Digital transition",10,"blue",0.27
"Batteries","Green transition",151,"green",4.06
"Biofuels","Green transition",33,"green",0.89
"Biotechnology","Green transition",270,"green",7.26
"Blockchain","Digital transition",16,"blue",0.43
"Cloud computing","Digital transition",18,"blue",0.48
"Cybersecurity","Digital transition",25,"blue",0.67
"Efficient power & combustion","Green transition",4,"green",0.11
"Geothermal energy","Green transition",1,"green",0.03
"Green buildings","Green transition",134,"green",3.6
"Green transports","Green transition",27,"green",0.73
"Greenhouse gas capture","Green transition",3,"green",0.08
"Hydrogen","Green transition",52,"green",1.4
"Internet of things","Digital transition",48,"blue",1.29
"Marine & hydro energy","Green transition",5,"green",0.13
"Nanotechnology","Digital transition",243,"blue",6.53
"Nuclear energy","Green transition",2,"green",0.05
"Other energy storage","Green transition",16,"green",0.43
"Quantum computers","Digital transition",12,"blue",0.32
"Recycling technologies","Green transition",127,"green",3.41
"Smart grids","Digital transition",4,"blue",0.11
"Solar energy","Green transition",50,"green",1.34
"Waste management","Green transition",151,"green",4.06
"Water related adaptation technologies","Green transition",15,"green",0.4
"Wind energy","Green transition",8,"green",0.21
