"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",86,"green",1.47
"Air & Water pollution reduction","Green transition",59,"green",1.01
"Batteries","Green transition",458,"green",7.85
"Biofuels","Green transition",58,"green",0.99
"Biotechnology","Green transition",28,"green",0.48
"Efficient power & combustion","Green transition",75,"green",1.29
"Geothermal energy","Green transition",44,"green",0.75
"Green buildings","Green transition",381,"green",6.53
"Green transports","Green transition",160,"green",2.74
"Greenhouse gas capture","Green transition",6,"green",0.1
"Hydrogen","Green transition",71,"green",1.22
"Marine & hydro energy","Green transition",206,"green",3.53
"Nuclear energy","Green transition",16,"green",0.27
"Other energy storage","Green transition",73,"green",1.25
"Recycling technologies","Green transition",39,"green",0.67
"Solar energy","Green transition",3476,"green",59.61
"Waste management","Green transition",15,"green",0.26
"Water related adaptation technologies","Green transition",11,"green",0.19
"Wind energy","Green transition",569,"green",9.76
