"id","parent","value","color","share"
"Additive manufacturing","Digital transition",78,"blue",1.03
"Advanced Sustainable Materials","Green transition",237,"green",3.13
"Air & Water pollution reduction","Green transition",20,"green",0.26
"Artificial intelligence","Digital transition",1357,"blue",17.93
"Augmented reality","Digital transition",1959,"blue",25.88
"Autonomous robots","Digital transition",70,"blue",0.92
"Autonomous vehicles","Digital transition",514,"blue",6.79
"Batteries","Green transition",185,"green",2.44
"Biofuels","Green transition",4,"green",0.05
"Biotechnology","Green transition",22,"green",0.29
"Blockchain","Digital transition",225,"blue",2.97
"Cloud computing","Digital transition",576,"blue",7.61
"Cybersecurity","Digital transition",577,"blue",7.62
"Efficient power & combustion","Green transition",3,"green",0.04
"Geothermal energy","Green transition",1,"green",0.01
"Green buildings","Green transition",121,"green",1.6
"Green transports","Green transition",31,"green",0.41
"Greenhouse gas capture","Green transition",2,"green",0.03
"Hydrogen","Green transition",46,"green",0.61
"Internet of things","Digital transition",859,"blue",11.35
"Marine & hydro energy","Green transition",1,"green",0.01
"Nanotechnology","Digital transition",59,"blue",0.78
"Nuclear energy","Green transition",4,"green",0.05
"Other energy storage","Green transition",9,"green",0.12
"Quantum computers","Digital transition",170,"blue",2.25
"Recycling technologies","Green transition",13,"green",0.17
"Smart grids","Digital transition",96,"blue",1.27
"Solar energy","Green transition",308,"green",4.07
"Waste management","Green transition",14,"green",0.18
"Water related adaptation technologies","Green transition",6,"green",0.08
"Wind energy","Green transition",2,"green",0.03
